"Status","Year","Region_ITL2","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Asian","80","70","27510","27570"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Black","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Mixed","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Unknown","120","120","26710","27570"
"In post","2021","Bedfordshire and Hertfordshire","20-29","White","410","400","28950","29290"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Asian","140","130","30610","29290"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Black","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Mixed","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Undeclared","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Unknown","100","90","30130","29290"
"In post","2021","Bedfordshire and Hertfordshire","30-39","White","540","510","33570","30750"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Asian","180","160","32840","29290"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Black","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Undeclared","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Unknown","60","60","31490","29300"
"In post","2021","Bedfordshire and Hertfordshire","40-49","White","640","610","35310","31810"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Asian","120","100","30810","29290"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Black","90","90","30860","29290"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Undeclared","70","70","30860","29230"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Unknown","100","90","31410","28550"
"In post","2021","Bedfordshire and Hertfordshire","50-59","White","950","890","34530","30750"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Asian","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","60-64","White","300","260","30800","28880"
"In post","2021","Bedfordshire and Hertfordshire","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","65+","White","100","80","29190","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Asian","100","90","26980","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Black","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Mixed","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Undeclared","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","Unknown","310","310","26960","26670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","20-29","White","950","940","27820","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Asian","150","140","31770","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","30-39","Black","50","40","[c]","[c]"
