"Status","Year","Region_ITL1","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Crown Prosecution Service","210","190","51100","51470"
"In post","2021","East Midlands (England)","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","HM Courts and Tribunals Service","70","60","41650","43170"
"In post","2021","East Midlands (England)","Legal","HM Land Registry","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","HM Revenue and Customs (excl. agencies)","190","180","31100","31810"
"In post","2021","East Midlands (England)","Legal","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Medicine","Ministry of Defence (excl. agencies)","180","160","41560","37890"
"In post","2021","East Midlands (England)","Medicine","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Advisory, Conciliation and Arbitration Service","90","80","28930","30950"
"In post","2021","East Midlands (England)","Operational Delivery","Animal and Plant Health Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Crown Prosecution Service","190","180","25840","23470"
"In post","2021","East Midlands (England)","Operational Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Driver and Vehicle Standards Agency","280","270","28360","26780"
"In post","2021","East Midlands (England)","Operational Delivery","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Health and Safety Executive","130","110","40740","31660"
"In post","2021","East Midlands (England)","Operational Delivery","HM Courts and Tribunals Service","1260","1120","20870","19830"
"In post","2021","East Midlands (England)","Operational Delivery","HM Land Registry","690","630","28260","27130"
"In post","2021","East Midlands (England)","Operational Delivery","HM Prison and Probation Service","4690","4410","28450","26630"
"In post","2021","East Midlands (England)","Operational Delivery","HM Revenue and Customs (excl. agencies)","1370","1240","27300","25560"
"In post","2021","East Midlands (England)","Operational Delivery","Home Office (incl. agencies)","170","160","27270","25410"
"In post","2021","East Midlands (England)","Operational Delivery","Insolvency Service","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Legal Aid Agency","150","140","21840","19770"
"In post","2021","East Midlands (England)","Operational Delivery","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Ministry of Justice (excl. agencies)","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","National Crime Agency","110","110","37760","36410"
"In post","2021","East Midlands (England)","Operational Delivery","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Office of the Public Guardian","410","370","21070","19830"
"In post","2021","East Midlands (England)","Operational Delivery","Public Health England","80","80","33520","28590"
"In post","2021","East Midlands (England)","Operational Delivery","Rural Payments Agency","70","70","25890","25190"
"In post","2021","East Midlands (England)","Operational Delivery","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Valuation Office Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Defence Equipment and Support","70","60","32040","29410"
"In post","2021","East Midlands (England)","Other","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Ministry of Defence (excl. agencies)","680","660","22500","20920"
"In post","2021","East Midlands (England)","Other","Office for Standards in Education, Children's Services and Skills","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Department for Education (excl. agencies)","140","130","40040","36780"
"In post","2021","East Midlands (England)","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","HM Revenue and Customs (excl. agencies)","90","90","45060","38640"
"In post","2021","East Midlands (England)","Project Delivery","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Ministry of Defence (excl. agencies)","120","120","31460","29200"
"In post","2021","East Midlands (England)","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","HM Revenue and Customs (excl. agencies)","90","90","44350","38630"
"In post","2021","East Midlands (England)","Property","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Ministry of Defence (excl. agencies)","170","160","24500","18800"
"In post","2021","East Midlands (England)","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Valuation Office Agency","120","110","35130","31600"
"In post","2021","East Midlands (England)","Psychology","HM Prison and Probation Service","180","170","34580","30450"
"In post","2021","East Midlands (England)","Psychology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Defence Equipment and Support","110","100","36980","35100"
"In post","2021","East Midlands (England)","Science and Engineering","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Health and Safety Executive","220","200","43090","40020"
"In post","2021","East Midlands (England)","Science and Engineering","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Ministry of Defence (excl. agencies)","60","60","24850","22500"
"In post","2021","East Midlands (England)","Science and Engineering","Public Health England","70","60","45820","39010"
"In post","2021","East Midlands (England)","Science and Engineering","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Vehicle Certification Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Ministry of Defence (excl. agencies)","120","120","27230","22560"
"In post","2021","East Midlands (England)","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","HM Revenue and Customs (excl. agencies)","1380","1310","32930","31810"
"In post","2021","East Midlands (England)","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Department for Work and Pensions (excl. agencies)","4490","3970","25910","27570"
"In post","2021","East Midlands (England)","Unknown","HM Revenue and Customs (excl. agencies)","320","310","31930","31810"
"In post","2021","East Midlands (England)","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Crown Commercial Service","90","80","34770","34800"
"In post","2021","East of England","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","HM Prison and Probation Service","60","60","47930","46730"
"In post","2021","East of England","Commercial","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Ministry of Defence (excl. agencies)","50","50","35640","34710"
"In post","2021","East of England","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East of England","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
