"Status","Year","Ethnicity","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Berkshire","40","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Birmingham","240","220","26590","26290"
"In post","2021","Asian","Declared disabled","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Bradford","50","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Camden and City of London","50","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Coventry","30","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Croydon","150","130","33810","29370"
"In post","2021","Asian","Declared disabled","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Ealing","40","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
