"Status","Year","Organisation","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Welsh Government (excl. agencies)","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Social Research","SEO/HEO","130","130","45970","47000"
"In post","2021","Welsh Government (excl. agencies)","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Statistics","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","EO","40","30","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Unknown","SEO/HEO","40","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","AA/AO","40","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","290","270","24930","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO/HEO","510","470","34810","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","AA/AO","670","620","21660","21300"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","EO","650","620","26130","25190"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","G6/G7","70","70","53300","50780"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","SEO/HEO","520","500","33360","32160"
"In post","2022","Animal and Plant Health Agency","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","AA/AO","180","170","23620","24370"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","EO","150","140","27650","27960"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","G6/G7","60","50","56240","53930"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","SEO/HEO","190","180","35840","34220"
"In post","2022","Animal and Plant Health Agency","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Veterinarian","G6/G7","90","90","54540","54480"
"In post","2022","Animal and Plant Health Agency","Veterinarian","SEO/HEO","220","210","39960","37480"
"In post","2022","Attorney General's Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","AA/AO","460","430","21830","21050"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","EO","910","880","26670","27500"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G6/G7","3630","3570","60220","56750"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SCS","730","720","100500","93000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","4140","4090","33790","33250"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AA/AO","30","30","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","EO","110","100","25290","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6/G7","80","80","52240","49040"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SEO/HEO","250","230","33170","30660"
"In post","2022","Charity Commission","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","SEO/HEO","40","40","[c]","[c]"
"In post","2022","Charity Commission","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","EO","90","80","25140","24440"
"In post","2022","Charity Commission","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","SEO/HEO","150","150","31640","29160"
"In post","2022","Charity Commission","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","AA/AO","90","80","21900","22740"
"In post","2022","Companies House","Counter Fraud","EO","60","50","25630","25010"
"In post","2022","Companies House","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","EO","70","60","33520","33340"
"In post","2022","Companies House","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Digital, Data and Technology","SEO/HEO","160","160","40280","40180"
"In post","2022","Companies House","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","AA/AO","310","270","21720","22740"
"In post","2022","Companies House","Operational Delivery","EO","120","110","25750","25010"
"In post","2022","Companies House","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Operational Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2022","Companies House","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
