"Status","Year","Organisation","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","EO","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","EO","160","150","25480","24330"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","G6/G7","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","SEO/HEO","390","360","36190","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","EO","[c]","[c]","[c]","[c]"
