"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","AA/AO","1120","1000","22310","21950"
"In post","2021","Female","Attorney General's Departments","EO","1230","1130","28040","28430"
"In post","2021","Female","Attorney General's Departments","G6/G7","2950","2650","57860","55610"
"In post","2021","Female","Attorney General's Departments","SCS","180","170","86940","82250"
"In post","2021","Female","Attorney General's Departments","SEO/HEO","890","850","36520","37580"
"In post","2021","Female","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","AA/AO","320","280","21750","20920"
"In post","2021","Female","Cabinet Office","EO","530","510","27150","27500"
"In post","2021","Female","Cabinet Office","G6/G7","1500","1460","59400","55950"
"In post","2021","Female","Cabinet Office","SCS","420","410","87650","75930"
"In post","2021","Female","Cabinet Office","SEO/HEO","2270","2240","33600","33300"
"In post","2021","Female","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","G6/G7","70","70","72410","67990"
"In post","2021","Female","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","SEO/HEO","70","70","42030","42400"
"In post","2021","Female","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","EO","70","60","24740","24440"
"In post","2021","Female","Charity Commission","G6/G7","40","40","[c]","[c]"
"In post","2021","Female","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","SEO/HEO","130","120","32740","29550"
"In post","2021","Female","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","EO","40","40","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","G6/G7","220","210","65750","62890"
"In post","2021","Female","Competition and Markets Authority","SCS","50","50","[c]","[c]"
"In post","2021","Female","Competition and Markets Authority","SEO/HEO","110","110","37760","35680"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","AA/AO","950","840","21690","21000"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","EO","1110","1030","26120","26180"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","G6/G7","1560","1480","57460","55600"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","SCS","170","160","81900","74920"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","SEO/HEO","2700","2570","37210","36740"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","EO","120","120","27470","26180"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","G6/G7","420","400","58320","55220"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","SCS","70","60","85910","75500"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","SEO/HEO","350","350","36730","34020"
"In post","2021","Female","Department for Education","AA/AO","80","70","21930","21000"
"In post","2021","Female","Department for Education","EO","590","560","26720","26000"
"In post","2021","Female","Department for Education","G6/G7","1620","1540","56100","53760"
"In post","2021","Female","Department for Education","SCS","170","160","82920","74100"
"In post","2021","Female","Department for Education","SEO/HEO","2180","2070","35600","36500"
"In post","2021","Female","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","AA/AO","1300","1140","21520","21050"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","EO","1200","1100","26150","25320"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","G6/G7","1160","1090","54190","53200"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","SCS","120","110","83440","75970"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","SEO/HEO","2420","2270","34870","35900"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","EO","140","140","27400","26510"
"In post","2021","Female","Department for International Trade","G6/G7","490","480","54780","51970"
"In post","2021","Female","Department for International Trade","SCS","80","80","80110","74600"
"In post","2021","Female","Department for International Trade","SEO/HEO","540","530","35310","34750"
"In post","2021","Female","Department for Transport","AA/AO","3340","2700","20830","21590"
"In post","2021","Female","Department for Transport","EO","1540","1410","27360","26780"
"In post","2021","Female","Department for Transport","G6/G7","720","690","58640","54760"
"In post","2021","Female","Department for Transport","SCS","100","100","85360","79000"
"In post","2021","Female","Department for Transport","SEO/HEO","1570","1510","36690","35060"
"In post","2021","Female","Department for Work and Pensions","AA/AO","19820","16070","21170","21010"
"In post","2021","Female","Department for Work and Pensions","EO","32540","28530","28110","27570"
"In post","2021","Female","Department for Work and Pensions","G6/G7","1560","1470","55910","54070"
"In post","2021","Female","Department for Work and Pensions","SCS","130","130","86670","78390"
"In post","2021","Female","Department for Work and Pensions","SEO/HEO","6780","6260","35130","34290"
"In post","2021","Female","Department of Health and Social Care","AA/AO","700","610","21360","21570"
"In post","2021","Female","Department of Health and Social Care","EO","1130","1050","26490","27140"
"In post","2021","Female","Department of Health and Social Care","G6/G7","2210","2080","57690","53920"
"In post","2021","Female","Department of Health and Social Care","SCS","480","420","97490","92860"
"In post","2021","Female","Department of Health and Social Care","SEO/HEO","3160","2920","36070","36330"
"In post","2021","Female","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","G6/G7","30","30","[c]","[c]"
"In post","2021","Female","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
