"Status","Year","Sex","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Animal and Plant Health Agency","40","30","[c]","[c]"
"In post","2021","Female","Asian","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Cabinet Office (excl. agencies)","280","270","44200","38560"
"In post","2021","Female","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Competition and Markets Authority","60","60","42590","35270"
"In post","2021","Female","Asian","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Crown Prosecution Service","430","380","38990","31820"
"In post","2021","Female","Asian","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Defence Equipment and Support","110","100","32420","29230"
"In post","2021","Female","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","260","250","44690","40050"
"In post","2021","Female","Asian","Department for Digital, Culture, Media and Sport","70","70","46090","50860"
"In post","2021","Female","Asian","Department for Education (excl. agencies)","260","250","40380","36660"
"In post","2021","Female","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","38860","33620"
"In post","2021","Female","Asian","Department for International Trade","100","100","41680","38160"
"In post","2021","Female","Asian","Department for Transport (excl. agencies)","150","140","43510","42470"
"In post","2021","Female","Asian","Department for Work and Pensions (excl. agencies)","4390","3760","27670","27570"
"In post","2021","Female","Asian","Department of Health and Social Care (excl. agencies)","110","100","42880","37630"
"In post","2021","Female","Asian","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Female","Asian","Education and Skills Funding Agency","110","100","37590","36500"
"In post","2021","Female","Asian","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","240","230","41700","36460"
"In post","2021","Female","Asian","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Government Legal Department","170","160","50110","51250"
"In post","2021","Female","Asian","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","HM Courts and Tribunals Service","980","860","24880","22500"
"In post","2021","Female","Asian","HM Land Registry","110","100","30340","27130"
"In post","2021","Female","Asian","HM Prison and Probation Service","740","690","30260","28200"
"In post","2021","Female","Asian","HM Revenue and Customs (excl. agencies)","1980","1780","30530","27700"
"In post","2021","Female","Asian","HM Treasury (excl. agencies)","110","110","44500","41900"
"In post","2021","Female","Asian","Home Office (incl. agencies)","2600","2340","31130","28850"
"In post","2021","Female","Asian","Insolvency Service","90","80","27740","25060"
"In post","2021","Female","Asian","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Legal Aid Agency","40","30","[c]","[c]"
"In post","2021","Female","Asian","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Medicines and Healthcare Products Regulatory Agency","170","160","38810","33100"
"In post","2021","Female","Asian","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Ministry of Defence (excl. agencies)","420","400","33530","30660"
"In post","2021","Female","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","120","120","41010","36340"
"In post","2021","Female","Asian","Ministry of Justice (excl. agencies)","280","260","36840","32870"
"In post","2021","Female","Asian","National Crime Agency","140","140","35210","33910"
"In post","2021","Female","Asian","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Office for Standards in Education, Children's Services and Skills","70","60","39700","39660"
"In post","2021","Female","Asian","Office of Gas and Electricity Markets","60","50","42830","38750"
"In post","2021","Female","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Office of the Public Guardian","200","180","21300","19930"
"In post","2021","Female","Asian","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Public Health England","500","450","41580","32330"
"In post","2021","Female","Asian","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Female","Asian","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","United Kingdom Statistics Authority","70","60","30890","29540"
"In post","2021","Female","Asian","Valuation Office Agency","100","90","31650","29660"
"In post","2021","Female","Asian","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Cabinet Office (excl. agencies)","170","170","40040","35590"
"In post","2021","Female","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Crown Prosecution Service","280","260","39330","32240"
"In post","2021","Female","Black","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Defence Equipment and Support","80","80","30190","30160"
"In post","2021","Female","Black","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","180","180","40140","35530"
"In post","2021","Female","Black","Department for Digital, Culture, Media and Sport","60","60","39590","34020"
"In post","2021","Female","Black","Department for Education (excl. agencies)","150","150","40070","36500"
"In post","2021","Female","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","120","110","35480","32680"
"In post","2021","Female","Black","Department for International Trade","80","80","37270","32230"
"In post","2021","Female","Black","Department for Transport (excl. agencies)","110","110","39660","37660"
"In post","2021","Female","Black","Department for Work and Pensions (excl. agencies)","2700","2510","29050","30330"
"In post","2021","Female","Black","Department of Health and Social Care (excl. agencies)","80","70","36610","32790"
"In post","2021","Female","Black","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Female","Black","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Foreign, Commonwealth and Development Office (excl. agencies)","160","160","38060","35280"
"In post","2021","Female","Black","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Government Legal Department","120","110","42080","35000"
"In post","2021","Female","Black","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","HM Courts and Tribunals Service","690","640","25500","23500"
"In post","2021","Female","Black","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Female","Black","HM Prison and Probation Service","1180","1130","31220","28990"
"In post","2021","Female","Black","HM Revenue and Customs (excl. agencies)","850","810","31940","29570"
"In post","2021","Female","Black","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Black","Home Office (incl. agencies)","1220","1130","32360","29080"
"In post","2021","Female","Black","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Female","Black","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Legal Aid Agency","40","30","[c]","[c]"
"In post","2021","Female","Black","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Medicines and Healthcare Products Regulatory Agency","70","70","38480","33010"
"In post","2021","Female","Black","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Ministry of Defence (excl. agencies)","280","280","32650","30200"
"In post","2021","Female","Black","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","41720","39600"
"In post","2021","Female","Black","Ministry of Justice (excl. agencies)","230","230","34920","31780"
"In post","2021","Female","Black","National Crime Agency","60","60","36230","35690"
"In post","2021","Female","Black","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Female","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Office of the Public Guardian","70","60","20950","19930"
"In post","2021","Female","Black","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Public Health England","360","330","38210","32930"
"In post","2021","Female","Black","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
