"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6/G7","40","30","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO/HEO","60","60","41380","40560"
"In post","2021","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","G6/G7","30","30","[c]","[c]"
"In post","2021","Commercial","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","SEO/HEO","180","170","37160","35900"
"In post","2021","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","50","50","23760","24100"
"In post","2021","Commercial","London","EO","100","100","29060","29740"
"In post","2021","Commercial","London","G6/G7","240","230","63630","62550"
"In post","2021","Commercial","London","SCS","50","50","87030","79150"
"In post","2021","Commercial","London","SEO/HEO","430","420","41370","40650"
"In post","2021","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","SEO/HEO","80","80","38020","37100"
"In post","2021","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","EO","70","60","25230","25000"
"In post","2021","Commercial","North West (England)","G6/G7","90","90","56990","52580"
"In post","2021","Commercial","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","SEO/HEO","330","310","35870","35570"
"In post","2021","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
