"Status","Year","Sexual_orientation","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","EO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","EO","160","150","25480","24330"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","G6/G7","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","SEO/HEO","390","360","36190","34500"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","AA/AO","590","550","21820","21050"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","EO","530","500","26620","25730"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","G6/G7","150","140","54380","53870"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","SEO/HEO","610","580","35810","35900"
"In post","2021","Heterosexual / straight","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","AA/AO","320","290","21880","20920"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","EO","570","550","27130","27500"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","G6/G7","1640","1610","58780","56340"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","SCS","400","400","96830","87750"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","SEO/HEO","1480","1450","36340","35590"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","EO","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","110","110","32940","30660"
"In post","2021","Heterosexual / straight","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","EO","60","50","24590","24440"
"In post","2021","Heterosexual / straight","Charity Commission","G6/G7","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","SEO/HEO","130","120","32710","29300"
"In post","2021","Heterosexual / straight","Companies House","AA/AO","240","210","21770","22490"
