"Status","Year","Parent_department","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Legal","480","440","57320","55610"
"In post","2021","Attorney General's Departments","Declared disabled","Operational Delivery","330","300","28180","25480"
"In post","2021","Attorney General's Departments","Declared disabled","Other","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Communications","60","60","43970","39750"
"In post","2021","Attorney General's Departments","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Counter Fraud","180","180","45260","40140"
"In post","2021","Attorney General's Departments","Declared non-disabled","Digital, Data and Technology","130","130","41520","38780"
"In post","2021","Attorney General's Departments","Declared non-disabled","Finance","110","100","36100","30970"
"In post","2021","Attorney General's Departments","Declared non-disabled","Human Resources","150","140","39800","34640"
"In post","2021","Attorney General's Departments","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Legal","3620","3350","57930","55610"
"In post","2021","Attorney General's Departments","Declared non-disabled","Operational Delivery","2080","1900","28290","27050"
"In post","2021","Attorney General's Departments","Declared non-disabled","Other","310","300","33140","27580"
"In post","2021","Attorney General's Departments","Declared non-disabled","Policy","50","50","49150","51850"
"In post","2021","Attorney General's Departments","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
