"Status","Year","Profession_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Knowledge and Information Management","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","Heterosexual / straight","80","80","34300","31570"
"In post","2021","Knowledge and Information Management","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Attorney General's Departments","Heterosexual / straight","3480","3250","55990","53670"
"In post","2021","Legal","Attorney General's Departments","LGBO","230","220","57450","55610"
"In post","2021","Legal","Attorney General's Departments","Undeclared","230","220","58390","55610"
"In post","2021","Legal","Attorney General's Departments","Unknown","1320","1190","59410","58970"
"In post","2021","Legal","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","Heterosexual / straight","100","100","69190","72430"
"In post","2021","Legal","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Business, Energy and Industrial Strategy","Unknown","40","30","[c]","[c]"
"In post","2021","Legal","Department for Education","Heterosexual / straight","60","60","53470","54450"
"In post","2021","Legal","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","Heterosexual / straight","90","70","56230","57760"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Land Registry","Heterosexual / straight","160","140","50870","57000"
"In post","2021","Legal","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Land Registry","Undeclared","50","40","[c]","[c]"
"In post","2021","Legal","HM Land Registry","Unknown","60","50","49070","57000"
"In post","2021","Legal","HM Revenue and Customs","Heterosexual / straight","2150","2050","33230","31810"
"In post","2021","Legal","HM Revenue and Customs","LGBO","120","120","35590","31810"
"In post","2021","Legal","HM Revenue and Customs","Undeclared","360","340","35290","31810"
"In post","2021","Legal","HM Revenue and Customs","Unknown","1100","1050","32900","29570"
"In post","2021","Legal","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Housing, Communities and Local Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","Heterosexual / straight","840","750","43820","43300"
"In post","2021","Legal","Ministry of Justice","LGBO","40","40","[c]","[c]"
"In post","2021","Legal","Ministry of Justice","Undeclared","220","200","44960","43960"
"In post","2021","Legal","Ministry of Justice","Unknown","220","210","38650","37300"
"In post","2021","Legal","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","Unknown","50","40","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Government","Heterosexual / straight","490","460","53990","52490"
"In post","2021","Legal","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Government","Undeclared","80","70","50520","45640"
"In post","2021","Legal","Scottish Government","Unknown","70","60","56060","54890"
"In post","2021","Legal","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","Heterosexual / straight","120","110","56660","60830"
"In post","2021","Legal","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department for Transport","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Medicine","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department of Health and Social Care","Heterosexual / straight","330","290","89690","92370"
"In post","2021","Medicine","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Department of Health and Social Care","Undeclared","70","60","93010","92370"
"In post","2021","Medicine","Department of Health and Social Care","Unknown","140","130","99190","95120"
"In post","2021","Medicine","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Ministry of Defence","Heterosexual / straight","1190","1070","44700","37890"
"In post","2021","Medicine","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Ministry of Defence","Undeclared","130","120","48400","37890"
"In post","2021","Medicine","Ministry of Defence","Unknown","340","300","42660","36370"
"In post","2021","Medicine","Welsh Government","Heterosexual / straight","140","130","46070","41560"
"In post","2021","Medicine","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Attorney General's Departments","Heterosexual / straight","2180","2030","27630","25480"
"In post","2021","Operational Delivery","Attorney General's Departments","LGBO","140","130","28400","25820"
"In post","2021","Operational Delivery","Attorney General's Departments","Undeclared","80","80","25920","24060"
"In post","2021","Operational Delivery","Attorney General's Departments","Unknown","660","590","26310","25820"
"In post","2021","Operational Delivery","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Charity Commission","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","2180","2040","32470","28280"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","LGBO","160","160","34120","30660"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","Undeclared","250","230","34040","30950"
"In post","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","Unknown","1540","1450","28530","24250"
"In post","2021","Operational Delivery","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for Education","Heterosexual / straight","1170","1130","41130","36960"
"In post","2021","Operational Delivery","Department for Education","LGBO","70","70","43520","37100"
"In post","2021","Operational Delivery","Department for Education","Undeclared","100","90","44320","40430"
"In post","2021","Operational Delivery","Department for Education","Unknown","260","250","42380","37100"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Heterosexual / straight","2150","1990","27810","25190"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","LGBO","170","160","27310","25100"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Undeclared","260","240","27880","25520"
"In post","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","Unknown","1270","1170","25420","21050"
"In post","2021","Operational Delivery","Department for International Trade","Heterosexual / straight","60","60","38590","32120"
"In post","2021","Operational Delivery","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Department for International Trade","Unknown","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Department for Transport","Heterosexual / straight","5520","5040","26720","26470"
"In post","2021","Operational Delivery","Department for Transport","LGBO","270","260","25610","21590"
"In post","2021","Operational Delivery","Department for Transport","Undeclared","2070","1740","24950","21590"
"In post","2021","Operational Delivery","Department for Transport","Unknown","1460","1350","24980","26130"
"In post","2021","Operational Delivery","Department for Work and Pensions","Heterosexual / straight","1210","1130","43780","41480"
"In post","2021","Operational Delivery","Department for Work and Pensions","LGBO","70","70","42150","41480"
"In post","2021","Operational Delivery","Department for Work and Pensions","Undeclared","290","280","44880","45100"
"In post","2021","Operational Delivery","Department for Work and Pensions","Unknown","160","150","43660","41480"
"In post","2021","Operational Delivery","Department of Health and Social Care","Heterosexual / straight","2340","2130","38350","33090"
"In post","2021","Operational Delivery","Department of Health and Social Care","LGBO","140","130","38220","32490"
"In post","2021","Operational Delivery","Department of Health and Social Care","Undeclared","390","340","39500","36330"
"In post","2021","Operational Delivery","Department of Health and Social Care","Unknown","570","530","46640","41990"
"In post","2021","Operational Delivery","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Food Standards Agency","Heterosexual / straight","350","340","32790","28940"
"In post","2021","Operational Delivery","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Food Standards Agency","Undeclared","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Food Standards Agency","Unknown","220","210","29120","26750"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","Heterosexual / straight","450","430","33330","28000"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","Undeclared","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Foreign, Commonwealth and Development Office","Unknown","130","120","33810","30630"
"In post","2021","Operational Delivery","HM Land Registry","Heterosexual / straight","2750","2460","29000","27130"
"In post","2021","Operational Delivery","HM Land Registry","LGBO","120","110","27410","22350"
"In post","2021","Operational Delivery","HM Land Registry","Undeclared","570","490","30340","27130"
"In post","2021","Operational Delivery","HM Land Registry","Unknown","1580","1430","26140","22350"
"In post","2021","Operational Delivery","HM Revenue and Customs","Heterosexual / straight","15200","13550","26730","25560"
"In post","2021","Operational Delivery","HM Revenue and Customs","LGBO","820","770","26080","25560"
"In post","2021","Operational Delivery","HM Revenue and Customs","Undeclared","2000","1750","26300","24250"
"In post","2021","Operational Delivery","HM Revenue and Customs","Unknown","10250","8900","23850","21440"
"In post","2021","Operational Delivery","HM Treasury","Heterosexual / straight","120","110","31440","28000"
"In post","2021","Operational Delivery","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","HM Treasury","Unknown","70","60","48930","39430"
"In post","2021","Operational Delivery","Home Office","Heterosexual / straight","20190","18450","27860","25580"
"In post","2021","Operational Delivery","Home Office","LGBO","760","720","27790","25220"
"In post","2021","Operational Delivery","Home Office","Undeclared","3030","2720","29000","27370"
"In post","2021","Operational Delivery","Home Office","Unknown","1030","990","25090","24880"
"In post","2021","Operational Delivery","Ministry of Defence","Heterosexual / straight","1330","1260","32450","29200"
"In post","2021","Operational Delivery","Ministry of Defence","LGBO","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Ministry of Defence","Undeclared","190","180","32400","28960"
"In post","2021","Operational Delivery","Ministry of Defence","Unknown","260","240","32520","29290"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","Heterosexual / straight","560","540","35420","32530"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","LGBO","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","Undeclared","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","Unknown","150","130","31280","26050"
"In post","2021","Operational Delivery","Ministry of Justice","Heterosexual / straight","47760","44600","28050","25790"
"In post","2021","Operational Delivery","Ministry of Justice","LGBO","3080","3000","28250","26310"
"In post","2021","Operational Delivery","Ministry of Justice","Undeclared","5770","5330","28390","26410"
"In post","2021","Operational Delivery","Ministry of Justice","Unknown","11950","11070","27160","25720"
"In post","2021","Operational Delivery","National Crime Agency","Heterosexual / straight","3530","3460","39690","37330"
"In post","2021","Operational Delivery","National Crime Agency","LGBO","150","150","36550","36410"
"In post","2021","Operational Delivery","National Crime Agency","Undeclared","300","290","37620","36410"
"In post","2021","Operational Delivery","National Crime Agency","Unknown","740","720","41240","39820"
"In post","2021","Operational Delivery","Office for Standards in Education","Heterosexual / straight","180","160","28490","25620"
"In post","2021","Operational Delivery","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Gas and Electricity Markets","Unknown","110","110","31160","25750"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","Heterosexual / straight","50","50","43080","38000"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Rail and Road","Heterosexual / straight","60","60","50260","51310"
"In post","2021","Operational Delivery","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Office of Rail and Road","Unknown","60","60","57240","60020"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","Heterosexual / straight","150","150","42590","38700"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Other Cabinet Office Agencies","Unknown","50","50","[c]","[c]"
"In post","2021","Operational Delivery","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Scottish Government","Heterosexual / straight","2820","2640","30160","30080"
"In post","2021","Operational Delivery","Scottish Government","LGBO","160","150","29480","28410"
"In post","2021","Operational Delivery","Scottish Government","Undeclared","1660","1500","26850","22820"
"In post","2021","Operational Delivery","Scottish Government","Unknown","2570","2420","30220","30930"
"In post","2021","Operational Delivery","The National Archives","Heterosexual / straight","60","60","30960","28460"
"In post","2021","Operational Delivery","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","The National Archives","Unknown","80","80","28390","24990"
"In post","2021","Operational Delivery","UK Export Finance","Heterosexual / straight","200","200","53550","47590"
"In post","2021","Operational Delivery","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","Heterosexual / straight","1950","1600","26800","23050"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","LGBO","90","80","26090","23050"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","Undeclared","120","100","26310","23050"
"In post","2021","Operational Delivery","United Kingdom Statistics Authority","Unknown","860","720","26120","23050"
"In post","2021","Operational Delivery","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Welsh Government","Heterosexual / straight","1330","1250","36340","28850"
"In post","2021","Operational Delivery","Welsh Government","LGBO","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Welsh Government","Undeclared","190","180","40490","37410"
"In post","2021","Operational Delivery","Welsh Government","Unknown","70","60","34300","25030"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Transport","Heterosexual / straight","50","50","37240","34710"
"In post","2021","Operational Research","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Foreign, Commonwealth and Development Office","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Operational Research","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Revenue and Customs","Heterosexual / straight","90","90","44390","38630"
"In post","2021","Operational Research","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Revenue and Customs","Unknown","30","30","[c]","[c]"
"In post","2021","Operational Research","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Home Office","Heterosexual / straight","60","60","48700","43400"
"In post","2021","Operational Research","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Ministry of Defence","Heterosexual / straight","440","420","42920","46080"
