"Status","Year","Region_ITL3","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Crown Office and Procurator Fiscal Service","80","70","32540","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","50","45750","36740"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Department for Work and Pensions (excl. agencies)","170","140","26450","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Food Standards Scotland","90","90","36140","33620"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Scottish Courts and Tribunals Service","60","50","23940","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Scottish Government (excl. agencies)","200","180","33900","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Scottish Prison Service","130","120","28940","25980"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
