"Status","Year","Ethnicity","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Heterosexual / straight","420","410","45750","40600"
"In post","2021","Asian","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Heterosexual / straight","100","90","45380","36990"
"In post","2021","Asian","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Heterosexual / straight","500","460","39580","35020"
"In post","2021","Asian","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Unknown","90","70","38930","30110"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
