"Status","Year","Sex","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","580","540","37690","34270"
"In post","2021","Female","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Birmingham","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Bristol, City of","50","50","38230","36970"
"In post","2021","Female","Commercial","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cambridgeshire CC","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Central Hampshire","80","80","34220","34800"
"In post","2021","Female","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Croydon","90","80","42340","42070"
"In post","2021","Female","Commercial","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Devon CC","100","90","40920","38340"
"In post","2021","Female","Commercial","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","East Surrey","[c]","[c]","[c]","[c]"
