"Status","Year","Region_ITL1","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Asian","730","630","20730","20640"
"In post","2021","East Midlands (England)","AA/AO","Black","210","190","21610","21010"
"In post","2021","East Midlands (England)","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Mixed","120","110","22020","21010"
"In post","2021","East Midlands (England)","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Undeclared","290","260","21790","21010"
"In post","2021","East Midlands (England)","AA/AO","Unknown","1240","1150","21620","20600"
"In post","2021","East Midlands (England)","AA/AO","White","5390","4900","22380","21010"
"In post","2021","East Midlands (England)","EO","Asian","520","480","26700","27570"
"In post","2021","East Midlands (England)","EO","Black","160","150","26820","27570"
"In post","2021","East Midlands (England)","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Mixed","110","100","26790","27570"
"In post","2021","East Midlands (England)","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Undeclared","280","250","27180","27570"
"In post","2021","East Midlands (England)","EO","Unknown","680","650","26370","26000"
"In post","2021","East Midlands (England)","EO","White","4360","4000","27200","27570"
"In post","2021","East Midlands (England)","G6/G7","Asian","80","70","55200","52580"
"In post","2021","East Midlands (England)","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Undeclared","60","60","57770","53690"
"In post","2021","East Midlands (England)","G6/G7","Unknown","140","130","57570","53430"
"In post","2021","East Midlands (England)","G6/G7","White","1090","1040","57630","53430"
"In post","2021","East Midlands (England)","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","White","70","70","88480","79870"
"In post","2021","East Midlands (England)","SEO/HEO","Asian","310","290","34130","31830"
"In post","2021","East Midlands (England)","SEO/HEO","Black","80","70","35140","32730"
"In post","2021","East Midlands (England)","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Mixed","70","60","35920","35790"
"In post","2021","East Midlands (England)","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Undeclared","250","240","35760","34610"
"In post","2021","East Midlands (England)","SEO/HEO","Unknown","550","520","34400","31810"
"In post","2021","East Midlands (England)","SEO/HEO","White","3470","3290","36240","34290"
"In post","2021","East Midlands (England)","Unknown","Asian","70","60","29420","28200"
"In post","2021","East Midlands (England)","Unknown","Black","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Unknown","90","90","27610","28200"
"In post","2021","East Midlands (England)","Unknown","White","730","670","30410","30210"
"In post","2021","East of England","AA/AO","Asian","380","310","22470","21430"
"In post","2021","East of England","AA/AO","Black","150","140","23650","22750"
"In post","2021","East of England","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","AA/AO","Mixed","130","120","23900","22390"
"In post","2021","East of England","AA/AO","Other ethnicity","40","30","[c]","[c]"
"In post","2021","East of England","AA/AO","Undeclared","290","270","23980","21650"
"In post","2021","East of England","AA/AO","Unknown","950","900","23610","21440"
"In post","2021","East of England","AA/AO","White","5880","5390","23650","21550"
