"Status","Year","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","4090","3950","40480","37620"
"In post","2021","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","290","280","44250","38710"
"In post","2021","Commercial","Project Delivery","800","770","38630","34950"
"In post","2021","Commercial","Property","40","30","[c]","[c]"
"In post","2021","Commercial","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","110","110","40610","41820"
"In post","2021","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","3420","3310","41310","37910"
"In post","2021","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","130","120","41490","38970"
"In post","2021","Communications","Project Delivery","30","30","[c]","[c]"
"In post","2021","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","350","330","44200","41970"
"In post","2021","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","130","130","46350","42390"
"In post","2021","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","670","650","40740","38510"
"In post","2021","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","180","160","26930","25310"
"In post","2021","Digital, Data and Technology","Analysis","240","230","42200","41990"
"In post","2021","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","10850","10560","40940","38300"
"In post","2021","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","230","220","39520","36500"
"In post","2021","Digital, Data and Technology","Project Delivery","440","430","42720","42530"
"In post","2021","Digital, Data and Technology","Property","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","1440","1420","48180","44970"
"In post","2021","Economics","Analysis","1280","1250","46460","39640"
"In post","2021","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","100","90","44240","36820"
"In post","2021","Economics","No function","470","460","48040","50070"
"In post","2021","Economics","Project Delivery","110","110","54470","55620"
"In post","2021","Economics","Unknown","210","200","46420","37730"
"In post","2021","Finance","Analysis","50","50","[c]","[c]"
"In post","2021","Finance","Commercial","70","70","33520","29730"
"In post","2021","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","[c]","[c]","[c]","[c]"
