"Status","Year","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","23730","22330","32900","29290"
"In post","2021","Heterosexual / straight","Black","12950","12490","32830","30720"
"In post","2021","Heterosexual / straight","Chinese","940","900","36470","31870"
"In post","2021","Heterosexual / straight","Mixed","6390","6100","35210","31060"
"In post","2021","Heterosexual / straight","Other ethnicity","1820","1740","36090","31060"
"In post","2021","Heterosexual / straight","Undeclared","2880","2710","32960","29200"
"In post","2021","Heterosexual / straight","Unknown","3260","3010","33440","28620"
"In post","2021","Heterosexual / straight","White","265020","247500","34170","29290"
"In post","2021","LGBO","Asian","580","550","33200","29290"
"In post","2021","LGBO","Black","330","320","33960","30250"
"In post","2021","LGBO","Chinese","70","70","35870","30930"
"In post","2021","LGBO","Mixed","690","670","35630","31060"
"In post","2021","LGBO","Other ethnicity","170","170","36730","31810"
"In post","2021","LGBO","Undeclared","290","280","33690","29350"
"In post","2021","LGBO","Unknown","230","220","36690","31060"
"In post","2021","LGBO","White","16460","16010","34370","29670"
"In post","2021","Undeclared","Asian","1660","1490","30860","27570"
"In post","2021","Undeclared","Black","780","730","32130","29650"
"In post","2021","Undeclared","Chinese","100","100","37430","35000"
"In post","2021","Undeclared","Mixed","580","540","34510","30650"
"In post","2021","Undeclared","Other ethnicity","310","290","42180","35980"
"In post","2021","Undeclared","Undeclared","13230","12480","35460","31810"
"In post","2021","Undeclared","Unknown","3060","2810","30600","28130"
"In post","2021","Undeclared","White","23960","21870","33210","28130"
"In post","2021","Unknown","Asian","3190","2820","31610","27570"
"In post","2021","Unknown","Black","1540","1420","32290","31060"
"In post","2021","Unknown","Chinese","140","130","39040","33310"
"In post","2021","Unknown","Mixed","610","560","35500","31650"
"In post","2021","Unknown","Other ethnicity","290","260","36440","31650"
"In post","2021","Unknown","Undeclared","4150","3700","32700","28130"
"In post","2021","Unknown","Unknown","60530","57700","32800","28000"
"In post","2021","Unknown","White","34950","30880","32420","27570"
"In post","2022","Heterosexual / straight","Asian","27940","26420","33700","30110"
"In post","2022","Heterosexual / straight","Black","14530","14010","33430","31060"
"In post","2022","Heterosexual / straight","Mixed","7130","6820","35780","31180"
"In post","2022","Heterosexual / straight","Other ethnicity","1920","1840","35920","31230"
"In post","2022","Heterosexual / straight","Undeclared","3060","2880","33630","30110"
"In post","2022","Heterosexual / straight","Unknown","3360","3120","34530","30350"
"In post","2022","Heterosexual / straight","White","281300","263340","34900","30360"
"In post","2022","LGBO","Asian","720","680","34340","30240"
"In post","2022","LGBO","Black","350","340","34800","31060"
"In post","2022","LGBO","Mixed","810","790","35910","31840"
"In post","2022","LGBO","Other ethnicity","210","200","39330","33400"
"In post","2022","LGBO","Undeclared","300","280","34040","30820"
"In post","2022","LGBO","Unknown","250","240","36840","31940"
"In post","2022","LGBO","White","19400","18890","34840","30450"
"In post","2022","Undeclared","Asian","1860","1700","32100","28710"
"In post","2022","Undeclared","Black","810","760","32710","30460"
"In post","2022","Undeclared","Mixed","650","610","35190","31060"
"In post","2022","Undeclared","Other ethnicity","280","260","40790","33840"
"In post","2022","Undeclared","Undeclared","13070","12320","36290","32770"
"In post","2022","Undeclared","Unknown","2590","2460","41220","36820"
"In post","2022","Undeclared","White","23990","22010","33910","29250"
"In post","2022","Unknown","Asian","3120","2780","32650","27570"
"In post","2022","Unknown","Black","1390","1290","32810","31060"
"In post","2022","Unknown","Mixed","580","530","35720","31000"
"In post","2022","Unknown","Other ethnicity","250","220","36970","31650"
"In post","2022","Unknown","Undeclared","3770","3360","33610","29290"
"In post","2022","Unknown","Unknown","66300","63180","33170","28200"
"In post","2022","Unknown","White","30140","26750","33370","28030"
"Leaver CS","2021","Heterosexual / straight","Asian","760","710","30370","26980"
"Leaver CS","2021","Heterosexual / straight","Black","450","430","31770","27310"
"Leaver CS","2021","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Heterosexual / straight","Mixed","250","240","31570","27570"
"Leaver CS","2021","Heterosexual / straight","Other ethnicity","80","70","36120","30570"
"Leaver CS","2021","Heterosexual / straight","Undeclared","100","90","32370","27570"
"Leaver CS","2021","Heterosexual / straight","Unknown","200","180","36070","27570"
"Leaver CS","2021","Heterosexual / straight","White","10540","9390","33010","27570"
"Leaver CS","2021","LGBO","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Mixed","40","40","[c]","[c]"
"Leaver CS","2021","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","LGBO","Unknown","[c]","[c]","[c]","[c]"
