"Status","Year","Sexual_orientation","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","16-19","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Defence Equipment and Support","70","70","18750","19040"
"In post","2021","Heterosexual / straight","16-19","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Department for Work and Pensions (excl. agencies)","150","150","22630","21010"
"In post","2021","Heterosexual / straight","16-19","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","HM Prison and Probation Service","60","50","22330","22850"
"In post","2021","Heterosexual / straight","16-19","HM Revenue and Customs (excl. agencies)","70","70","20590","20140"
"In post","2021","Heterosexual / straight","16-19","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Public Health England","[c]","[c]","[c]","[c]"
