"Status","Year","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","14140","13120","29950","27570"
"In post","2021","Heterosexual / straight","East of England","15630","14560","30820","28130"
"In post","2021","Heterosexual / straight","London","66310","63740","43520","37560"
"In post","2021","Heterosexual / straight","North East (England)","19630","17730","28800","26290"
"In post","2021","Heterosexual / straight","North West (England)","38980","36090","29980","27570"
"In post","2021","Heterosexual / straight","Northern Ireland","2630","2470","28590","25560"
"In post","2021","Heterosexual / straight","Overseas","2500","2480","49920","50430"
"In post","2021","Heterosexual / straight","Scotland","27770","25880","33080","27570"
"In post","2021","Heterosexual / straight","South East (England)","28950","27000","31500","28550"
"In post","2021","Heterosexual / straight","South West (England)","31000","29240","34320","31100"
"In post","2021","Heterosexual / straight","Unknown","1000","950","33440","27570"
"In post","2021","Heterosexual / straight","Wales","23760","22040","31700","27570"
"In post","2021","Heterosexual / straight","West Midlands (England)","20360","18970","30470","27570"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","24350","22490","31540","27570"
"In post","2021","LGBO","East Midlands (England)","790","760","29410","27570"
"In post","2021","LGBO","East of England","740","720","29430","27570"
"In post","2021","LGBO","London","5100","5010","44850","39960"
"In post","2021","LGBO","North East (England)","1000","950","28310","25580"
"In post","2021","LGBO","North West (England)","2290","2210","29450","27570"
"In post","2021","LGBO","Northern Ireland","100","90","26250","25310"
"In post","2021","LGBO","Overseas","170","170","51520","53000"
"In post","2021","LGBO","Scotland","1640","1590","32330","27570"
"In post","2021","LGBO","South East (England)","1650","1590","30180","27850"
"In post","2021","LGBO","South West (England)","1500","1450","31370","27570"
"In post","2021","LGBO","Unknown","70","60","32570","27570"
"In post","2021","LGBO","Wales","1320","1290","30560","27570"
"In post","2021","LGBO","West Midlands (England)","1010","970","29650","27570"
"In post","2021","LGBO","Yorkshire and The Humber","1450","1400","30890","27570"
"In post","2021","Undeclared","East Midlands (England)","2010","1840","30090","27570"
"In post","2021","Undeclared","East of England","2190","2030","31120","28600"
"In post","2021","Undeclared","London","9030","8610","42910","37500"
"In post","2021","Undeclared","North East (England)","2150","1930","28690","26120"
"In post","2021","Undeclared","North West (England)","4610","4210","29800","27570"
"In post","2021","Undeclared","Northern Ireland","230","210","28130","25560"
"In post","2021","Undeclared","Overseas","370","370","47650","41800"
"In post","2021","Undeclared","Scotland","4540","4140","30330","27570"
"In post","2021","Undeclared","South East (England)","4220","3900","32130","29290"
"In post","2021","Undeclared","South West (England)","4500","4200","35690","33290"
"In post","2021","Undeclared","Unknown","120","110","32440","27570"
"In post","2021","Undeclared","Wales","4140","3680","30080","26780"
"In post","2021","Undeclared","West Midlands (England)","2500","2290","30170","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","3050","2790","30940","27570"
