"Status","Year","Parent_department","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Legal Department","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Crown Prosecution Service","140","130","43310","40000"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Crown Prosecution Service","490","460","39820","38000"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Crown Prosecution Service","110","100","42660","36240"
"In post","2021","Attorney General's Departments","Bristol, City of","Crown Prosecution Service","150","140","40450","38000"
"In post","2021","Attorney General's Departments","Bristol, City of","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Crown Prosecution Service","210","200","41090","38760"
"In post","2021","Attorney General's Departments","Central Valleys","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Crown Prosecution Service","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Government Legal Department","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Crown Prosecution Service","100","90","39950","36240"
"In post","2021","Attorney General's Departments","East Cumbria","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","Crown Prosecution Service","120","120","39460","30110"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Crown Prosecution Service","70","70","41500","38000"
"In post","2021","Attorney General's Departments","Haringey and Islington","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","Crown Prosecution Service","190","170","41150","35020"
"In post","2021","Attorney General's Departments","Hertfordshire","Crown Prosecution Service","170","150","42490","40000"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","Crown Prosecution Service","70","70","38580","28430"
"In post","2021","Attorney General's Departments","Leeds","Crown Prosecution Service","350","320","40440","38000"
"In post","2021","Attorney General's Departments","Leeds","Government Legal Department","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","Crown Prosecution Service","140","130","39010","38180"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Crown Prosecution Service","360","350","37570","30930"
"In post","2021","Attorney General's Departments","Manchester","Crown Prosecution Service","360","330","40750","38000"
"In post","2021","Attorney General's Departments","Manchester","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Kent","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Lancashire","Crown Prosecution Service","180","170","40040","38000"
"In post","2021","Attorney General's Departments","Northumberland","Crown Prosecution Service","[c]","[c]","[c]","[c]"
