"Status","Year","Parent_department","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","Crown Prosecution Service","80","70","35640","28430"
"In post","2021","Attorney General's Departments","Nottingham","Crown Prosecution Service","270","250","37300","30130"
"In post","2021","Attorney General's Departments","Overseas","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Peterborough","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","Crown Prosecution Service","110","100","38780","30110"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Sheffield","Crown Prosecution Service","140","120","35940","28430"
"In post","2021","Attorney General's Departments","Shropshire CC","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Hampshire","Crown Prosecution Service","150","140","45830","50520"
"In post","2021","Attorney General's Departments","South Teesside","Crown Prosecution Service","100","90","38060","32370"
"In post","2021","Attorney General's Departments","Staffordshire CC","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Stoke-on-Trent","Crown Prosecution Service","60","60","41930","48080"
"In post","2021","Attorney General's Departments","Suffolk","Crown Prosecution Service","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Swansea","Crown Prosecution Service","70","60","41460","38180"
"In post","2021","Attorney General's Departments","Tyneside","Crown Prosecution Service","240","220","38030","32420"
"In post","2021","Attorney General's Departments","Wakefield","Crown Prosecution Service","70","70","36100","30130"
"In post","2021","Attorney General's Departments","Warrington","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Warwickshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Cumbria","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Northamptonshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Surrey","Crown Prosecution Service","60","50","41400","40000"
"In post","2021","Attorney General's Departments","West Sussex (North East)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Westminster","Attorney General's Office","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Westminster","Crown Prosecution Service","1560","1470","45280","40530"
"In post","2021","Attorney General's Departments","Westminster","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Westminster","Government Legal Department","2390","2220","54850","52100"
"In post","2021","Attorney General's Departments","Westminster","Serious Fraud Office","490","480","46240","40700"
"In post","2021","Attorney General's Departments","Wiltshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wolverhampton","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Worcestershire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","York","Crown Prosecution Service","310","280","46790","53350"
"In post","2021","Attorney General's Departments","York","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Ards and North Down","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Belfast","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Birmingham","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Blackpool","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Bradford","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Brighton and Hove","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bristol, City of","Cabinet Office (excl. agencies)","70","60","43300","38420"
"In post","2021","Cabinet Office","Buckinghamshire CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cambridgeshire CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Camden and City of London","Cabinet Office (excl. agencies)","100","90","54190","54700"
"In post","2021","Cabinet Office","Cardiff and Vale of Glamorgan","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Central Hampshire","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Cabinet Office","City of Edinburgh","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Coventry","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Croydon","Cabinet Office (excl. agencies)","50","50","43890","32000"
"In post","2021","Cabinet Office","Darlington","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Devon CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Dorset CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Merseyside","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Glasgow City","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Gloucestershire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Greater Manchester South East","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Greater Manchester South West","Cabinet Office (excl. agencies)","170","170","45200","38890"
"In post","2021","Cabinet Office","Hackney and Newham","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Harrow and Hillingdon","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Hertfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Lambeth","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Lancaster and Wyre","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Leeds","Cabinet Office (excl. agencies)","190","180","47110","40250"
"In post","2021","Cabinet Office","Lewisham and Southwark","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Lincolnshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Liverpool","Cabinet Office (excl. agencies)","120","120","49230","49700"
"In post","2021","Cabinet Office","Manchester","Cabinet Office (excl. agencies)","100","90","46350","37300"
"In post","2021","Cabinet Office","Medway","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mid Kent","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Milton Keynes","Cabinet Office (excl. agencies)","90","90","29950","33000"
"In post","2021","Cabinet Office","Monmouthshire and Newport","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Cabinet Office","North Hampshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North Yorkshire CC","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Norwich and East Norfolk","Cabinet Office (excl. agencies)","90","90","46130","40250"
"In post","2021","Cabinet Office","Nottingham","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Oxfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Peterborough","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Plymouth","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Portsmouth","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Sefton","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Sheffield","Cabinet Office (excl. agencies)","100","100","46980","49700"
"In post","2021","Cabinet Office","South Hampshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South Lanarkshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South Teesside","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West Wales","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Suffolk","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Swansea","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Telford and Wrekin","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Tower Hamlets","Cabinet Office (excl. agencies)","870","850","51680","54700"
"In post","2021","Cabinet Office","Tyneside","Cabinet Office (excl. agencies)","400","380","28460","23850"
"In post","2021","Cabinet Office","Unknown","Cabinet Office (excl. agencies)","600","600","36250","32000"
"In post","2021","Cabinet Office","Warrington","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Cumbria","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Kent","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Sussex (North East)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Westminster","Cabinet Office (excl. agencies)","5450","5380","49380","40600"
"In post","2021","Cabinet Office","Wiltshire","Cabinet Office (excl. agencies)","70","60","61990","54700"
"In post","2021","Cabinet Office","York","Cabinet Office (excl. agencies)","440","420","29190","26670"
"In post","2021","Chancellor's other departments","Blackpool","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Camden and City of London","Government Actuary's Department","200","190","64910","57250"
"In post","2021","Chancellor's other departments","City of Edinburgh","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Durham CC","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Glasgow City","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Westminster","National Savings and Investments","160","160","52510","47410"
"In post","2021","Charity Commission","Monmouthshire and Newport","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Sefton","Charity Commission","310","290","32780","29160"
"In post","2021","Charity Commission","Somerset","Charity Commission","50","50","35580","30350"
"In post","2021","Charity Commission","Westminster","Charity Commission","70","70","42950","37910"
"In post","2021","Competition and Markets Authority","Belfast","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Cardiff and Vale of Glamorgan","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","City of Edinburgh","Competition and Markets Authority","50","50","56490","55860"
"In post","2021","Competition and Markets Authority","Tower Hamlets","Competition and Markets Authority","790","760","60810","56630"
"In post","2021","Department for Business, Energy and Industrial Strategy","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","50000","45620"
"In post","2021","Department for Business, Energy and Industrial Strategy","Aberdeen City and Aberdeenshire","Met Office","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Antrim and Newtownabbey","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Bedford","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Belfast","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Belfast","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Berkshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Berkshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Birmingham","Advisory, Conciliation and Arbitration Service","90","80","30970","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Birmingham","Department for Business, Energy and Industrial Strategy (excl. agencies)","150","150","40000","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","Birmingham","Insolvency Service","420","400","31260","26410"
"In post","2021","Department for Business, Energy and Industrial Strategy","Birmingham","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Blackpool","Insolvency Service","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Brighton and Hove","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Bristol, City of","Advisory, Conciliation and Arbitration Service","60","50","33460","30970"
"In post","2021","Department for Business, Energy and Industrial Strategy","Bristol, City of","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Bristol, City of","Insolvency Service","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cambridgeshire CC","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cambridgeshire CC","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cambridgeshire CC","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Camden and City of London","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Advisory, Conciliation and Arbitration Service","90","90","30920","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Companies House","1030","950","31130","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","70","34620","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Insolvency Service","70","70","28260","26000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Central Hampshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chorley and West Lancashire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Companies House","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Insolvency Service","70","70","25540","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Cornwall and Isles of Scilly","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Croydon","Insolvency Service","70","60","32350","27650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Devon CC","Insolvency Service","50","50","27790","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Devon CC","Met Office","1720","1640","40390","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Dumfries and Galloway","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Merseyside","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Glasgow City","Advisory, Conciliation and Arbitration Service","100","100","30430","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Glasgow City","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Greater Manchester South West","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Hackney and Newham","Insolvency Service","250","240","42830","42790"
"In post","2021","Department for Business, Energy and Industrial Strategy","Harrow and Hillingdon","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Hartlepool and Stockton-on-Tees","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Hertfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Hertfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Hounslow and Richmond upon Thames","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","43510","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Inverness and Nairn and Moray, Badenoch and Strathspey","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Isle of Anglesey","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Leeds","Advisory, Conciliation and Arbitration Service","70","60","31800","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Leeds","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Leeds","Insolvency Service","110","110","31290","28310"
"In post","2021","Department for Business, Energy and Industrial Strategy","Leeds","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Lincolnshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Manchester","Advisory, Conciliation and Arbitration Service","140","130","29840","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Manchester","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Manchester","Insolvency Service","190","190","33530","33890"
"In post","2021","Department for Business, Energy and Industrial Strategy","Medway","Insolvency Service","60","50","26670","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","UK Intellectual Property Office","1490","1410","37580","31010"
"In post","2021","Department for Business, Energy and Industrial Strategy","North and West Norfolk","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North Hampshire","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North Hampshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","North Yorkshire CC","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Nottingham","Advisory, Conciliation and Arbitration Service","100","90","29690","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Nottingham","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Nottingham","Insolvency Service","70","70","31350","28130"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Oxfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Oxfordshire","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Plymouth","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Plymouth","Insolvency Service","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Sheffield","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Shetland Islands","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Shropshire CC","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South Hampshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South Nottinghamshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West Wales","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Southampton","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Southampton","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Southend-on-Sea","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Suffolk","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Suffolk","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Suffolk","Insolvency Service","60","60","27010","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Suffolk","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Swindon","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Swindon","UK Space Agency","120","110","45900","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Tyneside","Advisory, Conciliation and Arbitration Service","140","130","29960","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Tyneside","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Tyneside","Insolvency Service","50","50","31030","27720"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Surrey","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Sussex (North East)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Westminster","Advisory, Conciliation and Arbitration Service","200","190","42390","38670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Westminster","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Westminster","Department for Business, Energy and Industrial Strategy (excl. agencies)","4810","4710","49540","53380"
