"Status","Year","Responsibility_level","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Female","Analysis","110","100","21380","21050"
"In post","2021","AA/AO","Female","Commercial","300","280","22080","21440"
"In post","2021","AA/AO","Female","Communications","300","260","21410","21400"
"In post","2021","AA/AO","Female","Counter Fraud","520","430","21520","21440"
"In post","2021","AA/AO","Female","Debt","1950","1660","21110","20140"
"In post","2021","AA/AO","Female","Digital, Data & Technology","210","190","21650","21230"
"In post","2021","AA/AO","Female","Finance","990","800","21180","21130"
"In post","2021","AA/AO","Female","Grants Management","570","480","21000","21050"
"In post","2021","AA/AO","Female","Human Resources","1150","1010","21420","21130"
"In post","2021","AA/AO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Legal","1820","1600","22140","21950"
"In post","2021","AA/AO","Female","No function","37970","32830","22040","21400"
"In post","2021","AA/AO","Female","Project Delivery","400","360","21800","21440"
"In post","2021","AA/AO","Female","Property","1050","930","21040","21100"
"In post","2021","AA/AO","Female","Security","910","860","24410","20920"
"In post","2021","AA/AO","Female","Unknown","31090","26140","21400","21010"
"In post","2021","AA/AO","Male","Analysis","100","100","21750","21260"
"In post","2021","AA/AO","Male","Commercial","220","210","22150","21160"
"In post","2021","AA/AO","Male","Communications","200","190","21490","21130"
"In post","2021","AA/AO","Male","Counter Fraud","330","320","21400","20650"
"In post","2021","AA/AO","Male","Debt","1470","1410","20730","20140"
"In post","2021","AA/AO","Male","Digital, Data & Technology","240","240","22000","21580"
"In post","2021","AA/AO","Male","Finance","500","460","20980","20670"
"In post","2021","AA/AO","Male","Grants Management","390","380","21020","21050"
"In post","2021","AA/AO","Male","Human Resources","460","450","21170","20920"
"In post","2021","AA/AO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Male","Legal","770","730","21950","21950"
"In post","2021","AA/AO","Male","No function","32540","30960","24330","22430"
"In post","2021","AA/AO","Male","Project Delivery","220","210","21380","21440"
"In post","2021","AA/AO","Male","Property","1300","1270","21880","21100"
"In post","2021","AA/AO","Male","Security","4610","4530","27160","22650"
"In post","2021","AA/AO","Male","Unknown","17960","17180","21400","21010"
"In post","2021","AA/AO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Analysis","370","340","26260","25880"
"In post","2021","EO","Female","Commercial","510","470","26710","26670"
"In post","2021","EO","Female","Communications","1500","1410","26040","25560"
"In post","2021","EO","Female","Counter Fraud","1720","1560","26980","25560"
"In post","2021","EO","Female","Debt","530","460","26920","25560"
"In post","2021","EO","Female","Digital, Data & Technology","880","820","27180","26670"
"In post","2021","EO","Female","Finance","1080","1000","26570","26670"
"In post","2021","EO","Female","Grants Management","320","280","25510","25190"
"In post","2021","EO","Female","Human Resources","1240","1150","26540","26670"
"In post","2021","EO","Female","Internal Audit","30","30","[c]","[c]"
"In post","2021","EO","Female","Legal","1720","1560","28080","28430"
"In post","2021","EO","Female","No function","17080","15680","27360","26860"
"In post","2021","EO","Female","Project Delivery","2300","2130","25230","26120"
"In post","2021","EO","Female","Property","950","860","27110","26500"
"In post","2021","EO","Female","Security","360","350","28870","26670"
"In post","2021","EO","Female","Unknown","42870","37930","27900","27570"
"In post","2021","EO","Male","Analysis","360","350","26720","26410"
"In post","2021","EO","Male","Commercial","350","350","26980","26670"
"In post","2021","EO","Male","Communications","1700","1670","25560","25560"
"In post","2021","EO","Male","Counter Fraud","1690","1650","26990","25560"
"In post","2021","EO","Male","Debt","420","410","26720","25560"
"In post","2021","EO","Male","Digital, Data & Technology","1400","1370","27610","26740"
"In post","2021","EO","Male","Finance","610","600","26230","26350"
"In post","2021","EO","Male","Grants Management","220","220","25530","25190"
"In post","2021","EO","Male","Human Resources","530","520","27010","26670"
"In post","2021","EO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Male","Legal","730","710","27990","28430"
"In post","2021","EO","Male","No function","16040","15400","29110","28080"
"In post","2021","EO","Male","Project Delivery","2310","2260","24490","25560"
"In post","2021","EO","Male","Property","1000","980","27760","26670"
"In post","2021","EO","Male","Security","820","810","33870","30750"
"In post","2021","EO","Male","Unknown","27220","26100","27890","27570"
"In post","2021","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Analysis","1010","940","57880","55970"
"In post","2021","G6/G7","Female","Commercial","800","780","60520","56040"
"In post","2021","G6/G7","Female","Communications","640","600","57850","56130"
"In post","2021","G6/G7","Female","Counter Fraud","390","370","56230","52770"
"In post","2021","G6/G7","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Digital, Data & Technology","1300","1260","56510","54700"
"In post","2021","G6/G7","Female","Finance","990","950","57840","56860"
"In post","2021","G6/G7","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Human Resources","1320","1270","57480","55550"
"In post","2021","G6/G7","Female","Internal Audit","90","80","59040","56400"
"In post","2021","G6/G7","Female","Legal","3720","3350","58930","57340"
"In post","2021","G6/G7","Female","No function","10040","9570","57840","54700"
"In post","2021","G6/G7","Female","Project Delivery","3240","3120","56750","55060"
"In post","2021","G6/G7","Female","Property","400","390","56130","54990"
