"Status","Year","Organisation","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Scottish Government","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Department for Business, Energy and Industrial Strategy","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Department for Business, Energy and Industrial Strategy","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Department for Business, Energy and Industrial Strategy","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Department for Business, Energy and Industrial Strategy","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Department for Business, Energy and Industrial Strategy","70","60","31800","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Department for Business, Energy and Industrial Strategy","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Department for Business, Energy and Industrial Strategy","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Department for Business, Energy and Industrial Strategy","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Department for Business, Energy and Industrial Strategy","200","190","42390","38670"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
