"Status","Year","Age","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Heterosexual / straight","70","70","18750","19040"
"In post","2021","16-19","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","150","150","22630","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Heterosexual / straight","[c]","[c]","[c]","[c]"
