"Status","Year","Responsibility_level","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Scotland","550","500","25300","22230"
"In post","2021","AA/AO","Angus and Dundee City","Scotland","1110","1010","21120","21010"
"In post","2021","AA/AO","Antrim and Newtownabbey","Northern Ireland","150","150","20680","20310"
"In post","2021","AA/AO","Ards and North Down","Northern Ireland","170","170","21240","20310"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","London","110","100","23280","23210"
"In post","2021","AA/AO","Barnet","London","270","240","23800","23530"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","1510","1340","23120","21010"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","760","700","23120","21130"
"In post","2021","AA/AO","Bedford","East of England","290","280","25890","25840"
"In post","2021","AA/AO","Belfast","Northern Ireland","1000","900","20660","20140"
"In post","2021","AA/AO","Berkshire","South East (England)","1000","960","27560","25540"
"In post","2021","AA/AO","Bexley and Greenwich","London","880","840","28470","28720"
"In post","2021","AA/AO","Birmingham","West Midlands (England)","3570","3230","21010","20180"
"In post","2021","AA/AO","Blackburn with Darwen","North West (England)","150","130","21040","21010"
"In post","2021","AA/AO","Blackpool","North West (England)","1760","1580","20840","21010"
"In post","2021","AA/AO","Bournemouth and Poole","South West (England)","200","180","20310","20100"
"In post","2021","AA/AO","Bradford","Yorkshire and The Humber","1330","1120","20480","20140"
"In post","2021","AA/AO","Breckland and South Norfolk","East of England","300","290","24220","23420"
"In post","2021","AA/AO","Brent","London","160","140","23490","23500"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","Wales","270","230","20500","21010"
"In post","2021","AA/AO","Brighton and Hove","South East (England)","160","140","20510","20650"
"In post","2021","AA/AO","Bristol, City of","South West (England)","1330","1220","21520","21010"
"In post","2021","AA/AO","Bromley","London","140","130","22290","22120"
"In post","2021","AA/AO","Buckinghamshire CC","South East (England)","570","540","25280","23130"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Scotland","80","70","23780","22920"
"In post","2021","AA/AO","Calderdale and Kirklees","Yorkshire and The Humber","230","190","20570","21010"
"In post","2021","AA/AO","Cambridgeshire CC","East of England","1140","1060","25360","23490"
"In post","2021","AA/AO","Camden and City of London","London","860","810","23580","23270"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","Wales","3400","3050","21330","20880"
"In post","2021","AA/AO","Causeway Coast and Glens","Northern Ireland","70","70","20410","20310"
"In post","2021","AA/AO","Central Bedfordshire","East of England","140","140","20780","20920"
"In post","2021","AA/AO","Central Hampshire","South East (England)","810","780","23220","20920"
"In post","2021","AA/AO","Central Valleys","Wales","360","320","21620","21010"
"In post","2021","AA/AO","Cheshire East","North West (England)","290","260","23870","21710"
"In post","2021","AA/AO","Cheshire West and Chester","North West (England)","160","150","20670","21010"
"In post","2021","AA/AO","Chorley and West Lancashire","North West (England)","730","670","25550","25300"
"In post","2021","AA/AO","City of Edinburgh","Scotland","3150","2980","22180","21480"
"In post","2021","AA/AO","Clackmannanshire and Fife","Scotland","470","430","22350","21010"
"In post","2021","AA/AO","Conwy and Denbighshire","Wales","130","110","22020","23250"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","South West (England)","710","640","20860","21010"
"In post","2021","AA/AO","Coventry","West Midlands (England)","290","260","20920","21010"
"In post","2021","AA/AO","Croydon","London","1740","1580","24510","25630"
"In post","2021","AA/AO","Darlington","North East (England)","100","90","21000","21000"
"In post","2021","AA/AO","Derby","East Midlands (England)","490","420","21470","21010"
"In post","2021","AA/AO","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon CC","South West (England)","1950","1720","22200","21010"
"In post","2021","AA/AO","Dorset CC","South West (England)","990","940","23860","22350"
"In post","2021","AA/AO","Dudley","West Midlands (England)","530","440","20750","21010"
