"Status","Year","Profession_of_post","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Met Office","190","180","42990","40140"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Department for Education (excl. agencies)","190","180","39800","38000"
"In post","2021","Commercial","Department for Education","Education and Skills Funding Agency","190","180","41270","36960"
"In post","2021","Commercial","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","39210","36970"
"In post","2021","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Department for Transport (excl. agencies)","90","90","50180","46920"
"In post","2021","Commercial","Department for Transport","Driver and Vehicle Licensing Agency","160","140","32760","31040"
"In post","2021","Commercial","Department for Transport","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","200","200","48750","40650"
"In post","2021","Commercial","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Public Health England","40","40","[c]","[c]"
"In post","2021","Commercial","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","FCDO Services","80","80","47060","41610"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","80","70","41640","39860"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","70","70","39630","38630"
"In post","2021","Commercial","HM Revenue and Customs","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Home Office (incl. agencies)","90","90","41360","42100"
"In post","2021","Commercial","Ministry of Defence","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Defence Equipment and Support","920","880","39490","35570"
"In post","2021","Commercial","Ministry of Defence","Defence Science and Technology Laboratory","70","70","33740","35520"
"In post","2021","Commercial","Ministry of Defence","Ministry of Defence (excl. agencies)","860","820","36300","34800"
"In post","2021","Commercial","Ministry of Defence","Submarine Delivery Agency","150","140","40040","38240"
"In post","2021","Commercial","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
