"Status","Year","Profession_of_post","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","390","380","40900","38710"
"In post","2021","Commercial","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Birmingham","60","60","39430","38000"
"In post","2021","Commercial","Commercial","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Bristol, City of","70","70","40190","39390"
"In post","2021","Commercial","Commercial","Buckinghamshire CC","50","50","36230","36800"
"In post","2021","Commercial","Commercial","Cambridgeshire CC","50","50","36410","34800"
"In post","2021","Commercial","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Central Hampshire","130","130","34750","34800"
"In post","2021","Commercial","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","City of Edinburgh","50","50","36660","34190"
"In post","2021","Commercial","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Croydon","110","100","44730","44250"
"In post","2021","Commercial","Commercial","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Devon CC","200","190","42960","40140"
"In post","2021","Commercial","Commercial","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Glasgow City","90","90","35010","33300"
"In post","2021","Commercial","Commercial","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Greater Manchester South West","60","60","40360","38630"
"In post","2021","Commercial","Commercial","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Hounslow and Richmond upon Thames","50","50","[c]","[c]"
"In post","2021","Commercial","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
