"Status","Year","Region_ITL1","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Department for Work and Pensions (excl. agencies)","620","540","24300","21010"
"In post","2021","East Midlands (England)","Derby","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","HM Courts and Tribunals Service","130","110","22430","19830"
"In post","2021","East Midlands (England)","Derby","HM Prison and Probation Service","130","110","29380","28200"
"In post","2021","East Midlands (England)","Derby","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Department for Work and Pensions (excl. agencies)","320","270","26040","27570"
"In post","2021","East Midlands (England)","East Derbyshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Crown Prosecution Service","140","130","39010","38180"
"In post","2021","East Midlands (England)","Leicester","Department for Work and Pensions (excl. agencies)","910","810","24960","27570"
"In post","2021","East Midlands (England)","Leicester","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","HM Courts and Tribunals Service","370","330","22240","20100"
"In post","2021","East Midlands (England)","Leicester","HM Land Registry","310","290","29170","27130"
"In post","2021","East Midlands (England)","Leicester","HM Prison and Probation Service","410","390","29280","27410"
"In post","2021","East Midlands (England)","Leicester","HM Revenue and Customs (excl. agencies)","430","380","26360","21440"
"In post","2021","East Midlands (England)","Leicester","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Department for Work and Pensions (excl. agencies)","110","90","28060","27570"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","HM Courts and Tribunals Service","160","130","21290","19830"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","HM Prison and Probation Service","910","870","29660","27380"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Home Office (incl. agencies)","200","190","28150","26160"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Ministry of Defence (excl. agencies)","370","350","28290","21580"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire CC and Rutland","National Crime Agency","80","80","36460","37590"
