"Status","Year","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","86150","77910","22460","21100"
"In post","2021","AA/AO","LGBO","4910","4690","22760","21050"
"In post","2021","AA/AO","Undeclared","12670","11180","22440","21160"
"In post","2021","AA/AO","Unknown","36930","32820","22440","21010"
"In post","2021","EO","Heterosexual / straight","85270","79220","27690","27570"
"In post","2021","EO","LGBO","4980","4810","27640","27570"
"In post","2021","EO","Undeclared","11930","10900","27960","27570"
"In post","2021","EO","Unknown","26720","24510","27860","27570"
"In post","2021","G6/G7","Heterosexual / straight","41990","40480","58790","57110"
"In post","2021","G6/G7","LGBO","2780","2730","58550","56570"
"In post","2021","G6/G7","Undeclared","5320","5130","59520","57540"
"In post","2021","G6/G7","Unknown","12330","11830","58600","56350"
"In post","2021","SCS","Heterosexual / straight","4900","4740","90230","82500"
"In post","2021","SCS","LGBO","340","330","87540","79380"
"In post","2021","SCS","Undeclared","480","460","89420","82130"
"In post","2021","SCS","Unknown","1570","1520","92460","83040"
"In post","2021","SEO/HEO","Heterosexual / straight","87050","83540","36910","36160"
"In post","2021","SEO/HEO","LGBO","5170","5070","36150","35110"
"In post","2021","SEO/HEO","Undeclared","12030","11480","37450","36620"
"In post","2021","SEO/HEO","Unknown","24800","23850","36170","35120"
"In post","2021","Unknown","Heterosexual / straight","11620","10870","31830","30210"
"In post","2021","Unknown","LGBO","650","630","29690","28200"
"In post","2021","Unknown","Undeclared","1240","1160","34720","33820"
"In post","2021","Unknown","Unknown","3060","2940","34210","32700"
"In post","2022","AA/AO","Heterosexual / straight","86390","78200","22900","21380"
"In post","2022","AA/AO","LGBO","5400","5170","23150","21300"
"In post","2022","AA/AO","Undeclared","11140","9830","22900","21430"
"In post","2022","AA/AO","Unknown","34230","30610","22950","21300"
"In post","2022","EO","Heterosexual / straight","88330","82220","27930","27570"
"In post","2022","EO","LGBO","5530","5360","27820","27570"
"In post","2022","EO","Undeclared","11250","10330","28130","27570"
"In post","2022","EO","Unknown","26160","24100","28160","27570"
"In post","2022","G6/G7","Heterosexual / straight","47020","45380","59100","57190"
"In post","2022","G6/G7","LGBO","3330","3270","58440","55790"
"In post","2022","G6/G7","Undeclared","6090","5870","59550","57440"
"In post","2022","G6/G7","Unknown","13020","12530","59110","57430"
"In post","2022","SCS","Heterosexual / straight","5110","4950","89910","82300"
"In post","2022","SCS","LGBO","370","360","87220","79360"
"In post","2022","SCS","Undeclared","560","540","89150","82340"
"In post","2022","SCS","Unknown","1180","1150","96300","86720"
"In post","2022","SEO/HEO","Heterosexual / straight","96880","93160","37310","36500"
"In post","2022","SEO/HEO","LGBO","6390","6280","36550","35590"
"In post","2022","SEO/HEO","Undeclared","12820","12270","37730","36970"
"In post","2022","SEO/HEO","Unknown","25430","24560","36550","35680"
"In post","2022","Unknown","Heterosexual / straight","15510","14520","31570","28760"
"In post","2022","Unknown","LGBO","1030","1000","29880","27060"
"In post","2022","Unknown","Undeclared","1380","1290","33920","32720"
"In post","2022","Unknown","Unknown","5520","5160","31470","28760"
"Leaver CS","2021","AA/AO","Heterosexual / straight","5210","4640","21300","21010"
"Leaver CS","2021","AA/AO","LGBO","340","320","21010","21010"
"Leaver CS","2021","AA/AO","Undeclared","760","640","21500","21010"
"Leaver CS","2021","AA/AO","Unknown","5600","4750","21100","21010"
"Leaver CS","2021","EO","Heterosexual / straight","2670","2360","27330","27570"
"Leaver CS","2021","EO","LGBO","160","150","27270","27570"
"Leaver CS","2021","EO","Undeclared","460","400","27860","27570"
"Leaver CS","2021","EO","Unknown","2890","2430","27370","27570"
"Leaver CS","2021","G6/G7","Heterosexual / straight","1190","1090","60550","58230"
"Leaver CS","2021","G6/G7","LGBO","80","70","59710","58190"
"Leaver CS","2021","G6/G7","Undeclared","200","180","62290","59740"
"Leaver CS","2021","G6/G7","Unknown","1030","880","60380","57940"
"Leaver CS","2021","SCS","Heterosexual / straight","240","210","97670","93400"
"Leaver CS","2021","SCS","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","180","140","99050","90000"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","2580","2380","37240","36560"
"Leaver CS","2021","SEO/HEO","LGBO","140","130","36770","36780"
"Leaver CS","2021","SEO/HEO","Undeclared","470","420","38390","37320"
"Leaver CS","2021","SEO/HEO","Unknown","2350","2070","36380","35660"
"Leaver CS","2021","Unknown","Heterosexual / straight","520","450","38260","36030"
"Leaver CS","2021","Unknown","LGBO","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","70","60","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","640","600","34740","32400"
"Leaver CS","2022","AA/AO","Heterosexual / straight","8900","8000","21770","21260"
"Leaver CS","2022","AA/AO","LGBO","710","690","21440","21260"
"Leaver CS","2022","AA/AO","Undeclared","1060","890","21960","21260"
"Leaver CS","2022","AA/AO","Unknown","6740","5870","21700","21260"
"Leaver CS","2022","EO","Heterosexual / straight","6130","5490","27810","27570"
"Leaver CS","2022","EO","LGBO","510","480","27560","27570"
"Leaver CS","2022","EO","Undeclared","920","720","27890","27570"
