"Status","Year","Region_ITL2","Region_ITL3","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Department for Work and Pensions (excl. agencies)","170","150","27950","27570"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Health and Safety Executive","60","60","43690","45100"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","HM Prison and Probation Service","370","350","29520","29920"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Home Office (incl. agencies)","120","110","28790","26160"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Defence Equipment and Support","60","60","36290","35210"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Ministry of Defence (excl. agencies)","310","300","29500","26670"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Crown Prosecution Service","170","150","42490","40000"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Department for Work and Pensions (excl. agencies)","730","670","29560","29290"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","HM Courts and Tribunals Service","170","150","24680","22080"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","HM Prison and Probation Service","550","530","30520","30290"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","HM Revenue and Customs (excl. agencies)","50","50","31110","29570"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Medicines and Healthcare Products Regulatory Agency","320","310","44060","41010"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Ministry of Defence (excl. agencies)","430","420","40710","37640"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Ministry of Housing, Communities and Local Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","National Crime Agency","90","80","40390","40130"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Department for Work and Pensions (excl. agencies)","180","170","26760","27570"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","HM Courts and Tribunals Service","120","100","22440","20530"
"In post","2021","Bedfordshire and Hertfordshire","Luton","HM Prison and Probation Service","90","80","26140","22920"
"In post","2021","Bedfordshire and Hertfordshire","Luton","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Home Office (incl. agencies)","150","130","28720","27370"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Crown Prosecution Service","140","130","43310","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","180","180","40880","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Department for International Trade","120","110","47060","51860"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Department for Work and Pensions (excl. agencies)","460","420","29410","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
