"Status","Year","Sexual_orientation","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","No function","370","350","44130","33650"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Security","60","60","40940","44070"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Unknown","580","540","33710","29190"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Legal","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","No function","190","170","24690","21490"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Unknown","970","900","26960","23340"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Security","60","60","21210","20310"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Unknown","80","80","25120","21670"
"In post","2021","Heterosexual / straight","Ards and North Down","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","No function","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Security","80","80","20760","20310"
"In post","2021","Heterosexual / straight","Ards and North Down","Unknown","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","No function","90","80","28670","26410"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Unknown","310","280","30810","31060"
"In post","2021","Heterosexual / straight","Barnet","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","No function","720","670","38190","32650"
"In post","2021","Heterosexual / straight","Barnet","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Unknown","330","320","35590","31060"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","No function","1030","950","28400","26780"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Security","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Unknown","920","790","25310","27570"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","460","450","42360","40290"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","60","60","38980","36240"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","120","110","36760","36620"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","550","520","40660","35660"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","490","460","35990","32030"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","700","660","31870","31650"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","6540","6340","38710","36590"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","240","230","39240","37490"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","80","80","27640","19560"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","980","920","33840","28430"
"In post","2021","Heterosexual / straight","Bedford","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","No function","330","310","31620","30400"
"In post","2021","Heterosexual / straight","Bedford","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Unknown","220","200","28310","27570"
"In post","2021","Heterosexual / straight","Belfast","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Counter Fraud","260","250","32230","31810"
"In post","2021","Heterosexual / straight","Belfast","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","No function","1000","930","30850","28130"
"In post","2021","Heterosexual / straight","Belfast","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Belfast","Unknown","400","360","25040","21670"
"In post","2021","Heterosexual / straight","Berkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Digital, Data & Technology","70","70","40930","36970"
"In post","2021","Heterosexual / straight","Berkshire","Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Grants Management","80","80","31240","26520"
"In post","2021","Heterosexual / straight","Berkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Legal","110","100","43430","40800"
"In post","2021","Heterosexual / straight","Berkshire","No function","470","440","33860","31980"
"In post","2021","Heterosexual / straight","Berkshire","Project Delivery","60","60","45860","41820"
"In post","2021","Heterosexual / straight","Berkshire","Property","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire","Security","390","390","35520","39070"
"In post","2021","Heterosexual / straight","Berkshire","Unknown","550","530","30090","29290"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","Legal","[c]","[c]","[c]","[c]"
