"Status","Year","Sex","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Unknown","1050","850","25090","27570"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","30","30","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","270","250","41130","34800"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","40","40","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","50","50","32280","29000"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","380","350","37810","33520"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","440","400","33890","30090"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","30","30","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","590","540","30060","28840"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","2730","2560","35460","33190"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","120","120","36790","35170"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","630","570","30210","27570"
"In post","2021","Female","Bedford","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","No function","260","240","28900","27850"
"In post","2021","Female","Bedford","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Unknown","180","160","28240","27570"
"In post","2021","Female","Belfast","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Counter Fraud","190","170","30930","28130"
"In post","2021","Female","Belfast","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","No function","900","810","28290","25560"
"In post","2021","Female","Belfast","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Belfast","Unknown","240","210","24820","21880"
"In post","2021","Female","Berkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Female","Berkshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Digital, Data & Technology","50","40","[c]","[c]"
"In post","2021","Female","Berkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Grants Management","80","70","26330","21050"
"In post","2021","Female","Berkshire","Human Resources","30","30","[c]","[c]"
"In post","2021","Female","Berkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Legal","120","110","43140","40800"
"In post","2021","Female","Berkshire","No function","390","360","31930","29240"
"In post","2021","Female","Berkshire","Project Delivery","30","30","[c]","[c]"
"In post","2021","Female","Berkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Berkshire","Security","60","60","32520","28750"
"In post","2021","Female","Berkshire","Unknown","470","430","29200","29290"
"In post","2021","Female","Bexley and Greenwich","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","No function","570","540","30080","28720"
"In post","2021","Female","Bexley and Greenwich","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bexley and Greenwich","Unknown","320","290","31150","31060"
"In post","2021","Female","Birmingham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Birmingham","Communications","120","110","31760","28130"
"In post","2021","Female","Birmingham","Counter Fraud","300","270","30900","28130"
"In post","2021","Female","Birmingham","Debt","250","210","21990","20140"
"In post","2021","Female","Birmingham","Digital, Data & Technology","80","80","41430","37740"
"In post","2021","Female","Birmingham","Finance","50","40","[c]","[c]"
"In post","2021","Female","Birmingham","Human Resources","90","80","41550","39490"
"In post","2021","Female","Birmingham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Legal","400","360","37600","31810"
"In post","2021","Female","Birmingham","No function","3460","3160","29760","25080"
"In post","2021","Female","Birmingham","Project Delivery","160","160","40860","38630"
"In post","2021","Female","Birmingham","Property","120","100","32260","29550"
"In post","2021","Female","Birmingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Birmingham","Unknown","1500","1290","26840","27570"
"In post","2021","Female","Blackburn with Darwen","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","No function","80","70","25610","22920"
"In post","2021","Female","Blackburn with Darwen","Unknown","210","180","26540","27570"
"In post","2021","Female","Blackpool","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","No function","120","110","27640","23840"
"In post","2021","Female","Blackpool","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Unknown","3040","2680","28040","27570"
"In post","2021","Female","Bournemouth and Poole","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","No function","160","130","25750","22260"
"In post","2021","Female","Bournemouth and Poole","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bournemouth and Poole","Unknown","240","200","27100","27570"
"In post","2021","Female","Bradford","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Debt","190","160","24510","21440"
"In post","2021","Female","Bradford","Digital, Data & Technology","120","110","35870","31810"
"In post","2021","Female","Bradford","Finance","270","210","23300","21440"
"In post","2021","Female","Bradford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","No function","590","500","25920","21440"
"In post","2021","Female","Bradford","Project Delivery","70","70","42000","38630"
"In post","2021","Female","Bradford","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bradford","Unknown","560","470","25550","27570"
"In post","2021","Female","Breckland and South Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","No function","170","160","27900","24620"
"In post","2021","Female","Breckland and South Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Breckland and South Norfolk","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Brent","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","No function","150","140","27200","23500"
"In post","2021","Female","Brent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brent","Property","70","60","34610","29760"
"In post","2021","Female","Brent","Unknown","170","150","30230","31060"
"In post","2021","Female","Bridgend and Neath Port Talbot","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","No function","150","140","27320","23170"
"In post","2021","Female","Bridgend and Neath Port Talbot","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bridgend and Neath Port Talbot","Unknown","330","280","25940","27570"
"In post","2021","Female","Brighton and Hove","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Legal","80","80","41640","36240"
"In post","2021","Female","Brighton and Hove","No function","160","140","27120","22920"
"In post","2021","Female","Brighton and Hove","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Brighton and Hove","Unknown","170","150","27460","27570"
"In post","2021","Female","Bristol, City of","Analysis","80","70","38750","33520"
"In post","2021","Female","Bristol, City of","Commercial","50","50","[c]","[c]"
"In post","2021","Female","Bristol, City of","Communications","60","50","37300","35900"
"In post","2021","Female","Bristol, City of","Counter Fraud","160","150","34130","31810"
"In post","2021","Female","Bristol, City of","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Digital, Data & Technology","150","150","39760","37300"
"In post","2021","Female","Bristol, City of","Finance","80","70","37110","34290"
"In post","2021","Female","Bristol, City of","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Human Resources","110","100","40830","38530"
"In post","2021","Female","Bristol, City of","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Legal","130","120","39730","34480"
"In post","2021","Female","Bristol, City of","No function","1940","1760","34770","30210"
"In post","2021","Female","Bristol, City of","Project Delivery","90","80","43000","40140"
"In post","2021","Female","Bristol, City of","Property","90","80","33330","31070"
"In post","2021","Female","Bristol, City of","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bristol, City of","Unknown","550","460","26430","27570"
"In post","2021","Female","Bromley","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bromley","No function","110","100","24770","22450"
"In post","2021","Female","Bromley","Unknown","200","180","31070","31060"
"In post","2021","Female","Buckinghamshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Finance","80","70","37870","35300"
"In post","2021","Female","Buckinghamshire CC","Human Resources","30","30","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","No function","380","350","29890","28200"
"In post","2021","Female","Buckinghamshire CC","Project Delivery","90","80","37350","35300"
"In post","2021","Female","Buckinghamshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Buckinghamshire CC","Unknown","330","300","28110","27570"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Caithness and Sutherland and Ross and Cromarty","Legal","[c]","[c]","[c]","[c]"
