"Status","Year","Responsibility_level","Region_ITL3","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","Unknown","180","170","23890","22820"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","White","330","310","25940","22230"
"In post","2021","AA/AO","Angus and Dundee City","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Undeclared","40","30","[c]","[c]"
"In post","2021","AA/AO","Angus and Dundee City","Unknown","240","220","21000","21010"
"In post","2021","AA/AO","Angus and Dundee City","White","790","720","21160","21010"
"In post","2021","AA/AO","Antrim and Newtownabbey","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Antrim and Newtownabbey","White","140","130","20730","20310"
"In post","2021","AA/AO","Ards and North Down","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Ards and North Down","White","150","150","21150","20310"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","White","60","50","23270","23210"
"In post","2021","AA/AO","Barnet","Asian","90","80","23930","23530"
"In post","2021","AA/AO","Barnet","Black","40","40","[c]","[c]"
"In post","2021","AA/AO","Barnet","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnet","White","90","80","23780","23530"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Undeclared","50","50","24010","21010"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","Unknown","190","180","23100","21710"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","White","1240","1090","23070","21010"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","90","90","22040","20920"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","White","610","560","23280","21130"
