"Status","Year","Function_of_post","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Government Actuary's Department","170","160","69960","65470"
"In post","2021","Analysis","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","130","130","60200","56360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","290","43370","36630"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","Department for Education (excl. agencies)","410","390","44380","43020"
"In post","2021","Analysis","Department for Education","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","480","460","33750","29750"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","38190","32840"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Rural Payments Agency","30","30","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","250","250","43170","38540"
"In post","2021","Analysis","Department for Transport","Department for Transport (excl. agencies)","400","390","46700","43360"
"In post","2021","Analysis","Department for Transport","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Driver and Vehicle Standards Agency","60","60","31040","31860"
"In post","2021","Analysis","Department for Transport","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Health and Safety Executive","40","30","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","290","280","52060","53360"
"In post","2021","Analysis","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office (excl. agencies)","70","60","58060","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","640","620","44040","38630"
"In post","2021","Analysis","HM Revenue and Customs","Valuation Office Agency","50","50","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
