"Status","Year","Profession_of_post","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","AA/AO","160","150","22370","21710"
"In post","2021","Commercial","Female","EO","420","390","25870","26400"
"In post","2021","Commercial","Female","G6/G7","470","450","57950","54970"
"In post","2021","Commercial","Female","SCS","50","40","[c]","[c]"
"In post","2021","Commercial","Female","SEO/HEO","1650","1570","36900","36780"
"In post","2021","Commercial","Female","Unknown","110","100","36870","33010"
"In post","2021","Commercial","Male","AA/AO","110","100","22760","21590"
"In post","2021","Commercial","Male","EO","290","280","26120","26360"
"In post","2021","Commercial","Male","G6/G7","550","540","59890","58110"
"In post","2021","Commercial","Male","SCS","60","60","89190","80900"
"In post","2021","Commercial","Male","SEO/HEO","1390","1380","38550","38160"
"In post","2021","Commercial","Male","Unknown","110","110","40320","38240"
"In post","2021","Communications","Female","AA/AO","140","130","22170","21590"
"In post","2021","Communications","Female","EO","370","350","27400","26970"
"In post","2021","Communications","Female","G6/G7","560","530","57970","56620"
"In post","2021","Communications","Female","SCS","70","60","83440","79580"
"In post","2021","Communications","Female","SEO/HEO","1190","1140","37870","37410"
"In post","2021","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","AA/AO","100","100","22340","21580"
"In post","2021","Communications","Male","EO","260","260","27550","27270"
"In post","2021","Communications","Male","G6/G7","380","380","58220","56960"
"In post","2021","Communications","Male","SCS","50","50","91190","84670"
"In post","2021","Communications","Male","SEO/HEO","830","820","38080","37410"
"In post","2021","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","G6/G7","30","30","[c]","[c]"
"In post","2021","Corporate Finance","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Corporate Finance","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","G6/G7","40","40","[c]","[c]"
"In post","2021","Corporate Finance","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","AA/AO","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Female","EO","120","110","26410","25580"
"In post","2021","Counter Fraud","Female","G6/G7","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","SEO/HEO","210","200","37240","37910"
"In post","2021","Counter Fraud","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","EO","70","70","26920","26350"
"In post","2021","Counter Fraud","Male","G6/G7","90","80","61810","58820"
"In post","2021","Counter Fraud","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","SEO/HEO","310","310","37770","38090"
"In post","2021","Digital, Data and Technology","Female","AA/AO","190","180","21760","21420"
"In post","2021","Digital, Data and Technology","Female","EO","810","760","27230","26670"
"In post","2021","Digital, Data and Technology","Female","G6/G7","1190","1150","57040","55650"
"In post","2021","Digital, Data and Technology","Female","SCS","80","80","87410","80420"
"In post","2021","Digital, Data and Technology","Female","SEO/HEO","2340","2220","36870","36740"
"In post","2021","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","AA/AO","250","250","22030","21590"
"In post","2021","Digital, Data and Technology","Male","EO","1410","1390","27660","26750"
"In post","2021","Digital, Data and Technology","Male","G6/G7","2270","2250","59010","57460"
"In post","2021","Digital, Data and Technology","Male","SCS","140","140","93360","87910"
"In post","2021","Digital, Data and Technology","Male","SEO/HEO","4530","4470","38210","38070"
"In post","2021","Digital, Data and Technology","Male","Unknown","50","50","37220","37440"
"In post","2021","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","AA/AO","40","40","[c]","[c]"
"In post","2021","Economics","Female","EO","60","60","26300","26250"
"In post","2021","Economics","Female","G6/G7","360","330","59210","57850"
"In post","2021","Economics","Female","SCS","30","30","[c]","[c]"
"In post","2021","Economics","Female","SEO/HEO","310","310","34670","33880"
"In post","2021","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","AA/AO","50","50","22680","22500"
"In post","2021","Economics","Male","EO","60","60","27640","27680"
"In post","2021","Economics","Male","G6/G7","590","580","59840","58130"
"In post","2021","Economics","Male","SCS","60","60","88330","81610"
"In post","2021","Economics","Male","SEO/HEO","600","590","35070","34000"
"In post","2021","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","AA/AO","810","660","21400","21440"
"In post","2021","Finance","Female","EO","1050","970","26670","26670"
"In post","2021","Finance","Female","G6/G7","1020","980","58220","57460"
