"Status","Year","Organisation","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Heterosexual / straight","Scotland","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Scotland","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","East Midlands (England)","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","East of England","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","London","130","130","42740","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","North East (England)","80","70","31310","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","North West (England)","80","80","31330","31140"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Scotland","70","60","31930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","South West (England)","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Wales","50","50","32330","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","West Midlands (England)","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","London","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","London","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","North East (England)","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","North West (England)","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","East Midlands (England)","60","60","31830","29180"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","East of England","110","100","31580","29180"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","London","70","70","35820","31800"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","North West (England)","200","190","27590","24920"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Scotland","100","100","31330","26520"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","South East (England)","480","460","32740","28600"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","South West (England)","290","270","29150","24920"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Wales","220","210","28120","25010"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","West Midlands (England)","180","170","29930","26520"
"In post","2021","Animal and Plant Health Agency","Heterosexual / straight","Yorkshire and The Humber","140","140","29250","25330"
"In post","2021","Animal and Plant Health Agency","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","South East (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","North West (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","South East (England)","80","80","38370","33790"
"In post","2021","Animal and Plant Health Agency","Undeclared","South West (England)","50","50","28890","25320"
"In post","2021","Animal and Plant Health Agency","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","South East (England)","90","80","30640","26520"
"In post","2021","Animal and Plant Health Agency","Unknown","South West (England)","60","60","29450","25600"
"In post","2021","Animal and Plant Health Agency","Unknown","Wales","60","50","28810","26520"
"In post","2021","Animal and Plant Health Agency","Unknown","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Heterosexual / straight","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","East of England","60","50","39830","33300"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","London","3220","3160","51980","54700"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","North East (England)","310","290","28550","23850"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","North West (England)","170","160","44130","37300"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","South East (England)","80","80","37440","33300"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","South West (England)","60","60","44300","38420"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Unknown","140","140","41870","35900"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Heterosexual / straight","Yorkshire and The Humber","340","320","35580","33300"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","London","370","360","47280","41820"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","London","410","400","50850","54700"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East of England","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","London","2510","2490","47150","34550"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North East (England)","70","70","34980","28630"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North West (England)","270","270","49100","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Scotland","70","70","50160","50260"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South East (England)","130","120","46700","35900"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South West (England)","110","110","60550","53320"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","440","440","34530","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Wales","50","50","35770","29250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Yorkshire and The Humber","350","330","37590","29250"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","East of England","170","160","34000","29510"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","South West (England)","50","50","33540","29990"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","East of England","260","250","35290","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","South West (England)","80","70","32270","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","London","40","40","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","North West (England)","170","160","32590","29160"
"In post","2021","Charity Commission","Heterosexual / straight","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","London","30","30","[c]","[c]"
"In post","2021","Charity Commission","Unknown","North West (England)","120","110","33170","29320"
"In post","2021","Charity Commission","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","London","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Heterosexual / straight","Wales","680","620","32200","27460"
"In post","2021","Companies House","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","LGBO","Wales","30","30","[c]","[c]"
"In post","2021","Companies House","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Wales","80","80","30830","25100"
"In post","2021","Companies House","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Wales","240","220","28130","22490"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","London","640","610","60050","56360"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Scotland","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","London","50","50","57990","56110"
"In post","2021","Competition and Markets Authority","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","London","50","50","60970","58010"
"In post","2021","Competition and Markets Authority","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","London","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Heterosexual / straight","Scotland","190","180","26650","22710"
"In post","2021","Criminal Injuries Compensation Authority","LGBO","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Scotland","70","70","25090","22570"
"In post","2021","Crown Commercial Service","Heterosexual / straight","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","East of England","110","110","35820","34800"
"In post","2021","Crown Commercial Service","Heterosexual / straight","London","50","50","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","North West (England)","290","290","39320","35290"
"In post","2021","Crown Commercial Service","Heterosexual / straight","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Wales","80","70","34900","34800"
"In post","2021","Crown Commercial Service","Heterosexual / straight","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Heterosexual / straight","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","LGBO","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","East of England","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","North West (England)","90","90","34310","30810"
"In post","2021","Crown Commercial Service","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Heterosexual / straight","Scotland","1740","1610","35150","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","LGBO","Scotland","80","70","33390","27810"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Scotland","100","90","39430","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Scotland","110","100","42960","40600"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","East Midlands (England)","320","290","38320","34480"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","East of England","350","320","39880","35020"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","London","1200","1140","44690","40000"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","North East (England)","240","220","38110","33310"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","North West (England)","710","660","38810","33310"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","South East (England)","480","450","41640","36240"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","South West (England)","210","200","38580","33310"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Wales","250","240","40610","38090"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","West Midlands (England)","390","360","39180","38000"
"In post","2021","Crown Prosecution Service","Heterosexual / straight","Yorkshire and The Humber","630","590","40630","38180"
"In post","2021","Crown Prosecution Service","LGBO","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","London","90","80","44810","39750"
"In post","2021","Crown Prosecution Service","LGBO","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","North West (England)","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","LGBO","South East (England)","[c]","[c]","[c]","[c]"
