"Status","Year","Organisation","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","AA/AO","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","EO","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","130","120","41470","39120"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","EO","60","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","SEO/HEO","70","60","33810","31130"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","EO","60","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","SEO/HEO","70","70","34230","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","EO","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","SEO/HEO","50","50","34050","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","EO","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","SEO/HEO","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","EO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","EO","60","60","26100","25520"
"In post","2021","Animal and Plant Health Agency","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","SEO/HEO","70","60","35100","32830"
"In post","2021","Animal and Plant Health Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","EO","60","50","30950","31460"
"In post","2021","Animal and Plant Health Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","AA/AO","120","110","21100","21050"
"In post","2021","Animal and Plant Health Agency","North West (England)","EO","80","70","25640","25190"
"In post","2021","Animal and Plant Health Agency","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","SEO/HEO","70","60","37120","35900"
"In post","2021","Animal and Plant Health Agency","Scotland","AA/AO","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","EO","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","AA/AO","180","170","24230","24370"
"In post","2021","Animal and Plant Health Agency","South East (England)","EO","200","190","27730","28170"
"In post","2021","Animal and Plant Health Agency","South East (England)","G6/G7","60","50","57860","55400"
"In post","2021","Animal and Plant Health Agency","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","SEO/HEO","240","230","36750","35820"
"In post","2021","Animal and Plant Health Agency","South West (England)","AA/AO","160","150","21110","21050"
"In post","2021","Animal and Plant Health Agency","South West (England)","EO","110","100","25410","25190"
"In post","2021","Animal and Plant Health Agency","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","SEO/HEO","120","120","37180","36970"
"In post","2021","Animal and Plant Health Agency","Wales","AA/AO","140","130","21100","21050"
"In post","2021","Animal and Plant Health Agency","Wales","EO","70","60","25560","25190"
"In post","2021","Animal and Plant Health Agency","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","SEO/HEO","100","90","35230","36590"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","AA/AO","80","70","21030","21050"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","EO","80","70","25380","25190"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","SEO/HEO","100","90","35290","35900"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","AA/AO","60","60","21840","21050"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","EO","70","60","25860","25320"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","SEO/HEO","70","60","34200","34230"
"In post","2021","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","G6/G7","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","AA/AO","140","140","24470","24490"
"In post","2021","Cabinet Office (excl. agencies)","London","EO","600","590","27960","27500"
"In post","2021","Cabinet Office (excl. agencies)","London","G6/G7","2370","2330","59810","56470"
"In post","2021","Cabinet Office (excl. agencies)","London","SCS","760","750","94650","80420"
"In post","2021","Cabinet Office (excl. agencies)","London","SEO/HEO","2630","2610","34120","34550"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","AA/AO","160","140","20800","20800"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","EO","100","90","24800","23850"
