"Status","Year","Sexual_orientation","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","AA/AO","250","230","25980","22220"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","EO","360","330","28770","27570"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","G6/G7","90","90","66900","61120"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","SEO/HEO","370","360","47160","38620"
"In post","2021","Heterosexual / straight","Angus and Dundee City","AA/AO","630","580","21230","21010"
"In post","2021","Heterosexual / straight","Angus and Dundee City","EO","340","310","27400","27570"
"In post","2021","Heterosexual / straight","Angus and Dundee City","G6/G7","50","50","61750","61010"
"In post","2021","Heterosexual / straight","Angus and Dundee City","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","SEO/HEO","180","170","37220","35000"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","AA/AO","130","130","20750","20310"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","AA/AO","130","130","20890","20310"
"In post","2021","Heterosexual / straight","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","AA/AO","80","70","23580","23210"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","EO","250","230","30980","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","AA/AO","200","170","23780","23530"
"In post","2021","Heterosexual / straight","Barnet","EO","310","290","29830","31060"
"In post","2021","Heterosexual / straight","Barnet","G6/G7","180","180","60060","56730"
"In post","2021","Heterosexual / straight","Barnet","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","SEO/HEO","390","380","38370","38930"
