"Status","Year","Sexual_orientation","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Female","1830","1680","31390","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Male","1380","1340","33950","30830"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Female","3360","3110","31520","28350"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Male","3270","3210","34260","31800"
"In post","2021","Heterosexual / straight","Cheshire","Female","1540","1420","30450","27570"
"In post","2021","Heterosexual / straight","Cheshire","Male","1170","1140","33530","31650"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Female","630","550","26450","26670"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Male","500","480","27060","26670"
"In post","2021","Heterosexual / straight","Cumbria","Female","750","650","27090","25150"
"In post","2021","Heterosexual / straight","Cumbria","Male","540","530","30980","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Female","4540","4090","30700","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Male","3340","3220","32890","28130"
"In post","2021","Heterosexual / straight","Devon","Female","2480","2160","28270","27000"
"In post","2021","Heterosexual / straight","Devon","Male","2410","2320","30890","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Female","1740","1560","28260","27130"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Male","1860","1800","30790","28400"
"In post","2021","Heterosexual / straight","East Anglia","Female","4520","4080","28940","27140"
"In post","2021","Heterosexual / straight","East Anglia","Male","4120","3990","31500","28400"
"In post","2021","Heterosexual / straight","East Wales","Female","7470","6810","32560","28130"
"In post","2021","Heterosexual / straight","East Wales","Male","5760","5600","34750","29890"
"In post","2021","Heterosexual / straight","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Female","1600","1390","26890","26670"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Male","1640","1570","29060","27130"
"In post","2021","Heterosexual / straight","Eastern Scotland","Female","6210","5720","35110","29190"
"In post","2021","Heterosexual / straight","Eastern Scotland","Male","4780","4650","36650","32140"
"In post","2021","Heterosexual / straight","Essex","Female","2170","1950","29670","29290"
"In post","2021","Heterosexual / straight","Essex","Male","1600","1520","32610","29290"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Female","10100","9310","34060","30990"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Male","11300","11070","38880","36440"
"In post","2021","Heterosexual / straight","Greater Manchester","Female","7080","6500","31020","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Male","5410","5260","32460","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Female","5460","4890","30460","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Male","5410","5160","33840","30980"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Female","1510","1370","27410","26120"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Male","1300","1270","29100","26830"
"In post","2021","Heterosexual / straight","Highlands and Islands","Female","640","580","27640","27570"
"In post","2021","Heterosexual / straight","Highlands and Islands","Male","490","480","29840","27570"
"In post","2021","Heterosexual / straight","Inner London - East","Female","6270","5890","40530","34550"
"In post","2021","Heterosexual / straight","Inner London - East","Male","4610","4500","44490","38500"
"In post","2021","Heterosexual / straight","Inner London - West","Female","21400","20490","46350","41800"
"In post","2021","Heterosexual / straight","Inner London - West","Male","17760","17570","48840","44080"
"In post","2021","Heterosexual / straight","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Kent","Female","3000","2730","28710","27370"
"In post","2021","Heterosexual / straight","Kent","Male","2980","2870","30360","29290"
"In post","2021","Heterosexual / straight","Lancashire","Female","5510","4880","28170","27570"
"In post","2021","Heterosexual / straight","Lancashire","Male","3640","3480","29490","27570"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","Female","2450","2160","27010","25220"
"In post","2021","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","Male","1700","1650","28860","27130"
"In post","2021","Heterosexual / straight","Lincolnshire","Female","1080","990","26400","25030"
"In post","2021","Heterosexual / straight","Lincolnshire","Male","1030","1010","29610","27570"
"In post","2021","Heterosexual / straight","Merseyside","Female","8170","7240","28230","25560"
"In post","2021","Heterosexual / straight","Merseyside","Male","5170","4980","30350","26410"
"In post","2021","Heterosexual / straight","North Eastern Scotland","Female","550","500","34160","29190"
"In post","2021","Heterosexual / straight","North Eastern Scotland","Male","520","510","42030","33650"
"In post","2021","Heterosexual / straight","North Yorkshire","Female","1780","1650","33780","29290"
"In post","2021","Heterosexual / straight","North Yorkshire","Male","1540","1510","34140","30280"
"In post","2021","Heterosexual / straight","Northern Ireland","Female","1220","1110","29200","25560"
"In post","2021","Heterosexual / straight","Northern Ireland","Male","1400","1360","28070","25040"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","Female","8080","6960","28130","25560"
"In post","2021","Heterosexual / straight","Northumberland and Tyne and Wear","Male","5200","5000","30640","27570"
"In post","2021","Heterosexual / straight","Outer London - East and North East","Female","1440","1320","30230","31060"
"In post","2021","Heterosexual / straight","Outer London - East and North East","Male","960","940","31960","31060"
"In post","2021","Heterosexual / straight","Outer London - South","Female","4410","4070","36420","31170"
"In post","2021","Heterosexual / straight","Outer London - South","Male","3210","3150","39850","35280"
"In post","2021","Heterosexual / straight","Outer London - West and North West","Female","3370","3090","32250","31060"
"In post","2021","Heterosexual / straight","Outer London - West and North West","Male","2870","2710","33190","31060"
"In post","2021","Heterosexual / straight","Overseas","Female","950","940","49570","50940"
"In post","2021","Heterosexual / straight","Overseas","Male","1550","1550","50130","49640"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","Female","3230","2930","29210","27380"
"In post","2021","Heterosexual / straight","Shropshire and Staffordshire","Male","2610","2540","31350","27570"
"In post","2021","Heterosexual / straight","South Yorkshire","Female","4200","3680","30360","27570"
"In post","2021","Heterosexual / straight","South Yorkshire","Male","2940","2840","32900","27570"
"In post","2021","Heterosexual / straight","Southern Scotland","Female","2020","1770","29910","27570"
"In post","2021","Heterosexual / straight","Southern Scotland","Male","1360","1300","31800","27570"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","Female","3170","2830","29800","27570"
"In post","2021","Heterosexual / straight","Surrey, East and West Sussex","Male","2300","2190","31970","28400"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","Female","3780","3320","27550","25830"
"In post","2021","Heterosexual / straight","Tees Valley and Durham","Male","2570","2440","29020","27130"
"In post","2021","Heterosexual / straight","Unknown","Female","560","520","32640","27570"
"In post","2021","Heterosexual / straight","Unknown","Male","440","430","34470","28120"
"In post","2021","Heterosexual / straight","West Central Scotland","Female","6100","5460","30160","27150"
"In post","2021","Heterosexual / straight","West Central Scotland","Male","5110","4910","32310","27570"
"In post","2021","Heterosexual / straight","West Midlands","Female","7050","6330","30310","27570"
"In post","2021","Heterosexual / straight","West Midlands","Male","4660","4530","32460","27570"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","Female","6540","5780","28150","26470"
"In post","2021","Heterosexual / straight","West Wales and The Valleys","Male","3980","3840","31530","27570"
"In post","2021","Heterosexual / straight","West Yorkshire","Female","6060","5430","31160","27570"
"In post","2021","Heterosexual / straight","West Yorkshire","Male","4580","4430","33030","28130"
"In post","2021","LGBO","Bedfordshire and Hertfordshire","Female","90","90","30600","29290"
"In post","2021","LGBO","Bedfordshire and Hertfordshire","Male","60","60","31960","29290"
"In post","2021","LGBO","Berkshire, Buckinghamshire and Oxfordshire","Female","200","190","29260","27850"
"In post","2021","LGBO","Berkshire, Buckinghamshire and Oxfordshire","Male","160","160","33330","29970"
"In post","2021","LGBO","Cheshire","Female","120","110","30580","27570"
"In post","2021","LGBO","Cheshire","Male","70","70","30780","28200"
"In post","2021","LGBO","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cumbria","Female","30","30","[c]","[c]"
"In post","2021","LGBO","Cumbria","Male","30","30","[c]","[c]"
"In post","2021","LGBO","Derbyshire and Nottinghamshire","Female","270","260","30270","27570"
"In post","2021","LGBO","Derbyshire and Nottinghamshire","Male","210","210","30980","27570"
"In post","2021","LGBO","Devon","Female","140","130","26920","25930"
"In post","2021","LGBO","Devon","Male","120","120","27520","27130"
"In post","2021","LGBO","Dorset and Somerset","Female","90","90","28400","27470"
"In post","2021","LGBO","Dorset and Somerset","Male","80","80","28230","27570"
"In post","2021","LGBO","East Anglia","Female","200","190","27890","25880"
"In post","2021","LGBO","East Anglia","Male","190","180","28650","27570"
"In post","2021","LGBO","East Wales","Female","390","380","30340","27570"
"In post","2021","LGBO","East Wales","Male","470","460","32940","28430"
"In post","2021","LGBO","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","East Yorkshire and Northern Lincolnshire","Female","90","80","26670","25790"
"In post","2021","LGBO","East Yorkshire and Northern Lincolnshire","Male","80","70","27360","27130"
"In post","2021","LGBO","Eastern Scotland","Female","350","340","32990","30080"
"In post","2021","LGBO","Eastern Scotland","Male","410","400","35430","30650"
"In post","2021","LGBO","Essex","Female","120","110","29710","29290"
"In post","2021","LGBO","Essex","Male","80","80","31270","29290"
"In post","2021","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","Female","490","470","31670","28300"
"In post","2021","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","Male","530","520","34680","31380"
"In post","2021","LGBO","Greater Manchester","Female","410","400","30560","27570"
"In post","2021","LGBO","Greater Manchester","Male","570","550","30970","27570"
"In post","2021","LGBO","Hampshire and Isle of Wight","Female","250","240","29050","27570"
"In post","2021","LGBO","Hampshire and Isle of Wight","Male","250","240","31530","27730"
"In post","2021","LGBO","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Herefordshire, Worcestershire and Warwickshire","Female","90","90","28730","24440"
"In post","2021","LGBO","Herefordshire, Worcestershire and Warwickshire","Male","60","50","28060","25660"
"In post","2021","LGBO","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inner London - East","Female","340","330","38760","34550"
"In post","2021","LGBO","Inner London - East","Male","450","440","44830","37310"
"In post","2021","LGBO","Inner London - West","Female","1440","1410","44980","40050"
"In post","2021","LGBO","Inner London - West","Male","2170","2150","48580","45200"
"In post","2021","LGBO","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Kent","Female","180","180","29800","29290"
"In post","2021","LGBO","Kent","Male","160","150","30850","29290"
"In post","2021","LGBO","Lancashire","Female","250","240","27400","26500"
"In post","2021","LGBO","Lancashire","Male","210","200","27420","27570"
"In post","2021","LGBO","Leicestershire, Rutland and Northamptonshire","Female","130","120","27720","26700"
"In post","2021","LGBO","Leicestershire, Rutland and Northamptonshire","Male","100","90","27660","27570"
"In post","2021","LGBO","Lincolnshire","Female","50","40","[c]","[c]"
"In post","2021","LGBO","Lincolnshire","Male","40","40","[c]","[c]"
"In post","2021","LGBO","Merseyside","Female","280","260","27190","25040"
"In post","2021","LGBO","Merseyside","Male","320","310","29810","26370"
"In post","2021","LGBO","North Eastern Scotland","Female","30","30","[c]","[c]"
"In post","2021","LGBO","North Eastern Scotland","Male","30","30","[c]","[c]"
"In post","2021","LGBO","North Yorkshire","Female","100","100","33270","29030"
"In post","2021","LGBO","North Yorkshire","Male","80","80","32690","28430"
"In post","2021","LGBO","Northern Ireland","Female","50","40","[c]","[c]"
"In post","2021","LGBO","Northern Ireland","Male","50","50","25860","22330"
"In post","2021","LGBO","Northumberland and Tyne and Wear","Female","330","310","27610","25560"
"In post","2021","LGBO","Northumberland and Tyne and Wear","Male","370","360","28910","26980"
