"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","Advisory, Conciliation and Arbitration Service","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Animal and Plant Health Agency","60","60","31830","29180"
"In post","2021","Heterosexual / straight","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Crown Prosecution Service","320","290","38320","34480"
"In post","2021","Heterosexual / straight","East Midlands (England)","Defence Equipment and Support","190","190","35810","34910"
"In post","2021","Heterosexual / straight","East Midlands (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Department for Education (excl. agencies)","180","160","42050","37100"
"In post","2021","Heterosexual / straight","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","39920","36560"
"In post","2021","Heterosexual / straight","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Department for Work and Pensions (excl. agencies)","2880","2560","26080","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","Driver and Vehicle Standards Agency","330","310","32560","27680"
"In post","2021","Heterosexual / straight","East Midlands (England)","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Health and Safety Executive","290","260","41170","39390"
"In post","2021","Heterosexual / straight","East Midlands (England)","HM Courts and Tribunals Service","970","850","22280","19830"
"In post","2021","Heterosexual / straight","East Midlands (England)","HM Land Registry","500","460","32400","27130"
"In post","2021","Heterosexual / straight","East Midlands (England)","HM Prison and Probation Service","3560","3370","29080","26810"
"In post","2021","Heterosexual / straight","East Midlands (England)","HM Revenue and Customs (excl. agencies)","2050","1920","34180","31810"
"In post","2021","Heterosexual / straight","East Midlands (England)","Home Office (incl. agencies)","180","170","27790","25310"
"In post","2021","Heterosexual / straight","East Midlands (England)","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Legal Aid Agency","140","120","23710","21170"
"In post","2021","Heterosexual / straight","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Ministry of Defence (excl. agencies)","1200","1160","26690","21580"
"In post","2021","Heterosexual / straight","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Ministry of Justice (excl. agencies)","120","120","36260","34430"
"In post","2021","Heterosexual / straight","East Midlands (England)","National Crime Agency","120","120","37940","36740"
"In post","2021","Heterosexual / straight","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","140","130","45330","39850"
"In post","2021","Heterosexual / straight","East Midlands (England)","Office of the Public Guardian","310","280","21610","21170"
"In post","2021","Heterosexual / straight","East Midlands (England)","Public Health England","140","130","41930","36330"
"In post","2021","Heterosexual / straight","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Valuation Office Agency","90","80","35440","32100"
"In post","2021","Heterosexual / straight","East Midlands (England)","Vehicle Certification Agency","60","50","37040","34470"
"In post","2021","Heterosexual / straight","East of England","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Animal and Plant Health Agency","110","100","31580","29180"
"In post","2021","Heterosexual / straight","East of England","Cabinet Office (excl. agencies)","60","50","39830","33300"
"In post","2021","Heterosexual / straight","East of England","Centre for Environment, Fisheries and Aquaculture Science","170","160","34000","29510"
"In post","2021","Heterosexual / straight","East of England","Crown Commercial Service","110","110","35820","34800"
"In post","2021","Heterosexual / straight","East of England","Crown Prosecution Service","350","320","39880","35020"
"In post","2021","Heterosexual / straight","East of England","Defence Equipment and Support","190","180","34570","33510"
"In post","2021","Heterosexual / straight","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Department for Education (excl. agencies)","60","50","44850","40940"
"In post","2021","Heterosexual / straight","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","130","120","37930","36350"
"In post","2021","Heterosexual / straight","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Department for Work and Pensions (excl. agencies)","3060","2780","28320","27570"
"In post","2021","Heterosexual / straight","East of England","Driver and Vehicle Standards Agency","240","230","29050","26780"
"In post","2021","Heterosexual / straight","East of England","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Health and Safety Executive","80","80","44230","43830"
"In post","2021","Heterosexual / straight","East of England","HM Courts and Tribunals Service","820","710","23420","20100"
"In post","2021","Heterosexual / straight","East of England","HM Land Registry","170","160","32790","29760"
"In post","2021","Heterosexual / straight","East of England","HM Prison and Probation Service","3840","3650","29910","29060"
"In post","2021","Heterosexual / straight","East of England","HM Revenue and Customs (excl. agencies)","910","830","32710","31810"
"In post","2021","Heterosexual / straight","East of England","HM Treasury (excl. agencies)","50","50","31120","23970"
"In post","2021","Heterosexual / straight","East of England","Home Office (incl. agencies)","1550","1390","26550","25220"
"In post","2021","Heterosexual / straight","East of England","Insolvency Service","70","60","34510","33890"
"In post","2021","Heterosexual / straight","East of England","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Medicines and Healthcare Products Regulatory Agency","190","180","43530","40450"
"In post","2021","Heterosexual / straight","East of England","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Ministry of Defence (excl. agencies)","2700","2610","31680","28410"
"In post","2021","Heterosexual / straight","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","60","60","39390","36340"
"In post","2021","Heterosexual / straight","East of England","Ministry of Justice (excl. agencies)","60","60","39280","37520"
"In post","2021","Heterosexual / straight","East of England","National Crime Agency","100","90","38270","37590"
"In post","2021","Heterosexual / straight","East of England","Office for Standards in Education, Children's Services and Skills","80","80","62190","64500"
"In post","2021","Heterosexual / straight","East of England","Public Health England","280","250","42520","32930"
"In post","2021","Heterosexual / straight","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Valuation Office Agency","80","80","34980","31100"
"In post","2021","Heterosexual / straight","London","Advisory, Conciliation and Arbitration Service","130","130","42740","38670"
"In post","2021","Heterosexual / straight","London","Animal and Plant Health Agency","70","70","35820","31800"
"In post","2021","Heterosexual / straight","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Cabinet Office (excl. agencies)","3220","3160","51980","54700"
"In post","2021","Heterosexual / straight","London","Charity Commission","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Competition and Markets Authority","640","610","60050","56360"
"In post","2021","Heterosexual / straight","London","Crown Commercial Service","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Crown Prosecution Service","1200","1140","44690","40000"
"In post","2021","Heterosexual / straight","London","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Defence Equipment and Support","160","150","25850","22070"
"In post","2021","Heterosexual / straight","London","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","3460","3380","50100","53380"
"In post","2021","Heterosexual / straight","London","Department for Digital, Culture, Media and Sport","1210","1180","49960","51730"
"In post","2021","Heterosexual / straight","London","Department for Education (excl. agencies)","1400","1350","50240","53420"
"In post","2021","Heterosexual / straight","London","Department for Environment, Food and Rural Affairs (excl. agencies)","1620","1570","45310","39770"
"In post","2021","Heterosexual / straight","London","Department for International Trade","1290","1270","45990","39440"
"In post","2021","Heterosexual / straight","London","Department for Transport (excl. agencies)","1980","1940","50030","46710"
"In post","2021","Heterosexual / straight","London","Department for Work and Pensions (excl. agencies)","6310","5990","33790","31060"
"In post","2021","Heterosexual / straight","London","Department of Health and Social Care (excl. agencies)","860","840","50310","53360"
"In post","2021","Heterosexual / straight","London","Driver and Vehicle Standards Agency","200","190","32470","30780"
"In post","2021","Heterosexual / straight","London","Education and Skills Funding Agency","190","180","49960","53420"
"In post","2021","Heterosexual / straight","London","FCDO Services","120","110","49450","45540"
"In post","2021","Heterosexual / straight","London","Food Standards Agency","320","310","42530","40350"
"In post","2021","Heterosexual / straight","London","Foreign, Commonwealth and Development Office (excl. agencies)","2780","2710","49410","44230"
"In post","2021","Heterosexual / straight","London","Government Actuary's Department","160","150","66860","61760"
"In post","2021","Heterosexual / straight","London","Government Internal Audit Agency","150","150","52580","51290"
"In post","2021","Heterosexual / straight","London","Government Legal Department","1570","1470","53120","51250"
"In post","2021","Heterosexual / straight","London","Government Property Agency","60","60","52350","54700"
"In post","2021","Heterosexual / straight","London","Health and Safety Executive","110","100","49110","45380"
"In post","2021","Heterosexual / straight","London","HM Courts and Tribunals Service","2880","2700","29230","23500"
"In post","2021","Heterosexual / straight","London","HM Land Registry","210","200","42830","37290"
"In post","2021","Heterosexual / straight","London","HM Prison and Probation Service","4280","4160","36260","33590"
"In post","2021","Heterosexual / straight","London","HM Revenue and Customs (excl. agencies)","4530","4320","44520","39800"
"In post","2021","Heterosexual / straight","London","HM Treasury (excl. agencies)","1470","1440","48370","52500"
"In post","2021","Heterosexual / straight","London","Home Office (incl. agencies)","10450","9850","39720","35070"
"In post","2021","Heterosexual / straight","London","Insolvency Service","160","150","41970","38510"
"In post","2021","Heterosexual / straight","London","Institute for Apprenticeships and Technical Education","70","70","56030","54230"
"In post","2021","Heterosexual / straight","London","Legal Aid Agency","140","130","43880","39520"
"In post","2021","Heterosexual / straight","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Medicines and Healthcare Products Regulatory Agency","610","590","47230","40970"
"In post","2021","Heterosexual / straight","London","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","Ministry of Defence (excl. agencies)","2690","2630","42000","37890"
"In post","2021","Heterosexual / straight","London","Ministry of Housing, Communities and Local Government (excl. agencies)","1410","1380","48750","53130"
"In post","2021","Heterosexual / straight","London","Ministry of Justice (excl. agencies)","2320","2260","44680","39530"
"In post","2021","Heterosexual / straight","London","National Crime Agency","1220","1190","43960","40170"
