"Status","Year","Responsibility_level","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Bedford","290","280","25890","25840"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Central Bedfordshire","140","140","20780","20920"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Hertfordshire","700","650","25330","24240"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Luton","140","120","20370","20650"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","1000","960","27560","25540"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","570","540","25280","23130"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","870","840","25210","24380"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","1150","1080","24240","21500"
"In post","2021","AA/AO","Cheshire","Cheshire East","290","260","23870","21710"
"In post","2021","AA/AO","Cheshire","Cheshire West and Chester","160","150","20670","21010"
"In post","2021","AA/AO","Cheshire","Warrington","760","690","23410","21300"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","710","640","20860","21010"
"In post","2021","AA/AO","Cumbria","East Cumbria","340","310","21450","21050"
"In post","2021","AA/AO","Cumbria","West Cumbria","580","520","22240","21050"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Derby","490","420","21470","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","East Derbyshire","100","90","20350","20300"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","North Nottinghamshire","420","400","24120","23240"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Nottingham","2080","1890","21190","20600"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","South and West Derbyshire","340","310","24550","22850"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","South Nottinghamshire","350","330","24130","22160"
"In post","2021","AA/AO","Devon","Devon CC","1950","1720","22200","21010"
"In post","2021","AA/AO","Devon","Plymouth","1000","910","22880","21100"
"In post","2021","AA/AO","Devon","Torbay","150","120","20650","21010"
"In post","2021","AA/AO","Dorset and Somerset","Bournemouth and Poole","200","180","20310","20100"
"In post","2021","AA/AO","Dorset and Somerset","Dorset CC","990","940","23860","22350"
"In post","2021","AA/AO","Dorset and Somerset","Somerset","530","480","20540","20920"
"In post","2021","AA/AO","East Anglia","Breckland and South Norfolk","300","290","24220","23420"
"In post","2021","AA/AO","East Anglia","Cambridgeshire CC","1140","1060","25360","23490"
"In post","2021","AA/AO","East Anglia","North and West Norfolk","500","470","24190","21240"
"In post","2021","AA/AO","East Anglia","Norwich and East Norfolk","630","570","22200","21010"
"In post","2021","AA/AO","East Anglia","Peterborough","690","600","20990","21430"
"In post","2021","AA/AO","East Anglia","Suffolk","1690","1570","23030","21400"
"In post","2021","AA/AO","East Wales","Cardiff and Vale of Glamorgan","3400","3050","21330","20880"
"In post","2021","AA/AO","East Wales","Flintshire and Wrexham","1020","960","22300","21010"
"In post","2021","AA/AO","East Wales","Monmouthshire and Newport","1100","970","20930","20180"
"In post","2021","AA/AO","East Wales","Powys","220","210","21090","20920"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","1000","930","25270","24440"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","830","740","23400","21950"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","300","260","20880","21010"
"In post","2021","AA/AO","Eastern Scotland","Angus and Dundee City","1110","1010","21120","21010"
"In post","2021","AA/AO","Eastern Scotland","City of Edinburgh","3150","2980","22180","21480"
"In post","2021","AA/AO","Eastern Scotland","Clackmannanshire and Fife","470","430","22350","21010"
"In post","2021","AA/AO","Eastern Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Eastern Scotland","Falkirk","870","740","21550","21010"
"In post","2021","AA/AO","Eastern Scotland","Perth and Kinross and Stirling","460","430","23480","22920"
"In post","2021","AA/AO","Eastern Scotland","West Lothian","180","170","22360","21010"
"In post","2021","AA/AO","Essex","Essex Haven Gateway","320","300","25510","21580"
"In post","2021","AA/AO","Essex","Essex Thames Gateway","340","290","23460","24180"
"In post","2021","AA/AO","Essex","Heart of Essex","440","410","25280","24510"
"In post","2021","AA/AO","Essex","Southend-on-Sea","310","260","21420","21440"
"In post","2021","AA/AO","Essex","Thurrock","110","110","21740","21430"
"In post","2021","AA/AO","Essex","West Essex","90","80","20880","21430"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","760","700","23120","21130"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","1330","1220","21520","21010"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","430","390","23040","21130"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","100","90","20080","19570"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","1250","1190","22080","20920"
