"Status","Year","Region_ITL3","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Department for Work and Pensions","70","60","20760","21010"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Ministry of Defence","90","90","37390","41570"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Scottish Government","340","310","23060","22430"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Department for Work and Pensions","190","170","27550","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Home Office","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Scottish Government","330","310","30380","29190"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Scottish Government","80","80","62110","61010"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Department for Business, Energy and Industrial Strategy","90","90","49740","41650"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Department for Work and Pensions","90","90","73730","87850"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Scottish Government","360","340","38810","38450"
"In post","2021","Angus and Dundee City","AA/AO","Department for Work and Pensions","590","540","20930","21010"
"In post","2021","Angus and Dundee City","AA/AO","HM Revenue and Customs","210","200","20600","20140"
"In post","2021","Angus and Dundee City","AA/AO","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Scottish Government","260","240","22080","22230"
"In post","2021","Angus and Dundee City","EO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Department for Work and Pensions","320","290","27490","27570"
"In post","2021","Angus and Dundee City","EO","HM Revenue and Customs","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Scottish Government","110","110","27890","28170"
"In post","2021","Angus and Dundee City","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Scottish Government","60","60","62140","61010"
"In post","2021","Angus and Dundee City","SCS","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Scottish Government","150","150","38580","36140"
"In post","2021","Antrim and Newtownabbey","AA/AO","Ministry of Defence","150","150","20680","20310"
"In post","2021","Antrim and Newtownabbey","EO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Ministry of Defence","150","150","20920","20310"
"In post","2021","Ards and North Down","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Department for Work and Pensions","60","50","24610","25110"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Ministry of Justice","60","50","22000","22450"
"In post","2021","Barking & Dagenham and Havering","EO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Department for Work and Pensions","360","330","31050","31060"
"In post","2021","Barking & Dagenham and Havering","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Barnet","AA/AO","Department for Work and Pensions","50","40","[c]","[c]"
"In post","2021","Barnet","AA/AO","Department of Health and Social Care","180","150","23860","23530"
"In post","2021","Barnet","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Barnet","EO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Department for Work and Pensions","230","210","31140","31060"
"In post","2021","Barnet","EO","Department of Health and Social Care","160","150","28520","27520"
"In post","2021","Barnet","EO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Department of Health and Social Care","280","270","59250","55130"
"In post","2021","Barnet","G6/G7","Home Office","30","30","[c]","[c]"
"In post","2021","Barnet","SCS","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
