"Status","Year","Age","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Unknown","90","90","21080","21150"
"In post","2021","16-19","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Operational Delivery","70","60","22080","21430"
"In post","2021","16-19","South East (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Science and Engineering","90","90","17640","17780"
"In post","2021","16-19","South West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","40","40","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Operational Delivery","80","70","20060","20140"
"In post","2021","16-19","Wales","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Operational Delivery","30","30","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Operational Delivery","30","30","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Human Resources","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Legal","60","60","30260","25560"
"In post","2021","20-29","East Midlands (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Operational Delivery","1660","1620","23920","23470"
"In post","2021","20-29","East Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Other","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Property","60","50","22790","18760"
"In post","2021","20-29","East Midlands (England)","Psychology","40","40","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Science and Engineering","60","50","29450","28590"
"In post","2021","20-29","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Tax","290","290","27790","25560"
"In post","2021","20-29","East Midlands (England)","Unknown","560","550","25960","27570"
"In post","2021","20-29","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","20-29","East of England","Economics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Finance","40","40","[c]","[c]"
"In post","2021","20-29","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Intelligence Analysis","70","70","29210","26670"
"In post","2021","20-29","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Legal","70","70","28120","25560"
"In post","2021","20-29","East of England","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Operational Delivery","1620","1580","25470","24890"
"In post","2021","20-29","East of England","Other","70","70","22030","20920"
"In post","2021","20-29","East of England","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Project Delivery","50","50","32870","33000"
"In post","2021","20-29","East of England","Property","40","40","[c]","[c]"
"In post","2021","20-29","East of England","Psychology","50","50","[c]","[c]"
"In post","2021","20-29","East of England","Science and Engineering","100","100","27280","25130"
"In post","2021","20-29","East of England","Security","60","60","25010","24610"
"In post","2021","20-29","East of England","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Tax","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","Unknown","520","510","27520","27570"
"In post","2021","20-29","London","Commercial","140","140","37910","35500"
"In post","2021","20-29","London","Communications","600","590","36620","35430"
"In post","2021","20-29","London","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","Counter Fraud","60","60","32430","33100"
"In post","2021","20-29","London","Digital, Data and Technology","540","530","38690","36800"
"In post","2021","20-29","London","Economics","1020","1010","38230","34330"
"In post","2021","20-29","London","Finance","410","400","39600","36120"
"In post","2021","20-29","London","Human Resources","450","440","36330","32730"
"In post","2021","20-29","London","Intelligence Analysis","300","300","37310","35700"
"In post","2021","20-29","London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","International Trade","380","380","38490","38040"
"In post","2021","20-29","London","Knowledge and Information Management","80","80","31280","30220"
"In post","2021","20-29","London","Legal","510","500","37340","33460"
"In post","2021","20-29","London","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","Operational Delivery","4380","4330","30190","28720"
"In post","2021","20-29","London","Operational Research","150","150","37590","36160"
"In post","2021","20-29","London","Other","910","910","32920","30200"
"In post","2021","20-29","London","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","Policy","6270","6250","39600","35700"
"In post","2021","20-29","London","Project Delivery","610","600","38100","35070"
"In post","2021","20-29","London","Property","110","110","33040","30310"
"In post","2021","20-29","London","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","Science and Engineering","290","280","33660","32640"
"In post","2021","20-29","London","Security","180","180","32840","30630"
"In post","2021","20-29","London","Social Research","190","190","38590","35050"
"In post","2021","20-29","London","Statistics","320","320","37620","36160"
"In post","2021","20-29","London","Tax","280","280","40040","36160"
"In post","2021","20-29","London","Unknown","4760","4740","34400","31060"
"In post","2021","20-29","London","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Digital, Data and Technology","90","90","32330","31810"
"In post","2021","20-29","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Legal","40","40","[c]","[c]"
"In post","2021","20-29","North East (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Operational Delivery","1550","1500","23730","22350"
"In post","2021","20-29","North East (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Policy","40","40","[c]","[c]"
"In post","2021","20-29","North East (England)","Project Delivery","70","70","30780","31810"
"In post","2021","20-29","North East (England)","Property","40","30","[c]","[c]"
"In post","2021","20-29","North East (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North East (England)","Tax","580","570","24520","25560"
"In post","2021","20-29","North East (England)","Unknown","1400","1380","24740","21010"
"In post","2021","20-29","North West (England)","Commercial","80","80","31250","29550"
"In post","2021","20-29","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Digital, Data and Technology","140","140","32820","31810"
"In post","2021","20-29","North West (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Finance","60","60","31450","29730"
"In post","2021","20-29","North West (England)","Human Resources","140","140","26670","25560"
"In post","2021","20-29","North West (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Legal","120","120","30170","25560"
"In post","2021","20-29","North West (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Operational Delivery","3880","3780","24140","23840"
"In post","2021","20-29","North West (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Other","70","70","25760","24890"
"In post","2021","20-29","North West (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Policy","170","170","33760","30820"
"In post","2021","20-29","North West (England)","Project Delivery","140","140","31420","31810"
"In post","2021","20-29","North West (England)","Property","70","70","28490","25860"
"In post","2021","20-29","North West (England)","Psychology","40","30","[c]","[c]"
"In post","2021","20-29","North West (England)","Science and Engineering","110","110","25800","26370"
"In post","2021","20-29","North West (England)","Security","40","40","[c]","[c]"
"In post","2021","20-29","North West (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","Statistics","50","40","[c]","[c]"
"In post","2021","20-29","North West (England)","Tax","780","760","25040","20140"
"In post","2021","20-29","North West (England)","Unknown","2330","2300","25500","27570"
"In post","2021","20-29","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Operational Delivery","220","200","22520","21430"
"In post","2021","20-29","Northern Ireland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","Tax","110","110","23570","20140"
"In post","2021","20-29","Northern Ireland","Unknown","40","40","[c]","[c]"
"In post","2021","20-29","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Economics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Policy","170","170","37100","34220"
"In post","2021","20-29","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Commercial","50","40","[c]","[c]"
"In post","2021","20-29","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Digital, Data and Technology","90","90","32420","31810"
"In post","2021","20-29","Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Finance","100","90","24470","20140"
"In post","2021","20-29","Scotland","Human Resources","60","60","25730","24220"
"In post","2021","20-29","Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Legal","100","100","35720","33550"
"In post","2021","20-29","Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Operational Delivery","2110","2060","24010","22430"
"In post","2021","20-29","Scotland","Other","230","220","25170","23450"
"In post","2021","20-29","Scotland","Policy","60","60","28890","29740"
"In post","2021","20-29","Scotland","Project Delivery","60","60","32760","31810"
"In post","2021","20-29","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Science and Engineering","60","60","29370","30000"
"In post","2021","20-29","Scotland","Security","230","230","25240","24610"
"In post","2021","20-29","Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland","Tax","390","380","24520","20140"
"In post","2021","20-29","Scotland","Unknown","2890","2830","27380","27150"
"In post","2021","20-29","Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Commercial","70","70","29080","26670"
"In post","2021","20-29","South East (England)","Communications","40","40","[c]","[c]"
"In post","2021","20-29","South East (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Digital, Data and Technology","110","110","30030","29540"
"In post","2021","20-29","South East (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Finance","80","80","29770","28130"
"In post","2021","20-29","South East (England)","Human Resources","40","40","[c]","[c]"
"In post","2021","20-29","South East (England)","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","20-29","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","20-29","South East (England)","Legal","70","70","29990","25560"
"In post","2021","20-29","South East (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Operational Delivery","2810","2760","26300","25790"
"In post","2021","20-29","South East (England)","Operational Research","110","110","30890","28650"
"In post","2021","20-29","South East (England)","Other","180","180","23130","20920"
"In post","2021","20-29","South East (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South East (England)","Policy","60","60","30720","31040"
"In post","2021","20-29","South East (England)","Project Delivery","150","150","32520","33000"
"In post","2021","20-29","South East (England)","Property","90","90","27440","26560"
"In post","2021","20-29","South East (England)","Psychology","60","60","28460","27540"
"In post","2021","20-29","South East (England)","Science and Engineering","380","380","29400","28650"
"In post","2021","20-29","South East (England)","Security","260","260","27080","26610"
"In post","2021","20-29","South East (England)","Social Research","90","90","32920","29540"
"In post","2021","20-29","South East (England)","Statistics","60","60","32010","29540"
"In post","2021","20-29","South East (England)","Tax","40","40","[c]","[c]"
"In post","2021","20-29","South East (England)","Unknown","880","870","26480","27570"
"In post","2021","20-29","South West (England)","Commercial","350","350","29140","29210"
"In post","2021","20-29","South West (England)","Communications","40","30","[c]","[c]"
"In post","2021","20-29","South West (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Digital, Data and Technology","330","330","30760","29760"
"In post","2021","20-29","South West (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Finance","240","240","28080","26350"
"In post","2021","20-29","South West (England)","Human Resources","120","120","25290","21590"
"In post","2021","20-29","South West (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Knowledge and Information Management","80","70","27270","27000"
"In post","2021","20-29","South West (England)","Legal","60","60","30850","25740"
"In post","2021","20-29","South West (England)","Medicine","30","30","[c]","[c]"
"In post","2021","20-29","South West (England)","Operational Delivery","1760","1720","24620","23140"
"In post","2021","20-29","South West (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Other","520","510","24030","20920"
"In post","2021","20-29","South West (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Policy","140","140","33660","30190"
"In post","2021","20-29","South West (England)","Project Delivery","760","750","29490","28900"
"In post","2021","20-29","South West (England)","Property","80","80","29280","27150"
"In post","2021","20-29","South West (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Science and Engineering","1510","1500","28010","27540"
"In post","2021","20-29","South West (England)","Security","120","120","23800","23540"
"In post","2021","20-29","South West (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","South West (England)","Statistics","40","40","[c]","[c]"
"In post","2021","20-29","South West (England)","Tax","80","80","38020","31810"
"In post","2021","20-29","South West (England)","Unknown","710","690","25880","27570"
"In post","2021","20-29","South West (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Other","370","370","29010","28980"
"In post","2021","20-29","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","490","490","30660","29250"
"In post","2021","20-29","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Communications","50","50","28970","29200"
"In post","2021","20-29","Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales","Digital, Data and Technology","300","300","29880","27070"
"In post","2021","20-29","Wales","Economics","80","80","29280","29540"
"In post","2021","20-29","Wales","Finance","60","60","28310","26350"
