"Status","Year","Age","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","80","80","17790","17780"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Property","[c]","[c]","[c]","[c]"
