"Status","Year","Organisation","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
