"Status","Year","Sexual_orientation","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Scotland","1070","1010","38000","31700"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Scotland","1200","1110","27130","23340"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Northern Ireland","160","150","23590","20310"
"In post","2021","Heterosexual / straight","Ards and North Down","Northern Ireland","190","180","26280","21080"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","London","400","370","30520","31060"
"In post","2021","Heterosexual / straight","Barnet","London","1130","1070","37760","32330"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","2040","1820","27350","27150"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","10300","9900","37860","34500"
"In post","2021","Heterosexual / straight","Bedford","East of England","570","540","30600","28500"
"In post","2021","Heterosexual / straight","Belfast","Northern Ireland","1800","1680","30090","26550"
"In post","2021","Heterosexual / straight","Berkshire","South East (England)","1960","1880","34500","31040"
"In post","2021","Heterosexual / straight","Bexley and Greenwich","London","1140","1100","32020","31060"
"In post","2021","Heterosexual / straight","Birmingham","West Midlands (England)","7350","6870","31690","27570"
"In post","2021","Heterosexual / straight","Blackburn with Darwen","North West (England)","350","310","27080","27570"
"In post","2021","Heterosexual / straight","Blackpool","North West (England)","3280","3010","29170","27570"
"In post","2021","Heterosexual / straight","Bournemouth and Poole","South West (England)","500","460","26670","27370"
"In post","2021","Heterosexual / straight","Bradford","Yorkshire and The Humber","1800","1610","28300","26120"
"In post","2021","Heterosexual / straight","Breckland and South Norfolk","East of England","380","360","28770","26830"
"In post","2021","Heterosexual / straight","Brent","London","370","350","31350","31060"
"In post","2021","Heterosexual / straight","Bridgend and Neath Port Talbot","Wales","530","480","27480","27570"
"In post","2021","Heterosexual / straight","Brighton and Hove","South East (England)","400","360","31340","27570"
"In post","2021","Heterosexual / straight","Bristol, City of","South West (England)","4400","4100","36600","31810"
"In post","2021","Heterosexual / straight","Bromley","London","310","290","29270","31060"
"In post","2021","Heterosexual / straight","Buckinghamshire CC","South East (England)","1240","1190","32220","29440"
"In post","2021","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","Scotland","110","110","29690","27570"
"In post","2021","Heterosexual / straight","Calderdale and Kirklees","Yorkshire and The Humber","690","610","27310","27570"
"In post","2021","Heterosexual / straight","Cambridgeshire CC","East of England","2380","2260","34390","31290"
"In post","2021","Heterosexual / straight","Camden and City of London","London","2170","2080","38020","32510"
"In post","2021","Heterosexual / straight","Cardiff and Vale of Glamorgan","Wales","8110","7580","34240","28850"
"In post","2021","Heterosexual / straight","Causeway Coast and Glens","Northern Ireland","50","50","20870","20310"
"In post","2021","Heterosexual / straight","Central Bedfordshire","East of England","330","320","30150","27570"
"In post","2021","Heterosexual / straight","Central Hampshire","South East (England)","3080","2960","35720","33300"
"In post","2021","Heterosexual / straight","Central Valleys","Wales","1260","1180","35110","28850"
"In post","2021","Heterosexual / straight","Cheshire East","North West (England)","440","410","31250","27570"
"In post","2021","Heterosexual / straight","Cheshire West and Chester","North West (England)","340","310","25690","26120"
"In post","2021","Heterosexual / straight","Chorley and West Lancashire","North West (England)","860","800","29990","27570"
"In post","2021","Heterosexual / straight","City of Edinburgh","Scotland","7040","6730","39570","34190"
"In post","2021","Heterosexual / straight","Clackmannanshire and Fife","Scotland","810","750","30470","27570"
"In post","2021","Heterosexual / straight","Conwy and Denbighshire","Wales","550","520","34990","31420"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","South West (England)","1120","1030","26720","26670"
"In post","2021","Heterosexual / straight","Coventry","West Midlands (England)","1560","1480","36840","32300"
"In post","2021","Heterosexual / straight","Croydon","London","6860","6500","38670","35070"
"In post","2021","Heterosexual / straight","Darlington","North East (England)","770","730","35640","31990"
"In post","2021","Heterosexual / straight","Derby","East Midlands (England)","640","570","27020","26470"
"In post","2021","Heterosexual / straight","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon CC","South West (England)","2620","2390","28250","26330"
"In post","2021","Heterosexual / straight","Dorset CC","South West (England)","1450","1370","29140","27130"
"In post","2021","Heterosexual / straight","Dudley","West Midlands (England)","720","630","25450","26220"
"In post","2021","Heterosexual / straight","Dumfries and Galloway","Scotland","250","230","29980","27570"
"In post","2021","Heterosexual / straight","Durham CC","North East (England)","3760","3370","27140","25310"
"In post","2021","Heterosexual / straight","Ealing","London","320","310","31410","31060"
"In post","2021","Heterosexual / straight","East Ayrshire and North Ayrshire mainland","Scotland","690","630","27100","27570"
"In post","2021","Heterosexual / straight","East Cumbria","North West (England)","660","600","27390","24920"
"In post","2021","Heterosexual / straight","East Derbyshire","East Midlands (England)","280","250","26650","27570"
"In post","2021","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","1620","1550","30790","27570"
"In post","2021","Heterosexual / straight","East Kent","South East (England)","3030","2790","28050","26160"
"In post","2021","Heterosexual / straight","East Lancashire","North West (England)","330","300","25910","27570"
"In post","2021","Heterosexual / straight","East Lothian and Midlothian","Scotland","80","70","28240","27570"
"In post","2021","Heterosexual / straight","East Merseyside","North West (England)","690","620","27940","27570"
"In post","2021","Heterosexual / straight","East Riding of Yorkshire","Yorkshire and The Humber","1360","1290","28610","26810"
"In post","2021","Heterosexual / straight","East Surrey","South East (England)","630","590","33650","33590"
"In post","2021","Heterosexual / straight","East Sussex CC","South East (England)","1350","1210","26990","27570"
"In post","2021","Heterosexual / straight","Enfield","London","220","210","30300","31060"
"In post","2021","Heterosexual / straight","Essex Haven Gateway","East of England","830","780","32330","29290"
"In post","2021","Heterosexual / straight","Essex Thames Gateway","East of England","630","560","28060","29290"
"In post","2021","Heterosexual / straight","Falkirk","Scotland","1000","880","27440","27570"
"In post","2021","Heterosexual / straight","Fermanagh and Omagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Flintshire and Wrexham","Wales","1290","1230","28070","26120"
"In post","2021","Heterosexual / straight","Glasgow City","Scotland","7350","6860","32260","27570"
"In post","2021","Heterosexual / straight","Gloucestershire","South West (England)","890","810","29500","27570"
"In post","2021","Heterosexual / straight","Greater Manchester North East","North West (England)","790","750","28130","27570"
"In post","2021","Heterosexual / straight","Greater Manchester North West","North West (England)","1290","1160","25780","24920"
"In post","2021","Heterosexual / straight","Greater Manchester South East","North West (England)","930","860","25880","22920"
"In post","2021","Heterosexual / straight","Greater Manchester South West","North West (England)","3530","3330","31510","27570"
"In post","2021","Heterosexual / straight","Gwent Valleys","Wales","770","700","29130","27570"
