"Status","Year","Responsibility_level","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","East Midlands (England)","8000","7260","22060","21010"
"In post","2021","AA/AO","East of England","7830","7190","23610","21500"
"In post","2021","AA/AO","London","12710","11810","25550","25110"
"In post","2021","AA/AO","North East (England)","13680","11730","21470","21010"
"In post","2021","AA/AO","North West (England)","21110","18790","21530","21010"
"In post","2021","AA/AO","Northern Ireland","1690","1560","20770","20310"
"In post","2021","AA/AO","Overseas","50","50","22460","23000"
"In post","2021","AA/AO","Scotland","16850","15250","22110","21010"
"In post","2021","AA/AO","South East (England)","14160","12880","24070","21580"
"In post","2021","AA/AO","South West (England)","9400","8590","22160","21010"
"In post","2021","AA/AO","Unknown","240","220","22240","21010"
"In post","2021","AA/AO","Wales","12930","11410","21230","21050"
"In post","2021","AA/AO","West Midlands (England)","10350","9370","21860","21010"
"In post","2021","AA/AO","Yorkshire and The Humber","11670","10490","22410","21010"
"In post","2021","EO","East Midlands (England)","6120","5650","27050","27570"
"In post","2021","EO","East of England","7170","6600","28230","27570"
"In post","2021","EO","London","21300","20200","29990","30110"
"In post","2021","EO","North East (England)","7910","7180","26810","27570"
"In post","2021","EO","North West (England)","18380","16950","26900","27570"
"In post","2021","EO","Northern Ireland","980","920","26560","25560"
"In post","2021","EO","Overseas","280","270","28020","27370"
"In post","2021","EO","Scotland","13560","12550","28240","27570"
"In post","2021","EO","South East (England)","12740","11800","28090","27570"
"In post","2021","EO","South West (England)","10580","9770","26480","27130"
"In post","2021","EO","Unknown","590","550","28030","27570"
"In post","2021","EO","Wales","9420","8730","26980","27570"
"In post","2021","EO","West Midlands (England)","9360","8620","27050","27570"
"In post","2021","EO","Yorkshire and The Humber","10510","9650","27120","27570"
"In post","2021","G6/G7","East Midlands (England)","1420","1350","57500","53430"
"In post","2021","G6/G7","East of England","1340","1290","59010","55430"
"In post","2021","G6/G7","London","27640","26720","60520","58910"
"In post","2021","G6/G7","North East (England)","2040","1980","54800","52580"
"In post","2021","G6/G7","North West (England)","4570","4410","56330","52630"
"In post","2021","G6/G7","Northern Ireland","240","230","55880","52580"
"In post","2021","G6/G7","Overseas","1340","1330","59920","58030"
"In post","2021","G6/G7","Scotland","4650","4460","60860","61010"
"In post","2021","G6/G7","South East (England)","3380","3230","57210","54540"
"In post","2021","G6/G7","South West (England)","6200","5940","56070","54540"
"In post","2021","G6/G7","Unknown","200","190","57540","54700"
"In post","2021","G6/G7","Wales","3220","3090","58660","58160"
"In post","2021","G6/G7","West Midlands (England)","2370","2280","57000","52790"
"In post","2021","G6/G7","Yorkshire and The Humber","3850","3690","56310","52770"
"In post","2021","SCS","East Midlands (England)","90","90","90340","83850"
"In post","2021","SCS","East of England","120","120","95730","94000"
"In post","2021","SCS","London","4700","4520","90940","81900"
"In post","2021","SCS","North East (England)","120","120","87070","78050"
"In post","2021","SCS","North West (England)","290","280","87150","80250"
"In post","2021","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Overseas","290","290","85970","77460"
"In post","2021","SCS","Scotland","330","320","88180","83230"
"In post","2021","SCS","South East (England)","190","180","91620","89850"
"In post","2021","SCS","South West (England)","340","330","96180","91000"
"In post","2021","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Wales","300","300","87460","79870"
"In post","2021","SCS","West Midlands (England)","210","200","96130","88360"
"In post","2021","SCS","Yorkshire and The Humber","280","270","85540","77850"
"In post","2021","SEO/HEO","East Midlands (England)","4750","4510","35850","33840"
"In post","2021","SEO/HEO","East of England","5090","4850","36740","35310"
"In post","2021","SEO/HEO","London","33940","33160","38310","37560"
"In post","2021","SEO/HEO","North East (England)","6160","5830","34770","32960"
"In post","2021","SEO/HEO","North West (England)","12980","12390","35170","33520"
"In post","2021","SEO/HEO","Northern Ireland","900","870","34840","32060"
"In post","2021","SEO/HEO","Overseas","1550","1540","39920","36960"
"In post","2021","SEO/HEO","Scotland","12100","11530","37910","35810"
"In post","2021","SEO/HEO","South East (England)","9790","9370","36670","35530"
"In post","2021","SEO/HEO","South West (England)","16170","15450","36300","35900"
"In post","2021","SEO/HEO","Unknown","760","750","34170","32000"
"In post","2021","SEO/HEO","Wales","9120","8690","36900","37020"
"In post","2021","SEO/HEO","West Midlands (England)","6800","6510","35950","34290"
"In post","2021","SEO/HEO","Yorkshire and The Humber","8960","8510","35210","34090"
"In post","2021","Unknown","East Midlands (England)","1000","920","29910","30210"
"In post","2021","Unknown","East of England","1030","950","28690","28200"
"In post","2021","Unknown","London","1650","1590","33840","33370"
"In post","2021","Unknown","North East (England)","710","660","29380","28200"
"In post","2021","Unknown","North West (England)","2030","1890","30610","30210"
"In post","2021","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Overseas","260","250","[c]","[c]"
"In post","2021","Unknown","Scotland","120","110","40140","41170"
"In post","2021","Unknown","South East (England)","1520","1400","30530","30210"
"In post","2021","Unknown","South West (England)","2500","2370","37340","33420"
"In post","2021","Unknown","Unknown","1910","1910","37270","33570"
"In post","2021","Unknown","Wales","1100","1040","29850","28750"
"In post","2021","Unknown","West Midlands (England)","1410","1290","29610","28200"
"In post","2021","Unknown","Yorkshire and The Humber","1330","1210","29780","30210"
"In post","2022","AA/AO","East Midlands (England)","7970","7260","22590","21260"
"In post","2022","AA/AO","East of England","7420","6830","24000","21860"
"In post","2022","AA/AO","London","11870","11000","26070","25110"
"In post","2022","AA/AO","North East (England)","13210","11380","22050","21260"
"In post","2022","AA/AO","North West (England)","20940","18740","21960","21260"
"In post","2022","AA/AO","Northern Ireland","1640","1530","21300","21250"
"In post","2022","AA/AO","Overseas","70","70","22100","21830"
"In post","2022","AA/AO","Scotland","16870","15370","22800","21260"
"In post","2022","AA/AO","South East (England)","13530","12290","24470","21960"
"In post","2022","AA/AO","South West (England)","9230","8450","22540","21260"
"In post","2022","AA/AO","Unknown","200","180","22400","21260"
"In post","2022","AA/AO","Wales","12600","11170","21680","21300"
"In post","2022","AA/AO","West Midlands (England)","10340","9360","22310","21260"
"In post","2022","AA/AO","Yorkshire and The Humber","11290","10160","22810","21260"
"In post","2022","EO","East Midlands (England)","6290","5820","27390","27570"
"In post","2022","EO","East of England","6960","6410","28340","27570"
"In post","2022","EO","London","21130","20090","30190","30470"
"In post","2022","EO","North East (England)","8430","7690","27120","27570"
"In post","2022","EO","North West (England)","19070","17680","27130","27570"
"In post","2022","EO","Northern Ireland","1100","1050","26930","26820"
"In post","2022","EO","Overseas","290","280","27700","27130"
"In post","2022","EO","Scotland","14370","13350","28700","27570"
"In post","2022","EO","South East (England)","12450","11530","28210","27570"
"In post","2022","EO","South West (England)","10160","9380","26780","27130"
"In post","2022","EO","Unknown","440","410","28290","27570"
"In post","2022","EO","Wales","9730","9050","27250","27570"
"In post","2022","EO","West Midlands (England)","9860","9130","27320","27570"
