"Status","Year","Parent_department","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Human Resources","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Legal","1130","1110","29960","26950"
"In post","2021","Attorney General's Departments","20-29","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Counter Fraud","80","80","43230","40000"
"In post","2021","Attorney General's Departments","30-39","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Finance","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Human Resources","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Legal","1900","1780","45530","50520"
"In post","2021","Attorney General's Departments","30-39","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Digital, Data & Technology","60","50","41570","38540"
"In post","2021","Attorney General's Departments","40-49","Finance","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Human Resources","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Legal","2490","2260","48720","51470"
"In post","2021","Attorney General's Departments","40-49","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Counter Fraud","70","70","53450","52750"
"In post","2021","Attorney General's Departments","50-59","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Finance","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Human Resources","70","70","47330","40100"
"In post","2021","Attorney General's Departments","50-59","Legal","2590","2410","48780","52730"
"In post","2021","Attorney General's Departments","50-59","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Legal","480","400","48220","55610"
"In post","2021","Attorney General's Departments","60-64","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Legal","120","100","45220","34480"
"In post","2021","Attorney General's Departments","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Commercial","120","120","47920","54700"
"In post","2021","Cabinet Office","20-29","Communications","120","120","36120","34550"
"In post","2021","Cabinet Office","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Digital, Data & Technology","210","210","41350","38500"
"In post","2021","Cabinet Office","20-29","Finance","30","30","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Human Resources","230","230","30260","28000"
"In post","2021","Cabinet Office","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","No function","2410","2410","33150","29250"
"In post","2021","Cabinet Office","20-29","Project Delivery","30","30","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Security","180","180","28170","26670"
"In post","2021","Cabinet Office","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","30-39","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","30-39","Commercial","300","290","63420","61710"
"In post","2021","Cabinet Office","30-39","Communications","130","130","49410","46550"
