"Status","Year","Region_ITL3","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Female","Unknown","210","200","29600","26160"
"In post","2021","Aberdeen City and Aberdeenshire","Female","White","660","600","33330","28720"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Undeclared","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Male","Unknown","210","200","35630","32140"
"In post","2021","Aberdeen City and Aberdeenshire","Male","White","650","630","39430","33650"
"In post","2021","Angus and Dundee City","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Female","Unknown","190","170","25130","21400"
"In post","2021","Angus and Dundee City","Female","White","910","810","26950","23730"
"In post","2021","Angus and Dundee City","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Male","Unknown","140","130","23660","21010"
"In post","2021","Angus and Dundee City","Male","White","550","530","26410","21580"
"In post","2021","Antrim and Newtownabbey","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Female","White","50","50","26980","21770"
"In post","2021","Antrim and Newtownabbey","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Male","White","120","120","22920","20310"
"In post","2021","Ards and North Down","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Female","White","50","40","29120","22330"
"In post","2021","Ards and North Down","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Male","White","150","150","24950","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Female","White","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Male","White","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Asian","80","70","30450","31060"
"In post","2021","Barking & Dagenham and Havering","Female","Black","80","70","30840","31060"
"In post","2021","Barking & Dagenham and Havering","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","Unknown","30","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Female","White","160","140","29960","31060"
"In post","2021","Barking & Dagenham and Havering","Male","Asian","60","60","31080","31060"
"In post","2021","Barking & Dagenham and Havering","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Male","White","80","80","30890","31060"
"In post","2021","Barnet","Female","Asian","260","240","35920","31880"
"In post","2021","Barnet","Female","Black","140","130","32990","31060"
"In post","2021","Barnet","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Mixed","60","50","33000","31060"
"In post","2021","Barnet","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Female","Undeclared","70","60","38720","34940"
"In post","2021","Barnet","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Barnet","Female","White","460","430","41940","35640"
"In post","2021","Barnet","Male","Asian","140","140","41070","38520"
"In post","2021","Barnet","Male","Black","70","70","36920","31060"
