"Status","Year","Region_ITL1","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Attorney General's Departments","Heterosexual / straight","320","290","38320","34480"
"In post","2021","East Midlands (England)","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Attorney General's Departments","Unknown","100","90","38410","34480"
"In post","2021","East Midlands (England)","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","80","70","35490","34500"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy","Unknown","110","110","29920","30240"
"In post","2021","East Midlands (England)","Department for Education","Heterosexual / straight","230","220","41450","37100"
"In post","2021","East Midlands (England)","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education","Unknown","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Heterosexual / straight","140","130","34740","30950"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs","Unknown","70","70","30020","26100"
"In post","2021","East Midlands (England)","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Heterosexual / straight","400","390","34280","29730"
"In post","2021","East Midlands (England)","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport","Undeclared","110","100","34950","30890"
"In post","2021","East Midlands (England)","Department for Transport","Unknown","120","110","30710","26700"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Heterosexual / straight","3160","2830","27440","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","LGBO","200","180","26790","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Undeclared","450","390","28440","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions","Unknown","1080","930","26270","27570"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Heterosexual / straight","140","130","41930","36330"
"In post","2021","East Midlands (England)","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
