"Status","Year","Region_ITL3","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Scottish Courts and Tribunals Service","80","70","24440","22820"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Crown Office and Procurator Fiscal Service","70","70","26230","22220"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","50000","45620"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Health and Safety Executive","110","100","77580","90550"
"In post","2021","Aberdeen City and Aberdeenshire","No function","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Maritime and Coastguard Agency","50","50","35120","31760"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Scottish Prison Service","280","270","30060","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Forestry and Land Scotland","60","60","30300","28630"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Ministry of Defence (excl. agencies)","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Work and Pensions (excl. agencies)","260","230","26500","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Food Standards Scotland","180","170","37410","33620"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Scottish Government (excl. agencies)","370","340","36450","32630"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Crown Office and Procurator Fiscal Service","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Scottish Courts and Tribunals Service","70","60","24910","22820"
"In post","2021","Angus and Dundee City","No function","Crown Office and Procurator Fiscal Service","60","50","25900","22220"
"In post","2021","Angus and Dundee City","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","HM Revenue and Customs (excl. agencies)","290","270","23250","21400"
"In post","2021","Angus and Dundee City","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Department for Work and Pensions (excl. agencies)","960","870","23850","21010"
"In post","2021","Angus and Dundee City","Unknown","Education Scotland","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Office of the Scottish Charity Regulator","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Social Security Scotland","310","300","28360","24910"
"In post","2021","Antrim and Newtownabbey","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
