"Status","Year","Age","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Female","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","City of Edinburgh","50","50","[c]","[c]"
"In post","2021","16-19","Female","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Derby","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Female","Durham CC","[c]","[c]","[c]","[c]"
