"Status","Year","Region_ITL1","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","No function","1550","1490","33490","32090"
"In post","2021","London","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","North East (England)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","AA/AO","Communications","220","180","20830","20660"
"In post","2021","North East (England)","AA/AO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","North East (England)","AA/AO","Debt","490","450","20370","20140"
"In post","2021","North East (England)","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","AA/AO","Finance","50","40","20250","20070"
"In post","2021","North East (England)","AA/AO","Grants Management","130","120","21050","21050"
"In post","2021","North East (England)","AA/AO","Human Resources","220","200","20790","20800"
"In post","2021","North East (England)","AA/AO","Legal","100","90","21800","21950"
"In post","2021","North East (England)","AA/AO","No function","7140","6080","22060","21400"
"In post","2021","North East (England)","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","AA/AO","Property","240","220","20550","20880"
"In post","2021","North East (England)","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","AA/AO","Unknown","4980","4260","20890","21010"
"In post","2021","North East (England)","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","EO","Communications","830","790","25690","25560"
"In post","2021","North East (England)","EO","Counter Fraud","200","190","25830","25560"
"In post","2021","North East (England)","EO","Debt","80","70","25400","25560"
"In post","2021","North East (England)","EO","Digital, Data & Technology","100","100","25970","25560"
"In post","2021","North East (England)","EO","Finance","60","50","26390","25780"
"In post","2021","North East (England)","EO","Grants Management","70","70","25410","25190"
"In post","2021","North East (England)","EO","Human Resources","160","140","25160","25550"
"In post","2021","North East (England)","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","EO","Legal","80","70","27200","27870"
"In post","2021","North East (England)","EO","No function","2140","1950","26910","26470"
"In post","2021","North East (England)","EO","Project Delivery","140","120","25930","25560"
"In post","2021","North East (England)","EO","Property","110","100","25620","25860"
"In post","2021","North East (England)","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","EO","Unknown","3910","3490","27260","27570"
"In post","2021","North East (England)","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Commercial","30","30","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Communications","40","40","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Counter Fraud","60","50","53640","52580"
"In post","2021","North East (England)","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Digital, Data & Technology","180","180","53770","52580"
"In post","2021","North East (England)","G6/G7","Finance","90","90","55190","52580"
"In post","2021","North East (England)","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Human Resources","40","40","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Legal","170","160","55300","55610"
"In post","2021","North East (England)","G6/G7","No function","460","450","55130","52580"
"In post","2021","North East (England)","G6/G7","Project Delivery","330","320","52970","52580"
"In post","2021","North East (England)","G6/G7","Property","50","50","55620","54990"
"In post","2021","North East (England)","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","G6/G7","Unknown","530","500","56000","52660"
"In post","2021","North East (England)","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Debt","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","No function","30","30","[c]","[c]"
"In post","2021","North East (England)","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Analysis","30","30","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Commercial","50","50","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Communications","460","440","33210","31810"
"In post","2021","North East (England)","SEO/HEO","Counter Fraud","240","230","33640","31810"
"In post","2021","North East (England)","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Digital, Data & Technology","460","440","34910","33840"
"In post","2021","North East (England)","SEO/HEO","Finance","220","210","35070","34120"
"In post","2021","North East (England)","SEO/HEO","Grants Management","50","50","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Human Resources","190","180","34120","32960"
"In post","2021","North East (England)","SEO/HEO","Internal Audit","30","30","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Legal","140","130","36060","37420"
"In post","2021","North East (England)","SEO/HEO","No function","1890","1780","35230","33840"
"In post","2021","North East (England)","SEO/HEO","Project Delivery","620","580","35220","36460"
"In post","2021","North East (England)","SEO/HEO","Property","160","140","35870","33300"
"In post","2021","North East (England)","SEO/HEO","Security","50","50","[c]","[c]"
"In post","2021","North East (England)","SEO/HEO","Unknown","1570","1470","34170","33180"
"In post","2021","North East (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","No function","700","650","29200","28200"
"In post","2021","North East (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","AA/AO","Communications","30","30","[c]","[c]"
"In post","2021","North West (England)","AA/AO","Counter Fraud","140","120","20720","20140"
"In post","2021","North West (England)","AA/AO","Debt","230","210","20650","20140"
"In post","2021","North West (England)","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","AA/AO","Finance","110","100","21040","21130"
"In post","2021","North West (England)","AA/AO","Grants Management","470","410","20980","21050"
"In post","2021","North West (England)","AA/AO","Human Resources","290","260","21050","20920"
"In post","2021","North West (England)","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","AA/AO","Legal","240","220","21800","21950"
"In post","2021","North West (England)","AA/AO","No function","9750","8790","22250","20880"
"In post","2021","North West (England)","AA/AO","Project Delivery","70","60","21290","21050"
"In post","2021","North West (England)","AA/AO","Property","60","60","19830","21050"
"In post","2021","North West (England)","AA/AO","Security","170","170","23160","20060"
"In post","2021","North West (England)","AA/AO","Unknown","9490","8320","20850","21010"
"In post","2021","North West (England)","EO","Analysis","40","30","[c]","[c]"
"In post","2021","North West (England)","EO","Commercial","100","90","25520","25560"
"In post","2021","North West (England)","EO","Communications","330","320","25730","25560"
"In post","2021","North West (England)","EO","Counter Fraud","580","550","25970","25560"
"In post","2021","North West (England)","EO","Debt","80","70","26340","25560"
"In post","2021","North West (England)","EO","Digital, Data & Technology","140","130","26640","26670"
"In post","2021","North West (England)","EO","Finance","100","100","25810","25900"
"In post","2021","North West (England)","EO","Grants Management","170","160","25450","25190"
"In post","2021","North West (England)","EO","Human Resources","300","290","25970","25880"
"In post","2021","North West (England)","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","EO","Legal","290","260","27320","28130"
"In post","2021","North West (England)","EO","No function","4330","4040","27450","26700"
"In post","2021","North West (England)","EO","Project Delivery","340","320","25040","25560"
"In post","2021","North West (England)","EO","Property","160","140","25970","26000"
"In post","2021","North West (England)","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","EO","Unknown","11400","10430","26900","27570"
"In post","2021","North West (England)","G6/G7","Analysis","100","90","52130","52580"
"In post","2021","North West (England)","G6/G7","Commercial","230","220","58540","53430"
"In post","2021","North West (England)","G6/G7","Communications","50","50","54540","52580"
"In post","2021","North West (England)","G6/G7","Counter Fraud","200","190","55400","52580"
"In post","2021","North West (England)","G6/G7","Debt","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","G6/G7","Digital, Data & Technology","220","220","54290","52580"
"In post","2021","North West (England)","G6/G7","Finance","170","160","55670","53620"
"In post","2021","North West (England)","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","G6/G7","Human Resources","210","200","55300","52770"
"In post","2021","North West (England)","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","G6/G7","Legal","520","490","56420","55610"
"In post","2021","North West (England)","G6/G7","No function","1250","1210","57500","52770"
"In post","2021","North West (England)","G6/G7","Project Delivery","470","460","54430","52580"
"In post","2021","North West (England)","G6/G7","Property","90","90","56010","54990"
"In post","2021","North West (England)","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","G6/G7","Unknown","1020","990","56790","53490"
"In post","2021","North West (England)","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SCS","Commercial","50","40","[c]","[c]"
"In post","2021","North West (England)","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","SCS","Grants Management","[c]","[c]","[c]","[c]"
