"Status","Year","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","East of England","4540","4250","32470","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","9590","9130","32900","29650"
"In post","2021","Cheshire","North West (England)","3900","3680","31290","28840"
"In post","2021","Cornwall and Isles of Scilly","South West (England)","1650","1500","26590","26670"
"In post","2021","Cumbria","North West (England)","2140","1950","27990","25100"
"In post","2021","Derbyshire and Nottinghamshire","East Midlands (England)","12290","11390","30970","27570"
"In post","2021","Devon","South West (England)","9020","8290","31290","27570"
"In post","2021","Dorset and Somerset","South West (England)","5210","4840","29650","27570"
"In post","2021","East Anglia","East of England","12460","11600","30130","27570"
"In post","2021","East Wales","Wales","20380","19060","32530","27680"
"In post","2021","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","4710","4310","27870","26930"
"In post","2021","Eastern Scotland","Scotland","19840","18650","34310","29350"
"In post","2021","Essex","East of England","5590","5130","30790","29290"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","29310","27830","36460","33300"
"In post","2021","Greater Manchester","North West (England)","19710","18500","30950","27570"
"In post","2021","Hampshire and Isle of Wight","South East (England)","15350","14170","32110","28430"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","3990","3730","28020","26470"
"In post","2021","Highlands and Islands","Scotland","1950","1830","28800","27570"
"In post","2021","Inner London - East","London","17200","16380","42040","36160"
"In post","2021","Inner London - West","London","61140","59480","47030","41950"
"In post","2021","Kent","South East (England)","8520","7970","29630","28300"
"In post","2021","Lancashire","North West (England)","14110","12820","28250","27570"
"In post","2021","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","6250","5720","27410","26220"
"In post","2021","Lincolnshire","East Midlands (England)","2830","2660","28120","26750"
"In post","2021","Merseyside","North West (England)","19480","17760","28680","25560"
"In post","2021","North Eastern Scotland","Scotland","1870","1760","36180","30650"
"In post","2021","North Yorkshire","Yorkshire and The Humber","4730","4470","33500","29200"
"In post","2021","Northern Ireland","Northern Ireland","3820","3590","27990","25560"
"In post","2021","Northumberland and Tyne and Wear","North East (England)","21370","19130","28300","25560"
"In post","2021","Outer London - East and North East","London","3780","3530","30650","31060"
"In post","2021","Outer London - South","London","10740","10180","37520","32520"
"In post","2021","Outer London - West and North West","London","9060","8420","33270","31060"
"In post","2021","Overseas","Overseas","3750","3740","49990","49760"
"In post","2021","Shropshire and Staffordshire","West Midlands (England)","8310","7740","29870","27570"
"In post","2021","South Yorkshire","Yorkshire and The Humber","9930","9070","31380","27570"
"In post","2021","Southern Scotland","Scotland","6020","5440","29430","26530"
"In post","2021","Surrey, East and West Sussex","South East (England)","8300","7610","30540","27570"
"In post","2021","Tees Valley and Durham","North East (England)","9240","8370","27900","26300"
"In post","2021","Unknown","Unknown","3730","3650","35670","32100"
"In post","2021","West Central Scotland","Scotland","17920","16550","30640","27570"
"In post","2021","West Midlands","West Midlands (England)","18200","16810","30810","27570"
"In post","2021","West Wales and The Valleys","Wales","15710","14200","28660","26350"
"In post","2021","West Yorkshire","Yorkshire and The Humber","17250","15970","31400","27570"
"In post","2022","Bedfordshire and Hertfordshire","East of England","4700","4430","33550","29450"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","9540","9050","33560","30110"
"In post","2022","Cheshire","North West (England)","4390","4130","31980","28880"
"In post","2022","Cornwall and Isles of Scilly","South West (England)","1770","1620","27790","26750"
"In post","2022","Cumbria","North West (England)","2320","2120","28780","25190"
"In post","2022","Derbyshire and Nottinghamshire","East Midlands (England)","13710","12760","31950","27570"
"In post","2022","Devon","South West (England)","9320","8570","32060","27570"
"In post","2022","Dorset and Somerset","South West (England)","5460","5090","30510","27570"
"In post","2022","East Anglia","East of England","12910","12030","30540","27570"
"In post","2022","East Wales","Wales","20860","19610","33910","29470"
"In post","2022","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","4950","4540","28490","27130"
"In post","2022","Eastern Scotland","Scotland","20990","19810","35670","31280"
"In post","2022","Essex","East of England","5320","4900","31260","29290"
"In post","2022","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","30170","28680","36750","33300"
"In post","2022","Greater Manchester","North West (England)","21600","20380","32190","27570"
"In post","2022","Hampshire and Isle of Wight","South East (England)","15570","14360","33070","29230"
"In post","2022","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","4190","3910","29130","26780"
"In post","2022","Highlands and Islands","Scotland","2000","1880","29970","27570"
"In post","2022","Inner London - East","London","19050","18250","42320","37610"
"In post","2022","Inner London - West","London","60770","59140","47670","42720"
"In post","2022","Kent","South East (England)","8760","8200","30010","28200"
"In post","2022","Lancashire","North West (England)","14780","13490","29240","27570"
"In post","2022","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","6280","5770","28240","26750"
"In post","2022","Lincolnshire","East Midlands (England)","3020","2840","28870","26950"
"In post","2022","Merseyside","North West (England)","21220","19580","29570","26670"
"In post","2022","North Eastern Scotland","Scotland","1930","1820","36780","31540"
"In post","2022","North Yorkshire","Yorkshire and The Humber","4650","4410","32880","29180"
"In post","2022","Northern Ireland","Northern Ireland","4260","4050","29640","26590"
"In post","2022","Northumberland, and Tyne and Wear","North East (England)","23250","21080","30050","26820"
"In post","2022","Outer London - East and North East","London","4070","3800","31460","31060"
"In post","2022","Outer London - South","London","11820","11240","38900","35050"
"In post","2022","Outer London - West and North West","London","9120","8530","33790","31060"
"In post","2022","Overseas","Overseas","3690","3670","49440","48580"
"In post","2022","Shropshire and Staffordshire","West Midlands (England)","8910","8310","31080","27570"
"In post","2022","South Yorkshire","Yorkshire and The Humber","10480","9610","32200","27570"
"In post","2022","Southern Scotland","Scotland","6240","5690","30260","27230"
"In post","2022","Surrey, East and West Sussex","South East (England)","8770","8050","31570","27980"
"In post","2022","Tees Valley and Durham","North East (England)","9850","8990","28980","27130"
"In post","2022","Unknown","Unknown","3310","3240","35950","32400"
"In post","2022","West Central Scotland","Scotland","19850","18500","31960","27570"
"In post","2022","West Midlands","West Midlands (England)","20070","18640","31380","27570"
"In post","2022","West Wales and The Valleys","Wales","17040","15490","29170","26710"
"In post","2022","West Yorkshire","Yorkshire and The Humber","19150","17850","32690","27570"
"Leaver CS","2021","Bedfordshire and Hertfordshire","East of England","470","420","30260","26590"
"Leaver CS","2021","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","720","660","31830","28550"
"Leaver CS","2021","Cheshire","North West (England)","200","170","28240","26000"
"Leaver CS","2021","Cornwall and Isles of Scilly","South West (England)","90","80","27030","24670"
"Leaver CS","2021","Cumbria","North West (England)","120","110","26280","21050"
"Leaver CS","2021","Derbyshire and Nottinghamshire","East Midlands (England)","630","550","27100","24000"
"Leaver CS","2021","Devon","South West (England)","610","540","26480","21580"
"Leaver CS","2021","Dorset and Somerset","South West (England)","350","310","29280","27130"
"Leaver CS","2021","East Anglia","East of England","990","880","30560","26890"
"Leaver CS","2021","East Wales","Wales","1190","1030","32570","26930"
"Leaver CS","2021","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","460","390","27920","26930"
"Leaver CS","2021","Eastern Scotland","Scotland","1120","990","34390","28910"
"Leaver CS","2021","Essex","East of England","340","300","29210","26350"
"Leaver CS","2021","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","1410","1300","34540","30020"
"Leaver CS","2021","Greater Manchester","North West (England)","960","850","30080","26000"
"Leaver CS","2021","Hampshire and Isle of Wight","South East (England)","860","750","29770","26670"
"Leaver CS","2021","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","270","240","24650","22220"
"Leaver CS","2021","Highlands and Islands","Scotland","100","90","28640","25870"
"Leaver CS","2021","Inner London - East","London","1020","950","41730","33870"
"Leaver CS","2021","Inner London - West","London","3080","2730","44030","37030"
"Leaver CS","2021","Kent","South East (England)","560","490","26770","25110"
"Leaver CS","2021","Lancashire","North West (England)","720","610","26280","21010"
"Leaver CS","2021","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","640","570","25920","21950"
"Leaver CS","2021","Lincolnshire","East Midlands (England)","330","300","29040","28000"
"Leaver CS","2021","Merseyside","North West (England)","770","630","27640","24110"
"Leaver CS","2021","North Eastern Scotland","Scotland","150","130","35030","27570"
"Leaver CS","2021","North Yorkshire","Yorkshire and The Humber","260","230","33880","27570"
"Leaver CS","2021","Northern Ireland","Northern Ireland","200","180","27470","21850"
"Leaver CS","2021","Northumberland and Tyne and Wear","North East (England)","1070","860","26470","21010"
"Leaver CS","2021","Outer London - East and North East","London","230","210","29380","31060"
"Leaver CS","2021","Outer London - South","London","440","390","34990","30060"
"Leaver CS","2021","Outer London - West and North West","London","560","500","33200","31060"
"Leaver CS","2021","Overseas","Overseas","130","110","42070","38290"
"Leaver CS","2021","Shropshire and Staffordshire","West Midlands (England)","510","450","27790","26000"
"Leaver CS","2021","South Yorkshire","Yorkshire and The Humber","640","540","29060","25000"
