"Status","Year","Region_ITL1","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","East of England","Female","Declared non-disabled","910","800","30230","27570"
"Leaver CS","2022","East of England","Female","Undeclared","70","60","[c]","[c]"
"Leaver CS","2022","East of England","Female","Unknown","240","210","34070","27570"
"Leaver CS","2022","East of England","Male","Declared disabled","140","130","31800","27570"
"Leaver CS","2022","East of England","Male","Declared non-disabled","810","750","31530","27570"
"Leaver CS","2022","East of England","Male","Undeclared","90","80","[c]","[c]"
"Leaver CS","2022","East of England","Male","Unknown","260","240","34080","29290"
"Leaver CS","2022","London","Female","Declared disabled","490","430","35480","31060"
"Leaver CS","2022","London","Female","Declared non-disabled","3050","2740","40340","33480"
"Leaver CS","2022","London","Female","Undeclared","210","190","41030","35590"
"Leaver CS","2022","London","Female","Unknown","1590","1330","39460","32310"
"Leaver CS","2022","London","Male","Declared disabled","320","280","41270","33700"
"Leaver CS","2022","London","Male","Declared non-disabled","2450","2260","44200","37230"
"Leaver CS","2022","London","Male","Undeclared","200","190","43530","40150"
"Leaver CS","2022","London","Male","Unknown","1340","1140","43570","36330"
"Leaver CS","2022","London","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Female","Declared disabled","160","130","27360","23570"
"Leaver CS","2022","North East (England)","Female","Declared non-disabled","970","780","27250","22010"
"Leaver CS","2022","North East (England)","Female","Undeclared","70","60","[c]","[c]"
"Leaver CS","2022","North East (England)","Female","Unknown","320","270","30270","22600"
"Leaver CS","2022","North East (England)","Male","Declared disabled","110","100","25270","21260"
"Leaver CS","2022","North East (England)","Male","Declared non-disabled","590","540","28450","21430"
"Leaver CS","2022","North East (England)","Male","Undeclared","60","60","[c]","[c]"
"Leaver CS","2022","North East (England)","Male","Unknown","270","250","29230","24880"
"Leaver CS","2022","North East (England)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Female","Declared disabled","320","260","26750","25310"
"Leaver CS","2022","North West (England)","Female","Declared non-disabled","1630","1360","28290","25190"
"Leaver CS","2022","North West (England)","Female","Undeclared","120","100","25080","22080"
"Leaver CS","2022","North West (England)","Female","Unknown","490","430","29640","25000"
"Leaver CS","2022","North West (England)","Male","Declared disabled","230","200","27970","25120"
"Leaver CS","2022","North West (England)","Male","Declared non-disabled","1230","1130","30490","26500"
"Leaver CS","2022","North West (England)","Male","Undeclared","130","110","27310","21680"
"Leaver CS","2022","North West (England)","Male","Unknown","490","460","31070","26180"
"Leaver CS","2022","Northern Ireland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Female","Declared non-disabled","70","60","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Male","Declared non-disabled","70","60","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Male","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Overseas","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Female","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Overseas","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Male","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2022","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Female","Declared disabled","200","160","28480","26900"
"Leaver CS","2022","Scotland","Female","Declared non-disabled","1070","900","30080","27570"
"Leaver CS","2022","Scotland","Female","Undeclared","50","40","[c]","[c]"
"Leaver CS","2022","Scotland","Female","Unknown","580","510","30940","27050"
"Leaver CS","2022","Scotland","Male","Declared disabled","180","160","31100","27570"
"Leaver CS","2022","Scotland","Male","Declared non-disabled","910","840","33830","27570"
"Leaver CS","2022","Scotland","Male","Undeclared","60","50","[c]","[c]"
"Leaver CS","2022","Scotland","Male","Unknown","710","650","33890","30690"
"Leaver CS","2022","South East (England)","Female","Declared disabled","240","200","27730","27570"
"Leaver CS","2022","South East (England)","Female","Declared non-disabled","1430","1250","30060","27570"
"Leaver CS","2022","South East (England)","Female","Undeclared","150","130","28230","26470"
"Leaver CS","2022","South East (England)","Female","Unknown","440","390","27850","23170"
"Leaver CS","2022","South East (England)","Male","Declared disabled","210","190","30420","27570"
"Leaver CS","2022","South East (England)","Male","Declared non-disabled","1440","1350","32480","27570"
"Leaver CS","2022","South East (England)","Male","Undeclared","170","150","30450","27570"
"Leaver CS","2022","South East (England)","Male","Unknown","490","450","29500","25000"
"Leaver CS","2022","South East (England)","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Female","Declared disabled","210","180","29410","26750"
"Leaver CS","2022","South West (England)","Female","Declared non-disabled","1270","1110","30640","27570"
"Leaver CS","2022","South West (England)","Female","Undeclared","70","50","29960","28380"
"Leaver CS","2022","South West (England)","Female","Unknown","350","320","31710","26350"
"Leaver CS","2022","South West (England)","Male","Declared disabled","220","200","32950","29000"
"Leaver CS","2022","South West (England)","Male","Declared non-disabled","1420","1350","34550","32180"
"Leaver CS","2022","South West (England)","Male","Undeclared","140","120","34000","33370"
"Leaver CS","2022","South West (England)","Male","Unknown","400","390","31820","27570"
"Leaver CS","2022","Unknown","Female","Declared disabled","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Declared non-disabled","250","200","25490","21840"
"Leaver CS","2022","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Unknown","320","230","31030","21840"
"Leaver CS","2022","Unknown","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Declared non-disabled","180","160","31430","26470"
"Leaver CS","2022","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Unknown","390","340","36810","32980"
"Leaver CS","2022","Wales","Female","Declared disabled","130","100","29050","27570"
"Leaver CS","2022","Wales","Female","Declared non-disabled","730","610","28880","23830"
"Leaver CS","2022","Wales","Female","Undeclared","50","50","[c]","[c]"
"Leaver CS","2022","Wales","Female","Unknown","220","190","27210","22490"
"Leaver CS","2022","Wales","Male","Declared disabled","110","100","30470","24880"
"Leaver CS","2022","Wales","Male","Declared non-disabled","610","560","35110","28850"
"Leaver CS","2022","Wales","Male","Undeclared","80","70","[c]","[c]"
"Leaver CS","2022","Wales","Male","Unknown","270","260","30550","26130"
"Leaver CS","2022","West Midlands (England)","Female","Declared disabled","190","160","27370","27570"
"Leaver CS","2022","West Midlands (England)","Female","Declared non-disabled","940","800","30610","27570"
"Leaver CS","2022","West Midlands (England)","Female","Undeclared","70","60","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Female","Unknown","320","290","30750","25000"
"Leaver CS","2022","West Midlands (England)","Male","Declared disabled","110","100","26730","26670"
"Leaver CS","2022","West Midlands (England)","Male","Declared non-disabled","730","680","31750","27570"
"Leaver CS","2022","West Midlands (England)","Male","Undeclared","70","70","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Male","Unknown","310","300","32670","26130"
"Leaver CS","2022","Yorkshire and The Humber","Female","Declared disabled","220","180","27900","27000"
"Leaver CS","2022","Yorkshire and The Humber","Female","Declared non-disabled","1150","970","29430","27570"
"Leaver CS","2022","Yorkshire and The Humber","Female","Undeclared","70","60","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Female","Unknown","430","340","28840","26170"
"Leaver CS","2022","Yorkshire and The Humber","Male","Declared disabled","140","120","29200","26310"
"Leaver CS","2022","Yorkshire and The Humber","Male","Declared non-disabled","940","870","31750","27570"
"Leaver CS","2022","Yorkshire and The Humber","Male","Undeclared","110","90","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Male","Unknown","450","380","33920","27570"
"Leaver Dept.","2021","East Midlands (England)","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Female","Declared non-disabled","90","90","26030","21950"
"Leaver Dept.","2021","East Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Female","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Male","Declared non-disabled","60","60","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Male","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2021","East of England","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Female","Declared non-disabled","90","80","32020","29290"
"Leaver Dept.","2021","East of England","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Male","Declared non-disabled","40","40","[c]","[c]"
"Leaver Dept.","2021","East of England","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Female","Declared disabled","220","200","41750","36700"
"Leaver Dept.","2021","London","Female","Declared non-disabled","1740","1620","44800","39250"
"Leaver Dept.","2021","London","Female","Undeclared","160","150","44590","42410"
"Leaver Dept.","2021","London","Female","Unknown","820","700","42780","38540"
"Leaver Dept.","2021","London","Male","Declared disabled","190","180","43060","37280"
"Leaver Dept.","2021","London","Male","Declared non-disabled","1350","1270","44860","39600"
"Leaver Dept.","2021","London","Male","Undeclared","130","120","43000","39120"
"Leaver Dept.","2021","London","Male","Unknown","720","630","43800","38820"
"Leaver Dept.","2021","London","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Female","Declared disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Female","Declared non-disabled","250","230","25850","22730"
"Leaver Dept.","2021","North East (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Female","Unknown","80","80","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Male","Declared non-disabled","130","130","28180","25550"
"Leaver Dept.","2021","North East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Male","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Female","Declared disabled","60","50","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Female","Declared non-disabled","370","350","29610","26890"
"Leaver Dept.","2021","North West (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Female","Unknown","130","130","27100","24250"
"Leaver Dept.","2021","North West (England)","Male","Declared disabled","50","40","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Male","Declared non-disabled","290","280","29090","27570"
"Leaver Dept.","2021","North West (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","Male","Unknown","140","130","31010","25190"
"Leaver Dept.","2021","Northern Ireland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Male","Declared non-disabled","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Female","Declared non-disabled","230","220","30330","27570"
"Leaver Dept.","2021","Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Female","Unknown","90","90","[c]","[c]"
"Leaver Dept.","2021","Scotland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Male","Declared non-disabled","150","150","29980","27570"
"Leaver Dept.","2021","Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","Male","Unknown","70","70","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Female","Declared non-disabled","150","140","30840","28650"
"Leaver Dept.","2021","South East (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Female","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Male","Declared non-disabled","100","100","36630","29290"
"Leaver Dept.","2021","South East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","Male","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Female","Declared disabled","50","40","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Female","Declared non-disabled","270","260","34170","29450"
"Leaver Dept.","2021","South West (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Female","Unknown","70","70","33790","30230"
"Leaver Dept.","2021","South West (England)","Male","Declared disabled","40","40","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Male","Declared non-disabled","270","270","35130","32330"
"Leaver Dept.","2021","South West (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","Male","Unknown","80","80","37610","36490"
"Leaver Dept.","2021","Unknown","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Declared non-disabled","130","130","37020","32000"
"Leaver Dept.","2021","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Unknown","210","210","33410","32000"
"Leaver Dept.","2021","Unknown","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Declared non-disabled","110","100","39850","32000"
"Leaver Dept.","2021","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Unknown","190","190","34740","32000"
"Leaver Dept.","2021","Wales","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Female","Declared non-disabled","210","190","30250","27570"
"Leaver Dept.","2021","Wales","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Female","Unknown","80","70","[c]","[c]"
"Leaver Dept.","2021","Wales","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Male","Declared non-disabled","150","150","33150","27570"
"Leaver Dept.","2021","Wales","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","Male","Unknown","80","80","36120","30950"
"Leaver Dept.","2021","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Female","Declared non-disabled","200","190","27300","24110"
"Leaver Dept.","2021","West Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Female","Unknown","70","70","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Male","Declared non-disabled","140","140","28290","24300"
"Leaver Dept.","2021","West Midlands (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Male","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Female","Declared disabled","30","30","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Female","Declared non-disabled","200","190","33570","28270"
"Leaver Dept.","2021","Yorkshire and The Humber","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Female","Unknown","100","80","32870","31840"
"Leaver Dept.","2021","Yorkshire and The Humber","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Male","Declared non-disabled","160","150","34280","31210"
"Leaver Dept.","2021","Yorkshire and The Humber","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Yorkshire and The Humber","Male","Unknown","80","70","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Female","Declared disabled","40","40","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Female","Declared non-disabled","270","260","31940","27570"
"Leaver Dept.","2022","East Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Female","Unknown","70","70","36190","28820"
"Leaver Dept.","2022","East Midlands (England)","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Male","Declared non-disabled","140","130","31680","27570"
"Leaver Dept.","2022","East Midlands (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East Midlands (England)","Male","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2022","East of England","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Female","Declared non-disabled","270","240","35020","30460"
"Leaver Dept.","2022","East of England","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Female","Unknown","100","90","43790","36330"
"Leaver Dept.","2022","East of England","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Male","Declared non-disabled","170","170","37760","29290"
"Leaver Dept.","2022","East of England","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","East of England","Male","Unknown","60","50","45880","34530"
"Leaver Dept.","2022","London","Female","Declared disabled","440","400","40900","36650"
"Leaver Dept.","2022","London","Female","Declared non-disabled","3620","3340","43040","38020"
"Leaver Dept.","2022","London","Female","Undeclared","190","180","39740","36560"
"Leaver Dept.","2022","London","Female","Unknown","1830","1340","43730","36330"
"Leaver Dept.","2022","London","Male","Declared disabled","280","260","44390","37850"
"Leaver Dept.","2022","London","Male","Declared non-disabled","2380","2230","45610","40070"
"Leaver Dept.","2022","London","Male","Undeclared","160","150","43660","40220"
"Leaver Dept.","2022","London","Male","Unknown","1380","1020","45830","40050"
"Leaver Dept.","2022","London","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Female","Declared disabled","60","50","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Female","Declared non-disabled","400","380","30320","27570"
"Leaver Dept.","2022","North East (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Female","Unknown","130","120","34640","27570"
"Leaver Dept.","2022","North East (England)","Male","Declared disabled","30","30","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Male","Declared non-disabled","250","250","33310","27570"
"Leaver Dept.","2022","North East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Male","Unknown","80","80","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Female","Declared disabled","140","130","30830","27570"
"Leaver Dept.","2022","North West (England)","Female","Declared non-disabled","790","750","31110","27570"
"Leaver Dept.","2022","North West (England)","Female","Undeclared","40","30","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Female","Unknown","250","230","31920","28710"
"Leaver Dept.","2022","North West (England)","Male","Declared disabled","70","70","32840","27570"
"Leaver Dept.","2022","North West (England)","Male","Declared non-disabled","560","550","32270","27570"
"Leaver Dept.","2022","North West (England)","Male","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2022","North West (England)","Male","Unknown","180","180","38590","30470"
"Leaver Dept.","2022","Northern Ireland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Male","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Female","Declared disabled","70","60","27180","27570"
"Leaver Dept.","2022","Scotland","Female","Declared non-disabled","510","490","29410","27570"
"Leaver Dept.","2022","Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Female","Unknown","150","140","33450","27570"
"Leaver Dept.","2022","Scotland","Male","Declared disabled","60","60","[c]","[c]"
"Leaver Dept.","2022","Scotland","Male","Declared non-disabled","330","330","29640","27570"
"Leaver Dept.","2022","Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Male","Unknown","100","100","33530","30820"
"Leaver Dept.","2022","South East (England)","Female","Declared disabled","40","40","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Female","Declared non-disabled","410","360","36930","30460"
"Leaver Dept.","2022","South East (England)","Female","Undeclared","30","30","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Female","Unknown","150","130","45280","40030"
"Leaver Dept.","2022","South East (England)","Male","Declared disabled","40","40","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Male","Declared non-disabled","260","250","37920","31940"
"Leaver Dept.","2022","South East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","South East (England)","Male","Unknown","120","120","46540","41090"
"Leaver Dept.","2022","South West (England)","Female","Declared disabled","90","80","33490","29990"
"Leaver Dept.","2022","South West (England)","Female","Declared non-disabled","900","840","33970","29270"
"Leaver Dept.","2022","South West (England)","Female","Undeclared","40","30","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Female","Unknown","230","210","40630","37450"
"Leaver Dept.","2022","South West (England)","Male","Declared disabled","70","60","34260","30530"
"Leaver Dept.","2022","South West (England)","Male","Declared non-disabled","580","570","37560","32780"
"Leaver Dept.","2022","South West (England)","Male","Undeclared","40","40","[c]","[c]"
"Leaver Dept.","2022","South West (England)","Male","Unknown","190","180","46610","40760"
"Leaver Dept.","2022","Unknown","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Declared non-disabled","160","150","36400","31990"
"Leaver Dept.","2022","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Unknown","240","120","35900","32000"
"Leaver Dept.","2022","Unknown","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Declared non-disabled","120","120","40340","33730"
"Leaver Dept.","2022","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Unknown","170","100","38030","32000"
"Leaver Dept.","2022","Wales","Female","Declared disabled","50","40","[c]","[c]"
"Leaver Dept.","2022","Wales","Female","Declared non-disabled","250","240","32190","27570"
"Leaver Dept.","2022","Wales","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Female","Unknown","90","90","33870","29540"
"Leaver Dept.","2022","Wales","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Male","Declared non-disabled","200","200","35380","30480"
"Leaver Dept.","2022","Wales","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Wales","Male","Unknown","80","80","35010","29540"
"Leaver Dept.","2022","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Female","Declared disabled","70","70","31970","27570"
"Leaver Dept.","2022","West Midlands (England)","Female","Declared non-disabled","530","490","32110","27570"
"Leaver Dept.","2022","West Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Female","Unknown","170","160","37780","28840"
"Leaver Dept.","2022","West Midlands (England)","Male","Declared disabled","40","40","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Male","Declared non-disabled","340","330","32510","27570"
"Leaver Dept.","2022","West Midlands (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Male","Unknown","110","110","37880","29360"
"Leaver Dept.","2022","Yorkshire and The Humber","Female","Declared disabled","80","70","34260","31860"
"Leaver Dept.","2022","Yorkshire and The Humber","Female","Declared non-disabled","510","470","35220","31000"
"Leaver Dept.","2022","Yorkshire and The Humber","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Female","Unknown","320","140","37840","30120"
"Leaver Dept.","2022","Yorkshire and The Humber","Male","Declared disabled","60","50","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Male","Declared non-disabled","410","390","37620","32000"
"Leaver Dept.","2022","Yorkshire and The Humber","Male","Undeclared","[c]","[c]","[c]","[c]"
