"Status","Year","Region_ITL1","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Wales","Female","Unknown","2940","2680","27590","23320"
"In post","2021","Wales","Male","Declared disabled","1290","1220","30370","27570"
"In post","2021","Wales","Male","Declared non-disabled","10380","10040","33590","28750"
"In post","2021","Wales","Male","Undeclared","1050","990","31420","28750"
"In post","2021","Wales","Male","Unknown","2680","2610","30240","25790"
"In post","2021","Wales","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Female","Declared disabled","2270","2010","28380","27570"
"In post","2021","West Midlands (England)","Female","Declared non-disabled","12140","10810","29380","27570"
"In post","2021","West Midlands (England)","Female","Undeclared","940","850","29190","27380"
"In post","2021","West Midlands (England)","Female","Unknown","2150","2010","29760","25560"
"In post","2021","West Midlands (England)","Male","Declared disabled","1330","1260","29790","27570"
"In post","2021","West Midlands (England)","Male","Declared non-disabled","8680","8430","31600","27570"
"In post","2021","West Midlands (England)","Male","Undeclared","1000","960","31070","29320"
"In post","2021","West Midlands (England)","Male","Unknown","1990","1940","31790","26700"
"In post","2021","Yorkshire and The Humber","Female","Declared disabled","2440","2130","29560","27570"
"In post","2021","Yorkshire and The Humber","Female","Declared non-disabled","13950","12320","30530","27570"
"In post","2021","Yorkshire and The Humber","Female","Undeclared","1020","910","30850","27570"
"In post","2021","Yorkshire and The Humber","Female","Unknown","2650","2490","30950","26350"
"In post","2021","Yorkshire and The Humber","Male","Declared disabled","1550","1460","30820","27570"
"In post","2021","Yorkshire and The Humber","Male","Declared non-disabled","11040","10660","32740","27570"
"In post","2021","Yorkshire and The Humber","Male","Undeclared","1260","1200","31660","31650"
"In post","2021","Yorkshire and The Humber","Male","Unknown","2700","2650","30380","25790"
"In post","2022","East Midlands (England)","Female","Declared disabled","1830","1630","29080","27570"
"In post","2022","East Midlands (England)","Female","Declared non-disabled","8750","7860","29980","27410"
"In post","2022","East Midlands (England)","Female","Undeclared","740","670","29440","27570"
"In post","2022","East Midlands (England)","Female","Unknown","1730","1600","29330","26590"
"In post","2022","East Midlands (England)","Male","Declared disabled","1130","1080","29280","27570"
"In post","2022","East Midlands (England)","Male","Declared non-disabled","6520","6300","32260","27570"
"In post","2022","East Midlands (England)","Male","Undeclared","770","730","31910","31650"
"In post","2022","East Midlands (England)","Male","Unknown","1530","1490","30200","26820"
"In post","2022","East of England","Female","Declared disabled","1670","1500","29720","27570"
"In post","2022","East of England","Female","Declared non-disabled","8550","7710","30260","27570"
"In post","2022","East of England","Female","Undeclared","700","640","30380","28200"
"In post","2022","East of England","Female","Unknown","1550","1430","31410","26970"
"In post","2022","East of England","Male","Declared disabled","1040","980","31330","29290"
"In post","2022","East of England","Male","Declared non-disabled","6980","6750","32480","29290"
"In post","2022","East of England","Male","Undeclared","880","840","32650","31650"
"In post","2022","East of England","Male","Unknown","1560","1520","33260","29260"
"In post","2022","London","Female","Declared disabled","5870","5510","40250","34610"
"In post","2022","London","Female","Declared non-disabled","36800","34660","42830","37610"
"In post","2022","London","Female","Undeclared","2520","2380","40970","35900"
"In post","2022","London","Female","Unknown","11980","11570","42830","37930"
"In post","2022","London","Male","Declared disabled","4060","3950","42800","37640"
"In post","2022","London","Male","Declared non-disabled","30570","30040","46080","40650"
"In post","2022","London","Male","Undeclared","2830","2770","44420","39100"
"In post","2022","London","Male","Unknown","10200","10070","45340","40050"
"In post","2022","London","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Female","Declared disabled","2390","2040","27740","26820"
"In post","2022","North East (England)","Female","Declared non-disabled","13130","11470","29010","26820"
"In post","2022","North East (England)","Female","Undeclared","800","700","28660","27130"
"In post","2022","North East (England)","Female","Unknown","3010","2660","27310","23140"
"In post","2022","North East (England)","Male","Declared disabled","1450","1350","29090","26950"
"In post","2022","North East (England)","Male","Declared non-disabled","8890","8530","31880","27570"
"In post","2022","North East (England)","Male","Undeclared","1020","950","32030","31650"
"In post","2022","North East (England)","Male","Unknown","2430","2360","30470","26820"
"In post","2022","North West (England)","Female","Declared disabled","4760","4180","28860","27570"
"In post","2022","North West (England)","Female","Declared non-disabled","24960","22410","29700","27570"
"In post","2022","North West (England)","Female","Undeclared","1670","1500","29560","27570"
"In post","2022","North West (England)","Female","Unknown","5530","5140","29540","26590"
"In post","2022","North West (England)","Male","Declared disabled","2930","2770","30050","27570"
"In post","2022","North West (England)","Male","Declared non-disabled","17780","17200","32100","27570"
"In post","2022","North West (England)","Male","Undeclared","1820","1730","31730","31060"
"In post","2022","North West (England)","Male","Unknown","4860","4750","31740","27570"
"In post","2022","North West (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Female","Declared disabled","190","170","30140","26820"
"In post","2022","Northern Ireland","Female","Declared non-disabled","1210","1110","30520","26820"
"In post","2022","Northern Ireland","Female","Undeclared","100","90","29750","27420"
"In post","2022","Northern Ireland","Female","Unknown","480","450","28800","26590"
"In post","2022","Northern Ireland","Male","Declared disabled","150","150","28590","26820"
"In post","2022","Northern Ireland","Male","Declared non-disabled","1350","1320","29890","26590"
