"Status","Year","Parent_department","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Heterosexual / straight","130","120","41700","40000"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Unknown","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","90","90","42390","38120"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Unknown","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Heterosexual / straight","190","180","36960","30130"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Unknown","70","60","39150","34480"
"In post","2021","Attorney General's Departments","Devon","Heterosexual / straight","80","80","39080","34480"
"In post","2021","Attorney General's Departments","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Heterosexual / straight","80","80","35280","28430"
"In post","2021","Attorney General's Departments","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Heterosexual / straight","210","190","40840","38180"
"In post","2021","Attorney General's Departments","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Unknown","60","60","43580","52410"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","50","50","38910","31720"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Heterosexual / straight","140","130","40910","35630"
"In post","2021","Attorney General's Departments","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","130","120","41030","38180"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","50","50","49070","53850"
"In post","2021","Attorney General's Departments","Greater Manchester","Heterosexual / straight","290","260","40710","38000"
"In post","2021","Attorney General's Departments","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Unknown","50","50","41980","34480"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Heterosexual / straight","190","180","42150","39750"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Unknown","50","50","45570","50520"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","Heterosexual / straight","3000","2840","49600","51250"
"In post","2021","Attorney General's Departments","Inner London - West","LGBO","260","250","50230","51250"
