"Status","Year","Disability","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Crown Prosecution Service","60","50","35350","28430"
"In post","2021","Declared disabled","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Department for Work and Pensions (excl. agencies)","860","750","25800","27570"
"In post","2021","Declared disabled","East Midlands (England)","Driver and Vehicle Standards Agency","90","80","31070","26780"
"In post","2021","Declared disabled","East Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","HM Courts and Tribunals Service","200","170","21880","19830"
"In post","2021","Declared disabled","East Midlands (England)","HM Land Registry","70","60","30630","27130"
"In post","2021","Declared disabled","East Midlands (England)","HM Prison and Probation Service","600","560","30070","28200"
"In post","2021","Declared disabled","East Midlands (England)","HM Revenue and Customs (excl. agencies)","330","300","31830","31810"
"In post","2021","Declared disabled","East Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
