"Status","Year","Region_ITL1","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Attorney General's Departments","110","110","21360","21950"
"In post","2021","East Midlands (England)","AA/AO","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Department for Transport","100","100","23860","21590"
"In post","2021","East Midlands (England)","AA/AO","Department for Work and Pensions","1540","1290","20840","21010"
"In post","2021","East Midlands (England)","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","HM Land Registry","230","210","22340","22350"
"In post","2021","East Midlands (England)","AA/AO","HM Revenue and Customs","890","780","20540","20140"
"In post","2021","East Midlands (England)","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Ministry of Defence","940","900","21050","20920"
"In post","2021","East Midlands (England)","AA/AO","Ministry of Justice","4030","3720","23100","21710"
"In post","2021","East Midlands (England)","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Attorney General's Departments","90","80","27040","27350"
"In post","2021","East Midlands (England)","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Department for Education","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Department for Environment, Food and Rural Affairs","60","60","25460","25190"
"In post","2021","East Midlands (England)","EO","Department for Transport","250","240","27110","26780"
"In post","2021","East Midlands (England)","EO","Department for Work and Pensions","2680","2420","27490","27570"
"In post","2021","East Midlands (England)","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","EO","HM Land Registry","320","280","27170","27130"
"In post","2021","East Midlands (England)","EO","HM Revenue and Customs","990","920","25930","25560"
"In post","2021","East Midlands (England)","EO","Home Office","140","130","25920","25310"
"In post","2021","East Midlands (England)","EO","Ministry of Defence","310","300","28080","26670"
"In post","2021","East Midlands (England)","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Ministry of Justice","1040","990","26670","26330"
"In post","2021","East Midlands (England)","EO","National Crime Agency","70","70","32630","32770"
"In post","2021","East Midlands (England)","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Attorney General's Departments","180","170","53780","54170"
"In post","2021","East Midlands (England)","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for Education","100","100","54100","50630"
"In post","2021","East Midlands (England)","G6/G7","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Department for Transport","60","60","62310","56730"
"In post","2021","East Midlands (England)","G6/G7","Department for Work and Pensions","140","130","59240","57510"
"In post","2021","East Midlands (England)","G6/G7","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","HM Land Registry","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","HM Revenue and Customs","500","480","55110","52580"
"In post","2021","East Midlands (England)","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Ministry of Defence","70","60","64310","56230"
"In post","2021","East Midlands (England)","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Ministry of Justice","130","120","62450","60000"
"In post","2021","East Midlands (England)","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Attorney General's Departments","60","50","35150","34480"
"In post","2021","East Midlands (England)","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Department for Business, Energy and Industrial Strategy","120","110","35290","34500"
"In post","2021","East Midlands (England)","SEO/HEO","Department for Education","150","140","35260","36500"
"In post","2021","East Midlands (England)","SEO/HEO","Department for Environment, Food and Rural Affairs","90","80","33800","32160"
