"Status","Year","Region_ITL2","Ethnicity","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Asian","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Asian","20-29","80","70","27510","27570"
"In post","2021","Bedfordshire and Hertfordshire","Asian","30-39","140","130","30610","29290"
"In post","2021","Bedfordshire and Hertfordshire","Asian","40-49","180","160","32840","29290"
"In post","2021","Bedfordshire and Hertfordshire","Asian","50-59","120","100","30810","29290"
"In post","2021","Bedfordshire and Hertfordshire","Asian","60-64","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Asian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","20-29","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","30-39","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","40-49","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","50-59","90","90","30860","29290"
"In post","2021","Bedfordshire and Hertfordshire","Black","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Black","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","65+","[c]","[c]","[c]","[c]"
