"Status","Year","Ethnicity","Region_ITL3","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","EO","110","100","30840","31060"
"In post","2021","Asian","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","AA/AO","90","80","23930","23530"
"In post","2021","Asian","Barnet","EO","120","110","30230","31060"
"In post","2021","Asian","Barnet","G6/G7","50","50","59810","57600"
"In post","2021","Asian","Barnet","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnet","SEO/HEO","130","130","38730","39080"
"In post","2021","Asian","Barnet","Unknown","[c]","[c]","[c]","[c]"
