"Status","Year","Sex","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Crown Commercial Service","190","180","33620","33340"
"In post","2021","Female","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Defence Equipment and Support","480","450","37410","34100"
"In post","2021","Female","Commercial","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"In post","2021","Female","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Education (excl. agencies)","100","90","39720","38000"
"In post","2021","Female","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","90","80","37580","36970"
"In post","2021","Female","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Department of Health and Social Care (excl. agencies)","120","110","47050","40650"
"In post","2021","Female","Commercial","Driver and Vehicle Licensing Agency","80","70","31320","31040"
"In post","2021","Female","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Education and Skills Funding Agency","90","90","39300","36780"
"In post","2021","Female","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","FCDO Services","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Female","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","HM Prison and Probation Service","380","360","45420","42630"
"In post","2021","Female","Commercial","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Female","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Legal Aid Agency","60","60","40690","40080"
"In post","2021","Female","Commercial","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Met Office","100","90","41620","39560"
"In post","2021","Female","Commercial","Ministry of Defence (excl. agencies)","480","450","35460","34800"
"In post","2021","Female","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Ministry of Justice (excl. agencies)","60","60","34100","34090"
"In post","2021","Female","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Commercial","Scottish Prison Service","40","30","[c]","[c]"
"In post","2021","Female","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
