"Status","Year","Region_ITL1","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","30-39","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","40-49","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","50-59","60","50","45120","45210"
"In post","2021","East Midlands (England)","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","20-29","160","160","26790","25560"
"In post","2021","East Midlands (England)","Communications","30-39","150","150","28860","25560"
"In post","2021","East Midlands (England)","Communications","40-49","100","100","33570","31810"
"In post","2021","East Midlands (England)","Communications","50-59","80","80","33450","31810"
"In post","2021","East Midlands (England)","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","20-29","70","70","29140","25560"
"In post","2021","East Midlands (England)","Counter Fraud","30-39","90","90","32160","31810"
"In post","2021","East Midlands (England)","Counter Fraud","40-49","160","150","33670","31810"
"In post","2021","East Midlands (England)","Counter Fraud","50-59","170","160","35110","31810"
"In post","2021","East Midlands (England)","Counter Fraud","60-64","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","20-29","70","60","20690","20140"
"In post","2021","East Midlands (England)","Debt","30-39","60","50","21060","20140"
"In post","2021","East Midlands (England)","Debt","40-49","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","50-59","60","50","22560","20640"
"In post","2021","East Midlands (England)","Debt","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","20-29","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","30-39","80","70","38170","31860"
"In post","2021","East Midlands (England)","Digital, Data & Technology","40-49","100","100","37930","36110"
"In post","2021","East Midlands (England)","Digital, Data & Technology","50-59","70","70","37990","34590"
"In post","2021","East Midlands (England)","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","16-19","[c]","[c]","[c]","[c]"
