"Status","Year","Age","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Camden and City of London","[c]","[c]","[c]","[c]"
